date,name,value
2015-01-01,Material moving occupations,83841.5
2016-01-01,Management occupations,738015.0
2016-01-01,Business and financial operations occupations,381351.25
2016-01-01,Computer and mathematical occupations,182507.25
2016-01-01,Architecture and engineering occupations,68765.25
2016-01-01,"Life, physical, and social science occupations",58716.5
2016-01-01,Community and social service occupations,133204.0
2016-01-01,Legal occupations,150222.25
2016-01-01,"Education, training, and library occupations",415227.0
2016-01-01,"Arts, design, entertainment, sports, and media occupations",347484.0
2016-01-01,Health diagnosing and treating practitioners and other technical occupations,236781.5
2016-01-01,Health technologists and technicians,79291.0
2016-01-01,Healthcare support occupations,283578.0
2016-01-01,"Fire fighting and prevention, and other protective service workers including supervisors",104377.5
2016-01-01,Law enforcement workers including supervisors,57021.25
2016-01-01,Food preparation and serving related occupations,398791.75
2016-01-01,Building and grounds cleaning and maintenance occupations,297485.0
2016-01-01,Personal care and service occupations,331687.25
2016-01-01,Sales and related occupations,658210.25
2016-01-01,Office and administrative support occupations,773342.5
2016-01-01,"Farming, fishing, and forestry occupations",3749.0
2016-01-01,Construction and extraction occupations,288614.5
2016-01-01,"Installation, maintenance, and repair occupations",122622.25
2016-01-01,Production occupations,157550.5
2016-01-01,Transportation occupations,295728.5
2016-01-01,Material moving occupations,82524.25
2017-01-01,Management occupations,727781.0
2017-01-01,Business and financial operations occupations,408266.125
2017-01-01,Computer and mathematical occupations,184616.25
2017-01-01,Architecture and engineering occupations,69674.5
2017-01-01,"Life, physical, and social science occupations",56667.25
2017-01-01,Community and social service occupations,138300.875
2017-01-01,Legal occupations,144387.875
2017-01-01,"Education, training, and library occupations",428639.25
2017-01-01,"Arts, design, entertainment, sports, and media occupations",368612.0
2017-01-01,Health diagnosing and treating practitioners and other technical occupations,239778.625
2017-01-01,Health technologists and technicians,92955.125
2017-01-01,Healthcare support occupations,301163.25
2017-01-01,"Fire fighting and prevention, and other protective service workers including supervisors",107292.125
2017-01-01,Law enforcement workers including supervisors,62573.5
2017-01-01,Food preparation and serving related occupations,384540.0
2017-01-01,Building and grounds cleaning and maintenance occupations,304999.625
2017-01-01,Personal care and service occupations,323892.375
2017-01-01,Sales and related occupations,627175.375
2017-01-01,Office and administrative support occupations,797758.125
2017-01-01,"Farming, fishing, and forestry occupations",5453.125
2017-01-01,Construction and extraction occupations,306867.5
2017-01-01,"Installation, maintenance, and repair occupations",115965.625
2017-01-01,Production occupations,158939.25
2017-01-01,Transportation occupations,293206.875
2017-01-01,Material moving occupations,100902.125
2018-01-01,Management occupations,693368.5
2018-01-01,Business and financial operations occupations,419721.5
2018-01-01,Computer and mathematical occupations,212220.0
2018-01-01,Architecture and engineering occupations,68106.5
2018-01-01,"Life, physical, and social science occupations",64962.0
2018-01-01,Community and social service occupations,115189.5
2018-01-01,Legal occupations,141583.0
2018-01-01,"Education, training, and library occupations",452035.0
2018-01-01,"Arts, design, entertainment, sports, and media occupations",355466.5
2018-01-01,Health diagnosing and treating practitioners and other technical occupations,235305.5
2018-01-01,Health technologists and technicians,86006.0
2018-01-01,Healthcare support occupations,351295.5
2018-01-01,"Fire fighting and prevention, and other protective service workers including supervisors",109167.5
2018-01-01,Law enforcement workers including supervisors,60818.5
2018-01-01,Food preparation and serving related occupations,377419.0
2018-01-01,Building and grounds cleaning and maintenance occupations,297937.5
2018-01-01,Personal care and service occupations,261423.5
2018-01-01,Sales and related occupations,592583.0
2018-01-01,Office and administrative support occupations,703787.5
2018-01-01,"Farming, fishing, and forestry occupations",3162.0
2018-01-01,Construction and extraction occupations,310193.5
2018-01-01,"Installation, maintenance, and repair occupations",95279.5
2018-01-01,Production occupations,150561.5
2018-01-01,Transportation occupations,305408.0
2018-01-01,Material moving occupations,134941.5
2019-01-01,Management occupations,748540.5
2019-01-01,Business and financial operations occupations,437783.5
2019-01-01,Computer and mathematical occupations,212493.0
2019-01-01,Architecture and engineering occupations,75378.5
2019-01-01,"Life, physical, and social science occupations",61886.0
2019-01-01,Community and social service occupations,133721.5
2019-01-01,Legal occupations,147392.0
2019-01-01,"Education, training, and library occupations",459713.0
2019-01-01,"Arts, design, entertainment, sports, and media occupations",349345.5
2019-01-01,Health diagnosing and treating practitioners and other technical occupations,241476.5
2019-01-01,Health technologists and technicians,88458.0
2019-01-01,Healthcare support occupations,370240.5
2019-01-01,"Fire fighting and prevention, and other protective service workers including supervisors",120083.5
2019-01-01,Law enforcement workers including supervisors,61299.5
2019-01-01,Food preparation and serving related occupations,387215.0
2019-01-01,Building and grounds cleaning and maintenance occupations,280558.5
2019-01-01,Personal care and service occupations,253862.5
2019-01-01,Sales and related occupations,605927.0
2019-01-01,Office and administrative support occupations,634458.5
2019-01-01,"Farming, fishing, and forestry occupations",5190.0
2019-01-01,Construction and extraction occupations,303427.5
2019-01-01,"Installation, maintenance, and repair occupations",110389.5
2019-01-01,Production occupations,149535.5
2019-01-01,Transportation occupations,282836.0
2019-01-01,Material moving occupations,132797.5
