,"Bronx County, New York","Kings County, New York",Label,"New York County, New York","Queens County, New York","Richmond County, New York / Estimate",race,year
57,0,0,"Fire fighting and prevention, and other protective service workers including supervisors",109,794,33.0,Asian Alone,2010
58,75,0,Law enforcement workers including supervisors,0,64,0.0,Asian Alone,2010
59,173,4249,Food preparation and serving related occupations,1676,5781,396.0,Asian Alone,2010
60,835,2371,Building and grounds cleaning and maintenance occupations,1210,3074,150.0,Asian Alone,2010
61,790,4555,Personal care and service occupations,2656,15653,1054.0,Asian Alone,2010
62,2652,16489,Sales and office occupations:,11113,35951,2311.0,Asian Alone,2010
63,1206,6498,Sales and related occupations,4934,14449,1100.0,Asian Alone,2010
64,1446,9991,Office and administrative support occupations,6179,21502,1211.0,Asian Alone,2010
65,0,555,"Natural resources, construction, and maintenance occupations:",0,445,0.0,Asian Alone,2010
66,0,298,"Farming, fishing, and forestry occupations",0,0,0.0,Asian Alone,2010
67,0,218,Construction and extraction occupations,0,336,0.0,Asian Alone,2010
68,0,39,"Installation, maintenance, and repair occupations",0,109,0.0,Asian Alone,2010
69,387,5504,"Production, transportation, and material moving occupations:",2589,5414,214.0,Asian Alone,2010
70,387,4391,Production occupations,1794,4145,214.0,Asian Alone,2010
71,0,95,Transportation occupations,112,493,0.0,Asian Alone,2010
72,0,1018,Material moving occupations,683,776,0.0,Asian Alone,2010
0,19823,125204,Total:,97458,250735,18001.0,Asian Alone,2011
1,11265,66752,Male:,47292,139027,10116.0,Asian Alone,2011
2,3056,16346,"Management, business, science, and arts occupations:",27578,42293,3894.0,Asian Alone,2011
3,544,6029,"Management, business, and financial occupations:",13478,17059,1615.0,Asian Alone,2011
4,280,3095,Management occupations,6393,10106,909.0,Asian Alone,2011
5,264,2934,Business and financial operations occupations,7085,6953,706.0,Asian Alone,2011
6,941,4817,"Computer, engineering, and science occupations:",3892,11872,627.0,Asian Alone,2011
7,556,2867,Computer and mathematical occupations,2313,8325,323.0,Asian Alone,2011
8,83,1609,Architecture and engineering occupations,685,2760,199.0,Asian Alone,2011
9,302,341,"Life, physical, and social science occupations",894,787,105.0,Asian Alone,2011
10,722,3564,"Education, legal, community service, arts, and media occupations:",6964,7539,519.0,Asian Alone,2011
11,174,152,Community and social service occupations,33,1088,225.0,Asian Alone,2011
12,45,291,Legal occupations,1487,262,0.0,Asian Alone,2011
13,207,740,"Education, training, and library occupations",3403,3177,215.0,Asian Alone,2011
14,296,2381,"Arts, design, entertainment, sports, and media occupations",2041,3012,79.0,Asian Alone,2011
15,849,1936,Healthcare practitioners and technical occupations:,3244,5823,1133.0,Asian Alone,2011
16,519,1360,Health diagnosing and treating practitioners and other technical occupations,2888,4113,794.0,Asian Alone,2011
17,330,576,Health technologists and technicians,356,1710,339.0,Asian Alone,2011
18,2519,19700,Service occupations:,7245,25166,1336.0,Asian Alone,2011
19,17,976,Healthcare support occupations,402,1234,381.0,Asian Alone,2011
20,190,1019,Protective service occupations:,84,2187,71.0,Asian Alone,2011
21,143,671,"Fire fighting and prevention, and other protective service workers including supervisors",33,1440,71.0,Asian Alone,2011
22,47,348,Law enforcement workers including supervisors,51,747,0.0,Asian Alone,2011
23,1614,14639,Food preparation and serving related occupations,5338,14207,336.0,Asian Alone,2011
24,443,1615,Building and grounds cleaning and maintenance occupations,668,3853,266.0,Asian Alone,2011
25,255,1451,Personal care and service occupations,753,3685,282.0,Asian Alone,2011
26,1632,11660,Sales and office occupations:,8373,33494,2896.0,Asian Alone,2011
27,713,6519,Sales and related occupations,5416,21157,2195.0,Asian Alone,2011
28,919,5141,Office and administrative support occupations,2957,12337,701.0,Asian Alone,2011
29,1489,7305,"Natural resources, construction, and maintenance occupations:",898,10446,645.0,Asian Alone,2011
30,0,53,"Farming, fishing, and forestry occupations",0,22,202.0,Asian Alone,2011
31,636,4875,Construction and extraction occupations,711,6463,225.0,Asian Alone,2011
32,853,2377,"Installation, maintenance, and repair occupations",187,3961,218.0,Asian Alone,2011
33,2569,11741,"Production, transportation, and material moving occupations:",3198,27628,1345.0,Asian Alone,2011
34,956,2408,Production occupations,388,5519,563.0,Asian Alone,2011
35,1613,7573,Transportation occupations,2036,19556,782.0,Asian Alone,2011
36,0,1760,Material moving occupations,774,2553,0.0,Asian Alone,2011
37,8558,58452,Female:,50166,111708,7885.0,Asian Alone,2011
38,3797,21987,"Management, business, science, and arts occupations:",31604,42603,3390.0,Asian Alone,2011
39,502,7408,"Management, business, and financial occupations:",12314,14688,1003.0,Asian Alone,2011
40,266,3157,Management occupations,5726,5577,407.0,Asian Alone,2011
41,236,4251,Business and financial operations occupations,6588,9111,596.0,Asian Alone,2011
42,114,1486,"Computer, engineering, and science occupations:",3456,4260,156.0,Asian Alone,2011
43,44,987,Computer and mathematical occupations,1763,2411,26.0,Asian Alone,2011
44,0,316,Architecture and engineering occupations,118,571,101.0,Asian Alone,2011
45,70,183,"Life, physical, and social science occupations",1575,1278,29.0,Asian Alone,2011
46,1682,7001,"Education, legal, community service, arts, and media occupations:",12139,10882,475.0,Asian Alone,2011
47,330,406,Community and social service occupations,504,1476,76.0,Asian Alone,2011
48,156,982,Legal occupations,2631,533,22.0,Asian Alone,2011
49,905,3076,"Education, training, and library occupations",3151,6660,354.0,Asian Alone,2011
50,291,2537,"Arts, design, entertainment, sports, and media occupations",5853,2213,23.0,Asian Alone,2011
51,1499,6092,Healthcare practitioners and technical occupations:,3695,12773,1756.0,Asian Alone,2011
52,1245,4576,Health diagnosing and treating practitioners and other technical occupations,3052,10995,1480.0,Asian Alone,2011
53,254,1516,Health technologists and technicians,643,1778,276.0,Asian Alone,2011
54,2800,17724,Service occupations:,6848,26616,2096.0,Asian Alone,2011
55,1255,4053,Healthcare support occupations,1251,6262,997.0,Asian Alone,2011
56,0,417,Protective service occupations:,0,351,0.0,Asian Alone,2011
57,0,362,"Fire fighting and prevention, and other protective service workers including supervisors",0,351,0.0,Asian Alone,2011
58,0,55,Law enforcement workers including supervisors,0,0,0.0,Asian Alone,2011
59,172,4937,Food preparation and serving related occupations,2379,5415,416.0,Asian Alone,2011
60,618,1953,Building and grounds cleaning and maintenance occupations,1297,2645,201.0,Asian Alone,2011
61,755,6364,Personal care and service occupations,1921,11943,482.0,Asian Alone,2011
62,1174,14204,Sales and office occupations:,10320,35999,1967.0,Asian Alone,2011
63,350,5745,Sales and related occupations,4136,16013,791.0,Asian Alone,2011
64,824,8459,Office and administrative support occupations,6184,19986,1176.0,Asian Alone,2011
65,0,109,"Natural resources, construction, and maintenance occupations:",326,484,196.0,Asian Alone,2011
66,0,69,"Farming, fishing, and forestry occupations",0,117,0.0,Asian Alone,2011
67,0,0,Construction and extraction occupations,220,332,196.0,Asian Alone,2011
68,0,40,"Installation, maintenance, and repair occupations",106,35,0.0,Asian Alone,2011
69,787,4428,"Production, transportation, and material moving occupations:",1068,6006,236.0,Asian Alone,2011
70,748,3720,Production occupations,735,4435,81.0,Asian Alone,2011
71,0,85,Transportation occupations,0,305,155.0,Asian Alone,2011
72,39,623,Material moving occupations,333,1266,0.0,Asian Alone,2011
0,21721,128863,Total:,104260,253033,,Asian Alone,2012
1,13183,66158,Male:,46776,140344,,Asian Alone,2012
2,3000,18146,"Management, business, science, and arts occupations:",26534,47747,,Asian Alone,2012
3,758,7311,"Management, business, and financial occupations:",12187,20536,,Asian Alone,2012
4,271,3793,Management occupations,6327,12551,,Asian Alone,2012
5,487,3518,Business and financial operations occupations,5860,7985,,Asian Alone,2012
6,996,4381,"Computer, engineering, and science occupations:",4422,12467,,Asian Alone,2012
7,603,2560,Computer and mathematical occupations,3134,8110,,Asian Alone,2012
8,232,1345,Architecture and engineering occupations,445,3229,,Asian Alone,2012
9,161,476,"Life, physical, and social science occupations",843,1128,,Asian Alone,2012
10,878,4008,"Education, legal, community service, arts, and media occupations:",6026,8984,,Asian Alone,2012
11,115,241,Community and social service occupations,780,1615,,Asian Alone,2012
12,71,450,Legal occupations,894,885,,Asian Alone,2012
13,692,1733,"Education, training, and library occupations",1263,3342,,Asian Alone,2012
14,0,1584,"Arts, design, entertainment, sports, and media occupations",3089,3142,,Asian Alone,2012
15,368,2446,Healthcare practitioners and technical occupations:,3899,5760,,Asian Alone,2012
16,289,2012,Health diagnosing and treating practitioners and other technical occupations,3899,3624,,Asian Alone,2012
17,79,434,Health technologists and technicians,0,2136,,Asian Alone,2012
18,2990,16845,Service occupations:,5947,25064,,Asian Alone,2012
19,234,393,Healthcare support occupations,233,1693,,Asian Alone,2012
20,122,1163,Protective service occupations:,187,2796,,Asian Alone,2012
21,79,511,"Fire fighting and prevention, and other protective service workers including supervisors",65,2004,,Asian Alone,2012
22,43,652,Law enforcement workers including supervisors,122,792,,Asian Alone,2012
23,1544,11961,Food preparation and serving related occupations,4058,15273,,Asian Alone,2012
24,959,1549,Building and grounds cleaning and maintenance occupations,249,2683,,Asian Alone,2012
25,131,1779,Personal care and service occupations,1220,2619,,Asian Alone,2012
26,3357,13936,Sales and office occupations:,10211,30102,,Asian Alone,2012
27,2256,8120,Sales and related occupations,6294,17588,,Asian Alone,2012
28,1101,5816,Office and administrative support occupations,3917,12514,,Asian Alone,2012
29,1526,5631,"Natural resources, construction, and maintenance occupations:",654,12744,,Asian Alone,2012
30,0,179,"Farming, fishing, and forestry occupations",0,0,,Asian Alone,2012
31,1008,3670,Construction and extraction occupations,269,8746,,Asian Alone,2012
32,518,1782,"Installation, maintenance, and repair occupations",385,3998,,Asian Alone,2012
33,2310,11600,"Production, transportation, and material moving occupations:",3430,24687,,Asian Alone,2012
34,472,2785,Production occupations,631,4583,,Asian Alone,2012
35,1556,7669,Transportation occupations,2146,18306,,Asian Alone,2012
36,282,1146,Material moving occupations,653,1798,,Asian Alone,2012
37,8538,62705,Female:,57484,112689,,Asian Alone,2012
38,2968,22439,"Management, business, science, and arts occupations:",37571,43372,,Asian Alone,2012
39,925,9094,"Management, business, and financial occupations:",15062,17082,,Asian Alone,2012
40,305,4371,Management occupations,7336,8943,,Asian Alone,2012
41,620,4723,Business and financial operations occupations,7726,8139,,Asian Alone,2012
42,457,2087,"Computer, engineering, and science occupations:",3580,3313,,Asian Alone,2012
43,277,924,Computer and mathematical occupations,1603,2071,,Asian Alone,2012
44,49,695,Architecture and engineering occupations,704,397,,Asian Alone,2012
45,131,468,"Life, physical, and social science occupations",1273,845,,Asian Alone,2012
46,467,7326,"Education, legal, community service, arts, and media occupations:",13128,10835,,Asian Alone,2012
47,0,482,Community and social service occupations,677,1142,,Asian Alone,2012
48,0,334,Legal occupations,3190,1143,,Asian Alone,2012
49,435,3291,"Education, training, and library occupations",3601,6304,,Asian Alone,2012
50,32,3219,"Arts, design, entertainment, sports, and media occupations",5660,2246,,Asian Alone,2012
51,1119,3932,Healthcare practitioners and technical occupations:,5801,12142,,Asian Alone,2012
52,944,3099,Health diagnosing and treating practitioners and other technical occupations,5435,9779,,Asian Alone,2012
53,175,833,Health technologists and technicians,366,2363,,Asian Alone,2012
54,2338,18220,Service occupations:,6377,28701,,Asian Alone,2012
55,209,4864,Healthcare support occupations,2090,5629,,Asian Alone,2012
56,154,99,Protective service occupations:,0,437,,Asian Alone,2012
57,154,74,"Fire fighting and prevention, and other protective service workers including supervisors",0,287,,Asian Alone,2012
58,0,25,Law enforcement workers including supervisors,0,150,,Asian Alone,2012
59,575,4904,Food preparation and serving related occupations,1480,5838,,Asian Alone,2012
60,491,1281,Building and grounds cleaning and maintenance occupations,851,3699,,Asian Alone,2012
61,909,7072,Personal care and service occupations,1956,13098,,Asian Alone,2012
62,2779,16592,Sales and office occupations:,10780,32698,,Asian Alone,2012
63,1647,7821,Sales and related occupations,5286,15594,,Asian Alone,2012
64,1132,8771,Office and administrative support occupations,5494,17104,,Asian Alone,2012
65,0,62,"Natural resources, construction, and maintenance occupations:",122,279,,Asian Alone,2012
66,0,27,"Farming, fishing, and forestry occupations",0,0,,Asian Alone,2012
67,0,0,Construction and extraction occupations,122,86,,Asian Alone,2012
68,0,35,"Installation, maintenance, and repair occupations",0,193,,Asian Alone,2012
69,453,5392,"Production, transportation, and material moving occupations:",2634,7639,,Asian Alone,2012
70,177,4642,Production occupations,2251,5952,,Asian Alone,2012
71,0,36,Transportation occupations,383,576,,Asian Alone,2012
72,276,714,Material moving occupations,0,1111,,Asian Alone,2012
0,21959,137634,Total:,107524,272432,17423.0,Asian Alone,2013
1,12205,72710,Male:,49574,149843,9765.0,Asian Alone,2013
2,3994,23155,"Management, business, science, and arts occupations:",31686,50141,4307.0,Asian Alone,2013
3,1492,9866,"Management, business, and financial occupations:",17429,20989,1747.0,Asian Alone,2013
4,1119,5702,Management occupations,8433,12398,839.0,Asian Alone,2013
5,373,4164,Business and financial operations occupations,8996,8591,908.0,Asian Alone,2013
6,754,7093,"Computer, engineering, and science occupations:",7240,13935,769.0,Asian Alone,2013
7,376,4593,Computer and mathematical occupations,4924,9292,376.0,Asian Alone,2013
8,312,2020,Architecture and engineering occupations,307,3065,318.0,Asian Alone,2013
9,66,480,"Life, physical, and social science occupations",2009,1578,75.0,Asian Alone,2013
10,309,4013,"Education, legal, community service, arts, and media occupations:",3916,8978,799.0,Asian Alone,2013
11,23,401,Community and social service occupations,0,1316,326.0,Asian Alone,2013
12,0,504,Legal occupations,813,1003,0.0,Asian Alone,2013
13,184,942,"Education, training, and library occupations",1229,3247,39.0,Asian Alone,2013
14,102,2166,"Arts, design, entertainment, sports, and media occupations",1874,3412,434.0,Asian Alone,2013
15,1439,2183,Healthcare practitioners and technical occupations:,3101,6239,992.0,Asian Alone,2013
16,1107,1939,Health diagnosing and treating practitioners and other technical occupations,2590,3869,716.0,Asian Alone,2013
17,332,244,Health technologists and technicians,511,2370,276.0,Asian Alone,2013
18,3960,17780,Service occupations:,5426,27390,1490.0,Asian Alone,2013
19,302,899,Healthcare support occupations,800,1841,450.0,Asian Alone,2013
20,448,855,Protective service occupations:,387,3926,171.0,Asian Alone,2013
21,250,577,"Fire fighting and prevention, and other protective service workers including supervisors",360,3564,41.0,Asian Alone,2013
22,198,278,Law enforcement workers including supervisors,27,362,130.0,Asian Alone,2013
23,1818,13293,Food preparation and serving related occupations,2883,14835,664.0,Asian Alone,2013
24,538,1545,Building and grounds cleaning and maintenance occupations,893,3446,205.0,Asian Alone,2013
25,854,1188,Personal care and service occupations,463,3342,0.0,Asian Alone,2013
26,1584,14043,Sales and office occupations:,10140,34999,1723.0,Asian Alone,2013
27,1111,8491,Sales and related occupations,6127,22264,892.0,Asian Alone,2013
28,473,5552,Office and administrative support occupations,4013,12735,831.0,Asian Alone,2013
29,799,6211,"Natural resources, construction, and maintenance occupations:",517,11677,975.0,Asian Alone,2013
30,0,0,"Farming, fishing, and forestry occupations",0,235,0.0,Asian Alone,2013
31,524,4818,Construction and extraction occupations,360,7888,406.0,Asian Alone,2013
32,275,1393,"Installation, maintenance, and repair occupations",157,3554,569.0,Asian Alone,2013
33,1868,11521,"Production, transportation, and material moving occupations:",1805,25636,1270.0,Asian Alone,2013
34,344,2866,Production occupations,652,6964,434.0,Asian Alone,2013
35,1499,6498,Transportation occupations,936,16159,781.0,Asian Alone,2013
36,25,2157,Material moving occupations,217,2513,55.0,Asian Alone,2013
37,9754,64924,Female:,57950,122589,7658.0,Asian Alone,2013
38,4922,25078,"Management, business, science, and arts occupations:",37462,48768,4906.0,Asian Alone,2013
39,1051,8273,"Management, business, and financial occupations:",17235,17554,1501.0,Asian Alone,2013
40,386,2876,Management occupations,7244,8030,842.0,Asian Alone,2013
41,665,5397,Business and financial operations occupations,9991,9524,659.0,Asian Alone,2013
42,334,2096,"Computer, engineering, and science occupations:",3794,5777,370.0,Asian Alone,2013
43,68,1602,Computer and mathematical occupations,2892,3751,329.0,Asian Alone,2013
44,0,222,Architecture and engineering occupations,269,831,0.0,Asian Alone,2013
45,266,272,"Life, physical, and social science occupations",633,1195,41.0,Asian Alone,2013
46,1292,9888,"Education, legal, community service, arts, and media occupations:",9892,13377,947.0,Asian Alone,2013
47,60,783,Community and social service occupations,763,1100,144.0,Asian Alone,2013
48,199,792,Legal occupations,1715,1630,0.0,Asian Alone,2013
49,845,4281,"Education, training, and library occupations",3713,6432,723.0,Asian Alone,2013
50,188,4032,"Arts, design, entertainment, sports, and media occupations",3701,4215,80.0,Asian Alone,2013
51,2245,4821,Healthcare practitioners and technical occupations:,6541,12060,2088.0,Asian Alone,2013
52,2017,4018,Health diagnosing and treating practitioners and other technical occupations,6148,9341,1737.0,Asian Alone,2013
53,228,803,Health technologists and technicians,393,2719,351.0,Asian Alone,2013
54,2223,17774,Service occupations:,7789,32842,1019.0,Asian Alone,2013
55,834,6496,Healthcare support occupations,2603,6361,509.0,Asian Alone,2013
56,26,0,Protective service occupations:,0,884,0.0,Asian Alone,2013
57,26,0,"Fire fighting and prevention, and other protective service workers including supervisors",0,810,0.0,Asian Alone,2013
58,0,0,Law enforcement workers including supervisors,0,74,0.0,Asian Alone,2013
59,386,3336,Food preparation and serving related occupations,1767,7554,139.0,Asian Alone,2013
60,225,1884,Building and grounds cleaning and maintenance occupations,996,4006,150.0,Asian Alone,2013
61,752,6058,Personal care and service occupations,2423,14037,221.0,Asian Alone,2013
62,2141,16506,Sales and office occupations:,10959,34624,1498.0,Asian Alone,2013
63,1344,8595,Sales and related occupations,4662,15812,236.0,Asian Alone,2013
64,797,7911,Office and administrative support occupations,6297,18812,1262.0,Asian Alone,2013
65,0,368,"Natural resources, construction, and maintenance occupations:",0,508,0.0,Asian Alone,2013
66,0,0,"Farming, fishing, and forestry occupations",0,0,0.0,Asian Alone,2013
67,0,216,Construction and extraction occupations,0,224,0.0,Asian Alone,2013
68,0,152,"Installation, maintenance, and repair occupations",0,284,0.0,Asian Alone,2013
69,468,5198,"Production, transportation, and material moving occupations:",1740,5847,235.0,Asian Alone,2013
70,338,4552,Production occupations,1587,4974,235.0,Asian Alone,2013
71,130,182,Transportation occupations,70,340,0.0,Asian Alone,2013
72,0,464,Material moving occupations,83,533,0.0,Asian Alone,2013
0,24953,147945,Total:,108383,278267,18513.0,Asian Alone,2014
1,13769,77363,Male:,49965,153040,9818.0,Asian Alone,2014
2,4771,22450,"Management, business, science, and arts occupations:",33401,47799,3779.0,Asian Alone,2014
3,1711,9416,"Management, business, and financial occupations:",18080,21653,1319.0,Asian Alone,2014
4,1402,6169,Management occupations,11238,13864,985.0,Asian Alone,2014
5,309,3247,Business and financial operations occupations,6842,7789,334.0,Asian Alone,2014
6,1029,5261,"Computer, engineering, and science occupations:",7474,11755,981.0,Asian Alone,2014
7,439,3745,Computer and mathematical occupations,5013,7577,761.0,Asian Alone,2014
8,151,1187,Architecture and engineering occupations,1048,3387,220.0,Asian Alone,2014
9,439,329,"Life, physical, and social science occupations",1413,791,0.0,Asian Alone,2014
10,671,4790,"Education, legal, community service, arts, and media occupations:",5957,8091,789.0,Asian Alone,2014
11,90,454,Community and social service occupations,137,1068,145.0,Asian Alone,2014
12,0,345,Legal occupations,1657,1485,333.0,Asian Alone,2014
13,404,1807,"Education, training, and library occupations",1129,1950,163.0,Asian Alone,2014
14,177,2184,"Arts, design, entertainment, sports, and media occupations",3034,3588,148.0,Asian Alone,2014
15,1360,2983,Healthcare practitioners and technical occupations:,1890,6300,690.0,Asian Alone,2014
16,773,2085,Health diagnosing and treating practitioners and other technical occupations,1765,4814,650.0,Asian Alone,2014
17,587,898,Health technologists and technicians,125,1486,40.0,Asian Alone,2014
18,3452,20363,Service occupations:,6194,28210,1991.0,Asian Alone,2014
19,283,962,Healthcare support occupations,61,861,196.0,Asian Alone,2014
20,285,600,Protective service occupations:,525,3202,575.0,Asian Alone,2014
21,65,492,"Fire fighting and prevention, and other protective service workers including supervisors",395,1783,301.0,Asian Alone,2014
22,220,108,Law enforcement workers including supervisors,130,1419,274.0,Asian Alone,2014
23,1557,15553,Food preparation and serving related occupations,4090,17145,487.0,Asian Alone,2014
24,810,1526,Building and grounds cleaning and maintenance occupations,257,2327,623.0,Asian Alone,2014
25,517,1722,Personal care and service occupations,1261,4675,110.0,Asian Alone,2014
26,2549,16152,Sales and office occupations:,5701,31824,2499.0,Asian Alone,2014
27,1822,10816,Sales and related occupations,3633,17854,1840.0,Asian Alone,2014
28,727,5336,Office and administrative support occupations,2068,13970,659.0,Asian Alone,2014
29,733,5410,"Natural resources, construction, and maintenance occupations:",1822,13705,357.0,Asian Alone,2014
30,0,0,"Farming, fishing, and forestry occupations",0,0,0.0,Asian Alone,2014
31,441,3891,Construction and extraction occupations,1376,8009,222.0,Asian Alone,2014
32,292,1519,"Installation, maintenance, and repair occupations",446,5696,135.0,Asian Alone,2014
33,2264,12988,"Production, transportation, and material moving occupations:",2847,31502,1192.0,Asian Alone,2014
34,450,3316,Production occupations,1483,5471,477.0,Asian Alone,2014
35,1780,8341,Transportation occupations,920,23046,524.0,Asian Alone,2014
36,34,1331,Material moving occupations,444,2985,191.0,Asian Alone,2014
37,11184,70582,Female:,58418,125227,8695.0,Asian Alone,2014
38,4087,26166,"Management, business, science, and arts occupations:",37133,50780,3935.0,Asian Alone,2014
39,882,8989,"Management, business, and financial occupations:",19546,18616,819.0,Asian Alone,2014
40,551,4442,Management occupations,11092,8872,257.0,Asian Alone,2014
41,331,4547,Business and financial operations occupations,8454,9744,562.0,Asian Alone,2014
42,433,2741,"Computer, engineering, and science occupations:",2819,4158,382.0,Asian Alone,2014
43,61,1529,Computer and mathematical occupations,1382,2340,300.0,Asian Alone,2014
44,30,857,Architecture and engineering occupations,411,506,0.0,Asian Alone,2014
45,342,355,"Life, physical, and social science occupations",1026,1312,82.0,Asian Alone,2014
46,759,9718,"Education, legal, community service, arts, and media occupations:",10093,14217,1332.0,Asian Alone,2014
47,0,1055,Community and social service occupations,535,1627,46.0,Asian Alone,2014
48,71,1120,Legal occupations,2018,1739,39.0,Asian Alone,2014
49,542,3896,"Education, training, and library occupations",3299,7256,810.0,Asian Alone,2014
50,146,3647,"Arts, design, entertainment, sports, and media occupations",4241,3595,437.0,Asian Alone,2014
51,2013,4718,Healthcare practitioners and technical occupations:,4675,13789,1402.0,Asian Alone,2014
52,1770,3650,Health diagnosing and treating practitioners and other technical occupations,4023,10409,1167.0,Asian Alone,2014
53,243,1068,Health technologists and technicians,652,3380,235.0,Asian Alone,2014
54,3601,21091,Service occupations:,8005,34991,1886.0,Asian Alone,2014
55,516,5731,Healthcare support occupations,2173,7044,560.0,Asian Alone,2014
56,0,82,Protective service occupations:,43,219,79.0,Asian Alone,2014
57,0,43,"Fire fighting and prevention, and other protective service workers including supervisors",43,219,36.0,Asian Alone,2014
58,0,39,Law enforcement workers including supervisors,0,0,43.0,Asian Alone,2014
59,471,4583,Food preparation and serving related occupations,2040,6176,432.0,Asian Alone,2014
60,448,2126,Building and grounds cleaning and maintenance occupations,824,3553,152.0,Asian Alone,2014
61,2166,8569,Personal care and service occupations,2925,17999,663.0,Asian Alone,2014
62,3253,17417,Sales and office occupations:,11960,32840,2624.0,Asian Alone,2014
63,2370,8101,Sales and related occupations,5537,14298,1472.0,Asian Alone,2014
64,883,9316,Office and administrative support occupations,6423,18542,1152.0,Asian Alone,2014
65,0,272,"Natural resources, construction, and maintenance occupations:",179,436,0.0,Asian Alone,2014
