,Label,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",race,year
52,Health diagnosing and treating practitioners and other technical occupations_Female,1512.0,3209,4636.0,7683,1531.0,Asian Alone,2010
53,Health technologists and technicians_Female,291.0,818,434.0,2766,85.0,Asian Alone,2010
55,Healthcare support occupations_Female,334.0,4681,2029.0,6449,406.0,Asian Alone,2010
57,"Fire fighting and prevention, and other protective service workers including supervisors_Female",0.0,0,109.0,794,33.0,Asian Alone,2010
58,Law enforcement workers including supervisors_Female,75.0,0,0.0,64,0.0,Asian Alone,2010
59,Food preparation and serving related occupations_Female,173.0,4249,1676.0,5781,396.0,Asian Alone,2010
60,Building and grounds cleaning and maintenance occupations_Female,835.0,2371,1210.0,3074,150.0,Asian Alone,2010
61,Personal care and service occupations_Female,790.0,4555,2656.0,15653,1054.0,Asian Alone,2010
63,Sales and related occupations_Female,1206.0,6498,4934.0,14449,1100.0,Asian Alone,2010
64,Office and administrative support occupations_Female,1446.0,9991,6179.0,21502,1211.0,Asian Alone,2010
66,"Farming, fishing, and forestry occupations_Female",0.0,298,0.0,0,0.0,Asian Alone,2010
67,Construction and extraction occupations_Female,0.0,218,0.0,336,0.0,Asian Alone,2010
68,"Installation, maintenance, and repair occupations_Female",0.0,39,0.0,109,0.0,Asian Alone,2010
70,Production occupations_Female,387.0,4391,1794.0,4145,214.0,Asian Alone,2010
71,Transportation occupations_Female,0.0,95,112.0,493,0.0,Asian Alone,2010
72,Material moving occupations_Female,0.0,1018,683.0,776,0.0,Asian Alone,2010
77,Management occupations_Male,280.0,3095,6393.0,10106,909.0,Asian Alone,2011
78,Business and financial operations occupations_Male,264.0,2934,7085.0,6953,706.0,Asian Alone,2011
80,Computer and mathematical occupations_Male,556.0,2867,2313.0,8325,323.0,Asian Alone,2011
81,Architecture and engineering occupations_Male,83.0,1609,685.0,2760,199.0,Asian Alone,2011
82,"Life, physical, and social science occupations_Male",302.0,341,894.0,787,105.0,Asian Alone,2011
84,Community and social service occupations_Male,174.0,152,33.0,1088,225.0,Asian Alone,2011
85,Legal occupations_Male,45.0,291,1487.0,262,0.0,Asian Alone,2011
86,"Education, training, and library occupations_Male",207.0,740,3403.0,3177,215.0,Asian Alone,2011
87,"Arts, design, entertainment, sports, and media occupations_Male",296.0,2381,2041.0,3012,79.0,Asian Alone,2011
89,Health diagnosing and treating practitioners and other technical occupations_Male,519.0,1360,2888.0,4113,794.0,Asian Alone,2011
90,Health technologists and technicians_Male,330.0,576,356.0,1710,339.0,Asian Alone,2011
92,Healthcare support occupations_Male,17.0,976,402.0,1234,381.0,Asian Alone,2011
94,"Fire fighting and prevention, and other protective service workers including supervisors_Male",143.0,671,33.0,1440,71.0,Asian Alone,2011
95,Law enforcement workers including supervisors_Male,47.0,348,51.0,747,0.0,Asian Alone,2011
96,Food preparation and serving related occupations_Male,1614.0,14639,5338.0,14207,336.0,Asian Alone,2011
97,Building and grounds cleaning and maintenance occupations_Male,443.0,1615,668.0,3853,266.0,Asian Alone,2011
98,Personal care and service occupations_Male,255.0,1451,753.0,3685,282.0,Asian Alone,2011
100,Sales and related occupations_Male,713.0,6519,5416.0,21157,2195.0,Asian Alone,2011
101,Office and administrative support occupations_Male,919.0,5141,2957.0,12337,701.0,Asian Alone,2011
103,"Farming, fishing, and forestry occupations_Male",0.0,53,0.0,22,202.0,Asian Alone,2011
104,Construction and extraction occupations_Male,636.0,4875,711.0,6463,225.0,Asian Alone,2011
105,"Installation, maintenance, and repair occupations_Male",853.0,2377,187.0,3961,218.0,Asian Alone,2011
107,Production occupations_Male,956.0,2408,388.0,5519,563.0,Asian Alone,2011
108,Transportation occupations_Male,1613.0,7573,2036.0,19556,782.0,Asian Alone,2011
109,Material moving occupations_Male,0.0,1760,774.0,2553,0.0,Asian Alone,2011
113,Management occupations_Female,266.0,3157,5726.0,5577,407.0,Asian Alone,2011
114,Business and financial operations occupations_Female,236.0,4251,6588.0,9111,596.0,Asian Alone,2011
116,Computer and mathematical occupations_Female,44.0,987,1763.0,2411,26.0,Asian Alone,2011
117,Architecture and engineering occupations_Female,0.0,316,118.0,571,101.0,Asian Alone,2011
118,"Life, physical, and social science occupations_Female",70.0,183,1575.0,1278,29.0,Asian Alone,2011
120,Community and social service occupations_Female,330.0,406,504.0,1476,76.0,Asian Alone,2011
121,Legal occupations_Female,156.0,982,2631.0,533,22.0,Asian Alone,2011
122,"Education, training, and library occupations_Female",905.0,3076,3151.0,6660,354.0,Asian Alone,2011
123,"Arts, design, entertainment, sports, and media occupations_Female",291.0,2537,5853.0,2213,23.0,Asian Alone,2011
125,Health diagnosing and treating practitioners and other technical occupations_Female,1245.0,4576,3052.0,10995,1480.0,Asian Alone,2011
126,Health technologists and technicians_Female,254.0,1516,643.0,1778,276.0,Asian Alone,2011
128,Healthcare support occupations_Female,1255.0,4053,1251.0,6262,997.0,Asian Alone,2011
130,"Fire fighting and prevention, and other protective service workers including supervisors_Female",0.0,362,0.0,351,0.0,Asian Alone,2011
131,Law enforcement workers including supervisors_Female,0.0,55,0.0,0,0.0,Asian Alone,2011
132,Food preparation and serving related occupations_Female,172.0,4937,2379.0,5415,416.0,Asian Alone,2011
133,Building and grounds cleaning and maintenance occupations_Female,618.0,1953,1297.0,2645,201.0,Asian Alone,2011
134,Personal care and service occupations_Female,755.0,6364,1921.0,11943,482.0,Asian Alone,2011
136,Sales and related occupations_Female,350.0,5745,4136.0,16013,791.0,Asian Alone,2011
137,Office and administrative support occupations_Female,824.0,8459,6184.0,19986,1176.0,Asian Alone,2011
139,"Farming, fishing, and forestry occupations_Female",0.0,69,0.0,117,0.0,Asian Alone,2011
140,Construction and extraction occupations_Female,0.0,0,220.0,332,196.0,Asian Alone,2011
141,"Installation, maintenance, and repair occupations_Female",0.0,40,106.0,35,0.0,Asian Alone,2011
143,Production occupations_Female,748.0,3720,735.0,4435,81.0,Asian Alone,2011
144,Transportation occupations_Female,0.0,85,0.0,305,155.0,Asian Alone,2011
145,Material moving occupations_Female,39.0,623,333.0,1266,0.0,Asian Alone,2011
150,Management occupations_Male,271.0,3793,6327.0,12551,,Asian Alone,2012
151,Business and financial operations occupations_Male,487.0,3518,5860.0,7985,,Asian Alone,2012
153,Computer and mathematical occupations_Male,603.0,2560,3134.0,8110,,Asian Alone,2012
154,Architecture and engineering occupations_Male,232.0,1345,445.0,3229,,Asian Alone,2012
155,"Life, physical, and social science occupations_Male",161.0,476,843.0,1128,,Asian Alone,2012
157,Community and social service occupations_Male,115.0,241,780.0,1615,,Asian Alone,2012
158,Legal occupations_Male,71.0,450,894.0,885,,Asian Alone,2012
159,"Education, training, and library occupations_Male",692.0,1733,1263.0,3342,,Asian Alone,2012
160,"Arts, design, entertainment, sports, and media occupations_Male",0.0,1584,3089.0,3142,,Asian Alone,2012
162,Health diagnosing and treating practitioners and other technical occupations_Male,289.0,2012,3899.0,3624,,Asian Alone,2012
163,Health technologists and technicians_Male,79.0,434,0.0,2136,,Asian Alone,2012
165,Healthcare support occupations_Male,234.0,393,233.0,1693,,Asian Alone,2012
167,"Fire fighting and prevention, and other protective service workers including supervisors_Male",79.0,511,65.0,2004,,Asian Alone,2012
168,Law enforcement workers including supervisors_Male,43.0,652,122.0,792,,Asian Alone,2012
169,Food preparation and serving related occupations_Male,1544.0,11961,4058.0,15273,,Asian Alone,2012
170,Building and grounds cleaning and maintenance occupations_Male,959.0,1549,249.0,2683,,Asian Alone,2012
171,Personal care and service occupations_Male,131.0,1779,1220.0,2619,,Asian Alone,2012
173,Sales and related occupations_Male,2256.0,8120,6294.0,17588,,Asian Alone,2012
174,Office and administrative support occupations_Male,1101.0,5816,3917.0,12514,,Asian Alone,2012
176,"Farming, fishing, and forestry occupations_Male",0.0,179,0.0,0,,Asian Alone,2012
177,Construction and extraction occupations_Male,1008.0,3670,269.0,8746,,Asian Alone,2012
178,"Installation, maintenance, and repair occupations_Male",518.0,1782,385.0,3998,,Asian Alone,2012
180,Production occupations_Male,472.0,2785,631.0,4583,,Asian Alone,2012
181,Transportation occupations_Male,1556.0,7669,2146.0,18306,,Asian Alone,2012
182,Material moving occupations_Male,282.0,1146,653.0,1798,,Asian Alone,2012
186,Management occupations_Female,305.0,4371,7336.0,8943,,Asian Alone,2012
187,Business and financial operations occupations_Female,620.0,4723,7726.0,8139,,Asian Alone,2012
189,Computer and mathematical occupations_Female,277.0,924,1603.0,2071,,Asian Alone,2012
190,Architecture and engineering occupations_Female,49.0,695,704.0,397,,Asian Alone,2012
191,"Life, physical, and social science occupations_Female",131.0,468,1273.0,845,,Asian Alone,2012
193,Community and social service occupations_Female,0.0,482,677.0,1142,,Asian Alone,2012
194,Legal occupations_Female,0.0,334,3190.0,1143,,Asian Alone,2012
195,"Education, training, and library occupations_Female",435.0,3291,3601.0,6304,,Asian Alone,2012
196,"Arts, design, entertainment, sports, and media occupations_Female",32.0,3219,5660.0,2246,,Asian Alone,2012
198,Health diagnosing and treating practitioners and other technical occupations_Female,944.0,3099,5435.0,9779,,Asian Alone,2012
199,Health technologists and technicians_Female,175.0,833,366.0,2363,,Asian Alone,2012
201,Healthcare support occupations_Female,209.0,4864,2090.0,5629,,Asian Alone,2012
203,"Fire fighting and prevention, and other protective service workers including supervisors_Female",154.0,74,0.0,287,,Asian Alone,2012
204,Law enforcement workers including supervisors_Female,0.0,25,0.0,150,,Asian Alone,2012
205,Food preparation and serving related occupations_Female,575.0,4904,1480.0,5838,,Asian Alone,2012
206,Building and grounds cleaning and maintenance occupations_Female,491.0,1281,851.0,3699,,Asian Alone,2012
207,Personal care and service occupations_Female,909.0,7072,1956.0,13098,,Asian Alone,2012
209,Sales and related occupations_Female,1647.0,7821,5286.0,15594,,Asian Alone,2012
210,Office and administrative support occupations_Female,1132.0,8771,5494.0,17104,,Asian Alone,2012
212,"Farming, fishing, and forestry occupations_Female",0.0,27,0.0,0,,Asian Alone,2012
213,Construction and extraction occupations_Female,0.0,0,122.0,86,,Asian Alone,2012
214,"Installation, maintenance, and repair occupations_Female",0.0,35,0.0,193,,Asian Alone,2012
216,Production occupations_Female,177.0,4642,2251.0,5952,,Asian Alone,2012
217,Transportation occupations_Female,0.0,36,383.0,576,,Asian Alone,2012
218,Material moving occupations_Female,276.0,714,0.0,1111,,Asian Alone,2012
223,Management occupations_Male,1119.0,5702,8433.0,12398,839.0,Asian Alone,2013
224,Business and financial operations occupations_Male,373.0,4164,8996.0,8591,908.0,Asian Alone,2013
226,Computer and mathematical occupations_Male,376.0,4593,4924.0,9292,376.0,Asian Alone,2013
227,Architecture and engineering occupations_Male,312.0,2020,307.0,3065,318.0,Asian Alone,2013
228,"Life, physical, and social science occupations_Male",66.0,480,2009.0,1578,75.0,Asian Alone,2013
230,Community and social service occupations_Male,23.0,401,0.0,1316,326.0,Asian Alone,2013
231,Legal occupations_Male,0.0,504,813.0,1003,0.0,Asian Alone,2013
232,"Education, training, and library occupations_Male",184.0,942,1229.0,3247,39.0,Asian Alone,2013
233,"Arts, design, entertainment, sports, and media occupations_Male",102.0,2166,1874.0,3412,434.0,Asian Alone,2013
235,Health diagnosing and treating practitioners and other technical occupations_Male,1107.0,1939,2590.0,3869,716.0,Asian Alone,2013
236,Health technologists and technicians_Male,332.0,244,511.0,2370,276.0,Asian Alone,2013
238,Healthcare support occupations_Male,302.0,899,800.0,1841,450.0,Asian Alone,2013
240,"Fire fighting and prevention, and other protective service workers including supervisors_Male",250.0,577,360.0,3564,41.0,Asian Alone,2013
241,Law enforcement workers including supervisors_Male,198.0,278,27.0,362,130.0,Asian Alone,2013
242,Food preparation and serving related occupations_Male,1818.0,13293,2883.0,14835,664.0,Asian Alone,2013
243,Building and grounds cleaning and maintenance occupations_Male,538.0,1545,893.0,3446,205.0,Asian Alone,2013
244,Personal care and service occupations_Male,854.0,1188,463.0,3342,0.0,Asian Alone,2013
246,Sales and related occupations_Male,1111.0,8491,6127.0,22264,892.0,Asian Alone,2013
247,Office and administrative support occupations_Male,473.0,5552,4013.0,12735,831.0,Asian Alone,2013
249,"Farming, fishing, and forestry occupations_Male",0.0,0,0.0,235,0.0,Asian Alone,2013
250,Construction and extraction occupations_Male,524.0,4818,360.0,7888,406.0,Asian Alone,2013
251,"Installation, maintenance, and repair occupations_Male",275.0,1393,157.0,3554,569.0,Asian Alone,2013
253,Production occupations_Male,344.0,2866,652.0,6964,434.0,Asian Alone,2013
254,Transportation occupations_Male,1499.0,6498,936.0,16159,781.0,Asian Alone,2013
255,Material moving occupations_Male,25.0,2157,217.0,2513,55.0,Asian Alone,2013
259,Management occupations_Female,386.0,2876,7244.0,8030,842.0,Asian Alone,2013
260,Business and financial operations occupations_Female,665.0,5397,9991.0,9524,659.0,Asian Alone,2013
262,Computer and mathematical occupations_Female,68.0,1602,2892.0,3751,329.0,Asian Alone,2013
263,Architecture and engineering occupations_Female,0.0,222,269.0,831,0.0,Asian Alone,2013
264,"Life, physical, and social science occupations_Female",266.0,272,633.0,1195,41.0,Asian Alone,2013
266,Community and social service occupations_Female,60.0,783,763.0,1100,144.0,Asian Alone,2013
267,Legal occupations_Female,199.0,792,1715.0,1630,0.0,Asian Alone,2013
268,"Education, training, and library occupations_Female",845.0,4281,3713.0,6432,723.0,Asian Alone,2013
269,"Arts, design, entertainment, sports, and media occupations_Female",188.0,4032,3701.0,4215,80.0,Asian Alone,2013
271,Health diagnosing and treating practitioners and other technical occupations_Female,2017.0,4018,6148.0,9341,1737.0,Asian Alone,2013
272,Health technologists and technicians_Female,228.0,803,393.0,2719,351.0,Asian Alone,2013
274,Healthcare support occupations_Female,834.0,6496,2603.0,6361,509.0,Asian Alone,2013
276,"Fire fighting and prevention, and other protective service workers including supervisors_Female",26.0,0,0.0,810,0.0,Asian Alone,2013
277,Law enforcement workers including supervisors_Female,0.0,0,0.0,74,0.0,Asian Alone,2013
278,Food preparation and serving related occupations_Female,386.0,3336,1767.0,7554,139.0,Asian Alone,2013
279,Building and grounds cleaning and maintenance occupations_Female,225.0,1884,996.0,4006,150.0,Asian Alone,2013
280,Personal care and service occupations_Female,752.0,6058,2423.0,14037,221.0,Asian Alone,2013
282,Sales and related occupations_Female,1344.0,8595,4662.0,15812,236.0,Asian Alone,2013
283,Office and administrative support occupations_Female,797.0,7911,6297.0,18812,1262.0,Asian Alone,2013
285,"Farming, fishing, and forestry occupations_Female",0.0,0,0.0,0,0.0,Asian Alone,2013
286,Construction and extraction occupations_Female,0.0,216,0.0,224,0.0,Asian Alone,2013
287,"Installation, maintenance, and repair occupations_Female",0.0,152,0.0,284,0.0,Asian Alone,2013
289,Production occupations_Female,338.0,4552,1587.0,4974,235.0,Asian Alone,2013
290,Transportation occupations_Female,130.0,182,70.0,340,0.0,Asian Alone,2013
291,Material moving occupations_Female,0.0,464,83.0,533,0.0,Asian Alone,2013
296,Management occupations_Male,1402.0,6169,11238.0,13864,985.0,Asian Alone,2014
297,Business and financial operations occupations_Male,309.0,3247,6842.0,7789,334.0,Asian Alone,2014
299,Computer and mathematical occupations_Male,439.0,3745,5013.0,7577,761.0,Asian Alone,2014
300,Architecture and engineering occupations_Male,151.0,1187,1048.0,3387,220.0,Asian Alone,2014
301,"Life, physical, and social science occupations_Male",439.0,329,1413.0,791,0.0,Asian Alone,2014
303,Community and social service occupations_Male,90.0,454,137.0,1068,145.0,Asian Alone,2014
304,Legal occupations_Male,0.0,345,1657.0,1485,333.0,Asian Alone,2014
305,"Education, training, and library occupations_Male",404.0,1807,1129.0,1950,163.0,Asian Alone,2014
306,"Arts, design, entertainment, sports, and media occupations_Male",177.0,2184,3034.0,3588,148.0,Asian Alone,2014
308,Health diagnosing and treating practitioners and other technical occupations_Male,773.0,2085,1765.0,4814,650.0,Asian Alone,2014
309,Health technologists and technicians_Male,587.0,898,125.0,1486,40.0,Asian Alone,2014
311,Healthcare support occupations_Male,283.0,962,61.0,861,196.0,Asian Alone,2014
313,"Fire fighting and prevention, and other protective service workers including supervisors_Male",65.0,492,395.0,1783,301.0,Asian Alone,2014
314,Law enforcement workers including supervisors_Male,220.0,108,130.0,1419,274.0,Asian Alone,2014
315,Food preparation and serving related occupations_Male,1557.0,15553,4090.0,17145,487.0,Asian Alone,2014
316,Building and grounds cleaning and maintenance occupations_Male,810.0,1526,257.0,2327,623.0,Asian Alone,2014
317,Personal care and service occupations_Male,517.0,1722,1261.0,4675,110.0,Asian Alone,2014
319,Sales and related occupations_Male,1822.0,10816,3633.0,17854,1840.0,Asian Alone,2014
320,Office and administrative support occupations_Male,727.0,5336,2068.0,13970,659.0,Asian Alone,2014
322,"Farming, fishing, and forestry occupations_Male",0.0,0,0.0,0,0.0,Asian Alone,2014
323,Construction and extraction occupations_Male,441.0,3891,1376.0,8009,222.0,Asian Alone,2014
324,"Installation, maintenance, and repair occupations_Male",292.0,1519,446.0,5696,135.0,Asian Alone,2014
326,Production occupations_Male,450.0,3316,1483.0,5471,477.0,Asian Alone,2014
327,Transportation occupations_Male,1780.0,8341,920.0,23046,524.0,Asian Alone,2014
328,Material moving occupations_Male,34.0,1331,444.0,2985,191.0,Asian Alone,2014
332,Management occupations_Female,551.0,4442,11092.0,8872,257.0,Asian Alone,2014
333,Business and financial operations occupations_Female,331.0,4547,8454.0,9744,562.0,Asian Alone,2014
335,Computer and mathematical occupations_Female,61.0,1529,1382.0,2340,300.0,Asian Alone,2014
336,Architecture and engineering occupations_Female,30.0,857,411.0,506,0.0,Asian Alone,2014
337,"Life, physical, and social science occupations_Female",342.0,355,1026.0,1312,82.0,Asian Alone,2014
339,Community and social service occupations_Female,0.0,1055,535.0,1627,46.0,Asian Alone,2014
340,Legal occupations_Female,71.0,1120,2018.0,1739,39.0,Asian Alone,2014
341,"Education, training, and library occupations_Female",542.0,3896,3299.0,7256,810.0,Asian Alone,2014
342,"Arts, design, entertainment, sports, and media occupations_Female",146.0,3647,4241.0,3595,437.0,Asian Alone,2014
344,Health diagnosing and treating practitioners and other technical occupations_Female,1770.0,3650,4023.0,10409,1167.0,Asian Alone,2014
345,Health technologists and technicians_Female,243.0,1068,652.0,3380,235.0,Asian Alone,2014
347,Healthcare support occupations_Female,516.0,5731,2173.0,7044,560.0,Asian Alone,2014
349,"Fire fighting and prevention, and other protective service workers including supervisors_Female",0.0,43,43.0,219,36.0,Asian Alone,2014
350,Law enforcement workers including supervisors_Female,0.0,39,0.0,0,43.0,Asian Alone,2014
351,Food preparation and serving related occupations_Female,471.0,4583,2040.0,6176,432.0,Asian Alone,2014
352,Building and grounds cleaning and maintenance occupations_Female,448.0,2126,824.0,3553,152.0,Asian Alone,2014
353,Personal care and service occupations_Female,2166.0,8569,2925.0,17999,663.0,Asian Alone,2014
355,Sales and related occupations_Female,2370.0,8101,5537.0,14298,1472.0,Asian Alone,2014
356,Office and administrative support occupations_Female,883.0,9316,6423.0,18542,1152.0,Asian Alone,2014
358,"Farming, fishing, and forestry occupations_Female",0.0,0,62.0,0,0.0,Asian Alone,2014
359,Construction and extraction occupations_Female,0.0,87,117.0,126,0.0,Asian Alone,2014
360,"Installation, maintenance, and repair occupations_Female",0.0,185,0.0,310,0.0,Asian Alone,2014
362,Production occupations_Female,86.0,4984,1047.0,5108,211.0,Asian Alone,2014
363,Transportation occupations_Female,0.0,143,0.0,349,0.0,Asian Alone,2014
364,Material moving occupations_Female,157.0,509,94.0,723,39.0,Asian Alone,2014
369,Management occupations_Male,1270.0,6704,8888.0,13589,297.0,Asian Alone,2015
370,Business and financial operations occupations_Male,356.0,3040,7991.0,8837,1034.0,Asian Alone,2015
372,Computer and mathematical occupations_Male,454.0,5352,4897.0,9338,370.0,Asian Alone,2015
373,Architecture and engineering occupations_Male,388.0,1447,1380.0,3381,367.0,Asian Alone,2015
374,"Life, physical, and social science occupations_Male",249.0,713,1700.0,885,228.0,Asian Alone,2015
376,Community and social service occupations_Male,170.0,318,258.0,2021,239.0,Asian Alone,2015
377,Legal occupations_Male,203.0,1068,657.0,654,100.0,Asian Alone,2015
378,"Education, training, and library occupations_Male",611.0,1440,1392.0,3017,326.0,Asian Alone,2015
379,"Arts, design, entertainment, sports, and media occupations_Male",153.0,2917,4023.0,2794,50.0,Asian Alone,2015
381,Health diagnosing and treating practitioners and other technical occupations_Male,736.0,2064,2917.0,4816,540.0,Asian Alone,2015
382,Health technologists and technicians_Male,333.0,1027,30.0,1258,212.0,Asian Alone,2015
384,Healthcare support occupations_Male,87.0,421,265.0,1733,311.0,Asian Alone,2015
386,"Fire fighting and prevention, and other protective service workers including supervisors_Male",437.0,825,652.0,1669,208.0,Asian Alone,2015
387,Law enforcement workers including supervisors_Male,33.0,652,0.0,2034,206.0,Asian Alone,2015
388,Food preparation and serving related occupations_Male,2299.0,12584,4535.0,17262,211.0,Asian Alone,2015
389,Building and grounds cleaning and maintenance occupations_Male,471.0,2026,307.0,3207,168.0,Asian Alone,2015
390,Personal care and service occupations_Male,418.0,1800,541.0,3096,252.0,Asian Alone,2015
392,Sales and related occupations_Male,1098.0,7571,5461.0,19996,1619.0,Asian Alone,2015
393,Office and administrative support occupations_Male,750.0,7300,2904.0,13077,994.0,Asian Alone,2015
395,"Farming, fishing, and forestry occupations_Male",0.0,301,0.0,292,97.0,Asian Alone,2015
396,Construction and extraction occupations_Male,550.0,5746,491.0,8390,400.0,Asian Alone,2015
397,"Installation, maintenance, and repair occupations_Male",466.0,2355,363.0,4798,202.0,Asian Alone,2015
399,Production occupations_Male,642.0,2832,470.0,6790,341.0,Asian Alone,2015
400,Transportation occupations_Male,922.0,9253,2247.0,23510,1331.0,Asian Alone,2015
401,Material moving occupations_Male,355.0,980,536.0,2093,122.0,Asian Alone,2015
405,Management occupations_Female,309.0,5916,7608.0,8459,419.0,Asian Alone,2015
406,Business and financial operations occupations_Female,445.0,6417,6718.0,9590,806.0,Asian Alone,2015
408,Computer and mathematical occupations_Female,550.0,1468,1888.0,3002,0.0,Asian Alone,2015
409,Architecture and engineering occupations_Female,0.0,365,769.0,679,0.0,Asian Alone,2015
410,"Life, physical, and social science occupations_Female",360.0,783,1470.0,1215,58.0,Asian Alone,2015
412,Community and social service occupations_Female,58.0,640,532.0,1072,179.0,Asian Alone,2015
413,Legal occupations_Female,172.0,1452,1738.0,1236,0.0,Asian Alone,2015
414,"Education, training, and library occupations_Female",526.0,4105,4633.0,7903,145.0,Asian Alone,2015
415,"Arts, design, entertainment, sports, and media occupations_Female",173.0,3785,4688.0,5070,0.0,Asian Alone,2015
417,Health diagnosing and treating practitioners and other technical occupations_Female,1342.0,3763,5237.0,12510,1571.0,Asian Alone,2015
418,Health technologists and technicians_Female,363.0,1022,940.0,3285,435.0,Asian Alone,2015
420,Healthcare support occupations_Female,686.0,7992,2078.0,7033,685.0,Asian Alone,2015
422,"Fire fighting and prevention, and other protective service workers including supervisors_Female",0.0,147,549.0,690,0.0,Asian Alone,2015
423,Law enforcement workers including supervisors_Female,0.0,0,130.0,154,366.0,Asian Alone,2015
424,Food preparation and serving related occupations_Female,302.0,5985,1649.0,4696,227.0,Asian Alone,2015
425,Building and grounds cleaning and maintenance occupations_Female,362.0,1532,555.0,4648,237.0,Asian Alone,2015
426,Personal care and service occupations_Female,824.0,6494,2733.0,15547,446.0,Asian Alone,2015
428,Sales and related occupations_Female,1014.0,8237,5550.0,16193,930.0,Asian Alone,2015
429,Office and administrative support occupations_Female,1994.0,9838,7277.0,22301,1229.0,Asian Alone,2015
431,"Farming, fishing, and forestry occupations_Female",0.0,0,0.0,0,0.0,Asian Alone,2015
432,Construction and extraction occupations_Female,0.0,169,0.0,355,0.0,Asian Alone,2015
433,"Installation, maintenance, and repair occupations_Female",47.0,122,37.0,162,0.0,Asian Alone,2015
435,Production occupations_Female,381.0,3645,925.0,3034,208.0,Asian Alone,2015
436,Transportation occupations_Female,59.0,298,0.0,886,0.0,Asian Alone,2015
437,Material moving occupations_Female,0.0,576,0.0,478,53.0,Asian Alone,2015
442,Management occupations_Male,723.0,6979,8643.0,14376,1459.0,Asian Alone,2016
443,Business and financial operations occupations_Male,425.0,3269,6216.0,8077,962.0,Asian Alone,2016
445,Computer and mathematical occupations_Male,565.0,5728,5778.0,7970,967.0,Asian Alone,2016
446,Architecture and engineering occupations_Male,53.0,1936,1271.0,3160,323.0,Asian Alone,2016
447,"Life, physical, and social science occupations_Male",99.0,460,474.0,1250,155.0,Asian Alone,2016
449,Community and social service occupations_Male,171.0,359,231.0,1939,54.0,Asian Alone,2016
450,Legal occupations_Male,108.0,704,1942.0,1083,0.0,Asian Alone,2016
451,"Education, training, and library occupations_Male",727.0,2101,1567.0,4326,153.0,Asian Alone,2016
