,Occupations,year,Gender,YearlyNumEmpbyGender
2365,Transportation occupations,2019,Male,252419.5
2370,Material moving occupations,2019,Male,103340.5
2375,Management occupations,2019,Female,343394.0
2380,Business and financial operations occupations,2019,Female,223463.0
2385,Computer and mathematical occupations,2019,Female,58892.0
2390,Architecture and engineering occupations,2019,Female,19322.5
2395,"Life, physical, and social science occupations",2019,Female,31250.0
2400,Community and social service occupations,2019,Female,95029.5
2405,Legal occupations,2019,Female,75964.0
2410,"Education, training, and library occupations",2019,Female,316608.0
2415,"Arts, design, entertainment, sports, and media occupations",2019,Female,173287.0
2420,Health diagnosing and treating practitioners and other technical occupations,2019,Female,171998.0
2425,Health technologists and technicians,2019,Female,59132.0
2430,Healthcare support occupations,2019,Female,327987.0
2435,"Fire fighting and prevention, and other protective service workers including supervisors",2019,Female,36204.0
2440,Law enforcement workers including supervisors,2019,Female,17479.5
2445,Food preparation and serving related occupations,2019,Female,138112.5
2450,Building and grounds cleaning and maintenance occupations,2019,Female,124382.0
2455,Personal care and service occupations,2019,Female,172297.0
2460,Sales and related occupations,2019,Female,289386.0
2465,Office and administrative support occupations,2019,Female,447169.0
2470,"Farming, fishing, and forestry occupations",2019,Female,3078.0
2475,Construction and extraction occupations,2019,Female,9893.0
2480,"Installation, maintenance, and repair occupations",2019,Female,5154.0
2485,Production occupations,2019,Female,50478.5
2490,Transportation occupations,2019,Female,30416.5
2495,Material moving occupations,2019,Female,29457.0
