Occupations,year,race,Gender,County,NumEmp
Law enforcement workers including supervisors,2010,Asian Alone,Female,"Queens County, New York",64
Law enforcement workers including supervisors,2010,Asian Alone,Female,"Richmond County, New York",0
Food preparation and serving related occupations,2010,Asian Alone,Female,"Bronx County, New York",173
Food preparation and serving related occupations,2010,Asian Alone,Female,"Kings County, New York",4249
Food preparation and serving related occupations,2010,Asian Alone,Female,"New York County, New York",1676
Food preparation and serving related occupations,2010,Asian Alone,Female,"Queens County, New York",5781
Food preparation and serving related occupations,2010,Asian Alone,Female,"Richmond County, New York",396
Building and grounds cleaning and maintenance occupations,2010,Asian Alone,Female,"Bronx County, New York",835
Building and grounds cleaning and maintenance occupations,2010,Asian Alone,Female,"Kings County, New York",2371
Building and grounds cleaning and maintenance occupations,2010,Asian Alone,Female,"New York County, New York",1210
Building and grounds cleaning and maintenance occupations,2010,Asian Alone,Female,"Queens County, New York",3074
Building and grounds cleaning and maintenance occupations,2010,Asian Alone,Female,"Richmond County, New York",150
Personal care and service occupations,2010,Asian Alone,Female,"Bronx County, New York",790
Personal care and service occupations,2010,Asian Alone,Female,"Kings County, New York",4555
Personal care and service occupations,2010,Asian Alone,Female,"New York County, New York",2656
Personal care and service occupations,2010,Asian Alone,Female,"Queens County, New York",15653
Personal care and service occupations,2010,Asian Alone,Female,"Richmond County, New York",1054
Sales and related occupations,2010,Asian Alone,Female,"Bronx County, New York",1206
Sales and related occupations,2010,Asian Alone,Female,"Kings County, New York",6498
Sales and related occupations,2010,Asian Alone,Female,"New York County, New York",4934
Sales and related occupations,2010,Asian Alone,Female,"Queens County, New York",14449
Sales and related occupations,2010,Asian Alone,Female,"Richmond County, New York",1100
Office and administrative support occupations,2010,Asian Alone,Female,"Bronx County, New York",1446
Office and administrative support occupations,2010,Asian Alone,Female,"Kings County, New York",9991
Office and administrative support occupations,2010,Asian Alone,Female,"New York County, New York",6179
Office and administrative support occupations,2010,Asian Alone,Female,"Queens County, New York",21502
Office and administrative support occupations,2010,Asian Alone,Female,"Richmond County, New York",1211
"Farming, fishing, and forestry occupations",2010,Asian Alone,Female,"Bronx County, New York",0
"Farming, fishing, and forestry occupations",2010,Asian Alone,Female,"Kings County, New York",298
"Farming, fishing, and forestry occupations",2010,Asian Alone,Female,"New York County, New York",0
"Farming, fishing, and forestry occupations",2010,Asian Alone,Female,"Queens County, New York",0
"Farming, fishing, and forestry occupations",2010,Asian Alone,Female,"Richmond County, New York",0
Construction and extraction occupations,2010,Asian Alone,Female,"Bronx County, New York",0
Construction and extraction occupations,2010,Asian Alone,Female,"Kings County, New York",218
Construction and extraction occupations,2010,Asian Alone,Female,"New York County, New York",0
Construction and extraction occupations,2010,Asian Alone,Female,"Queens County, New York",336
Construction and extraction occupations,2010,Asian Alone,Female,"Richmond County, New York",0
"Installation, maintenance, and repair occupations",2010,Asian Alone,Female,"Bronx County, New York",0
"Installation, maintenance, and repair occupations",2010,Asian Alone,Female,"Kings County, New York",39
"Installation, maintenance, and repair occupations",2010,Asian Alone,Female,"New York County, New York",0
"Installation, maintenance, and repair occupations",2010,Asian Alone,Female,"Queens County, New York",109
"Installation, maintenance, and repair occupations",2010,Asian Alone,Female,"Richmond County, New York",0
Production occupations,2010,Asian Alone,Female,"Bronx County, New York",387
Production occupations,2010,Asian Alone,Female,"Kings County, New York",4391
Production occupations,2010,Asian Alone,Female,"New York County, New York",1794
Production occupations,2010,Asian Alone,Female,"Queens County, New York",4145
Production occupations,2010,Asian Alone,Female,"Richmond County, New York",214
Transportation occupations,2010,Asian Alone,Female,"Bronx County, New York",0
Transportation occupations,2010,Asian Alone,Female,"Kings County, New York",95
Transportation occupations,2010,Asian Alone,Female,"New York County, New York",112
Transportation occupations,2010,Asian Alone,Female,"Queens County, New York",493
Transportation occupations,2010,Asian Alone,Female,"Richmond County, New York",0
Material moving occupations,2010,Asian Alone,Female,"Bronx County, New York",0
Material moving occupations,2010,Asian Alone,Female,"Kings County, New York",1018
Material moving occupations,2010,Asian Alone,Female,"New York County, New York",683
Material moving occupations,2010,Asian Alone,Female,"Queens County, New York",776
Material moving occupations,2010,Asian Alone,Female,"Richmond County, New York",0
Management occupations,2011,Asian Alone,Male,"Bronx County, New York",280
Management occupations,2011,Asian Alone,Male,"Kings County, New York",3095
Management occupations,2011,Asian Alone,Male,"New York County, New York",6393
Management occupations,2011,Asian Alone,Male,"Queens County, New York",10106
Management occupations,2011,Asian Alone,Male,"Richmond County, New York",909
Business and financial operations occupations,2011,Asian Alone,Male,"Bronx County, New York",264
Business and financial operations occupations,2011,Asian Alone,Male,"Kings County, New York",2934
Business and financial operations occupations,2011,Asian Alone,Male,"New York County, New York",7085
Business and financial operations occupations,2011,Asian Alone,Male,"Queens County, New York",6953
Business and financial operations occupations,2011,Asian Alone,Male,"Richmond County, New York",706
Computer and mathematical occupations,2011,Asian Alone,Male,"Bronx County, New York",556
Computer and mathematical occupations,2011,Asian Alone,Male,"Kings County, New York",2867
Computer and mathematical occupations,2011,Asian Alone,Male,"New York County, New York",2313
Computer and mathematical occupations,2011,Asian Alone,Male,"Queens County, New York",8325
Computer and mathematical occupations,2011,Asian Alone,Male,"Richmond County, New York",323
Architecture and engineering occupations,2011,Asian Alone,Male,"Bronx County, New York",83
Architecture and engineering occupations,2011,Asian Alone,Male,"Kings County, New York",1609
Architecture and engineering occupations,2011,Asian Alone,Male,"New York County, New York",685
Architecture and engineering occupations,2011,Asian Alone,Male,"Queens County, New York",2760
Architecture and engineering occupations,2011,Asian Alone,Male,"Richmond County, New York",199
"Life, physical, and social science occupations",2011,Asian Alone,Male,"Bronx County, New York",302
"Life, physical, and social science occupations",2011,Asian Alone,Male,"Kings County, New York",341
"Life, physical, and social science occupations",2011,Asian Alone,Male,"New York County, New York",894
"Life, physical, and social science occupations",2011,Asian Alone,Male,"Queens County, New York",787
"Life, physical, and social science occupations",2011,Asian Alone,Male,"Richmond County, New York",105
Community and social service occupations,2011,Asian Alone,Male,"Bronx County, New York",174
Community and social service occupations,2011,Asian Alone,Male,"Kings County, New York",152
Community and social service occupations,2011,Asian Alone,Male,"New York County, New York",33
Community and social service occupations,2011,Asian Alone,Male,"Queens County, New York",1088
Community and social service occupations,2011,Asian Alone,Male,"Richmond County, New York",225
Legal occupations,2011,Asian Alone,Male,"Bronx County, New York",45
Legal occupations,2011,Asian Alone,Male,"Kings County, New York",291
Legal occupations,2011,Asian Alone,Male,"New York County, New York",1487
Legal occupations,2011,Asian Alone,Male,"Queens County, New York",262
Legal occupations,2011,Asian Alone,Male,"Richmond County, New York",0
"Education, training, and library occupations",2011,Asian Alone,Male,"Bronx County, New York",207
"Education, training, and library occupations",2011,Asian Alone,Male,"Kings County, New York",740
"Education, training, and library occupations",2011,Asian Alone,Male,"New York County, New York",3403
"Education, training, and library occupations",2011,Asian Alone,Male,"Queens County, New York",3177
"Education, training, and library occupations",2011,Asian Alone,Male,"Richmond County, New York",215
"Arts, design, entertainment, sports, and media occupations",2011,Asian Alone,Male,"Bronx County, New York",296
"Arts, design, entertainment, sports, and media occupations",2011,Asian Alone,Male,"Kings County, New York",2381
"Arts, design, entertainment, sports, and media occupations",2011,Asian Alone,Male,"New York County, New York",2041
"Arts, design, entertainment, sports, and media occupations",2011,Asian Alone,Male,"Queens County, New York",3012
"Arts, design, entertainment, sports, and media occupations",2011,Asian Alone,Male,"Richmond County, New York",79
Health diagnosing and treating practitioners and other technical occupations,2011,Asian Alone,Male,"Bronx County, New York",519
Health diagnosing and treating practitioners and other technical occupations,2011,Asian Alone,Male,"Kings County, New York",1360
Health diagnosing and treating practitioners and other technical occupations,2011,Asian Alone,Male,"New York County, New York",2888
Health diagnosing and treating practitioners and other technical occupations,2011,Asian Alone,Male,"Queens County, New York",4113
Health diagnosing and treating practitioners and other technical occupations,2011,Asian Alone,Male,"Richmond County, New York",794
Health technologists and technicians,2011,Asian Alone,Male,"Bronx County, New York",330
Health technologists and technicians,2011,Asian Alone,Male,"Kings County, New York",576
Health technologists and technicians,2011,Asian Alone,Male,"New York County, New York",356
Health technologists and technicians,2011,Asian Alone,Male,"Queens County, New York",1710
Health technologists and technicians,2011,Asian Alone,Male,"Richmond County, New York",339
Healthcare support occupations,2011,Asian Alone,Male,"Bronx County, New York",17
Healthcare support occupations,2011,Asian Alone,Male,"Kings County, New York",976
Healthcare support occupations,2011,Asian Alone,Male,"New York County, New York",402
Healthcare support occupations,2011,Asian Alone,Male,"Queens County, New York",1234
Healthcare support occupations,2011,Asian Alone,Male,"Richmond County, New York",381
"Fire fighting and prevention, and other protective service workers including supervisors",2011,Asian Alone,Male,"Bronx County, New York",143
"Fire fighting and prevention, and other protective service workers including supervisors",2011,Asian Alone,Male,"Kings County, New York",671
"Fire fighting and prevention, and other protective service workers including supervisors",2011,Asian Alone,Male,"New York County, New York",33
"Fire fighting and prevention, and other protective service workers including supervisors",2011,Asian Alone,Male,"Queens County, New York",1440
"Fire fighting and prevention, and other protective service workers including supervisors",2011,Asian Alone,Male,"Richmond County, New York",71
Law enforcement workers including supervisors,2011,Asian Alone,Male,"Bronx County, New York",47
Law enforcement workers including supervisors,2011,Asian Alone,Male,"Kings County, New York",348
Law enforcement workers including supervisors,2011,Asian Alone,Male,"New York County, New York",51
Law enforcement workers including supervisors,2011,Asian Alone,Male,"Queens County, New York",747
Law enforcement workers including supervisors,2011,Asian Alone,Male,"Richmond County, New York",0
Food preparation and serving related occupations,2011,Asian Alone,Male,"Bronx County, New York",1614
Food preparation and serving related occupations,2011,Asian Alone,Male,"Kings County, New York",14639
Food preparation and serving related occupations,2011,Asian Alone,Male,"New York County, New York",5338
Food preparation and serving related occupations,2011,Asian Alone,Male,"Queens County, New York",14207
Food preparation and serving related occupations,2011,Asian Alone,Male,"Richmond County, New York",336
Building and grounds cleaning and maintenance occupations,2011,Asian Alone,Male,"Bronx County, New York",443
Building and grounds cleaning and maintenance occupations,2011,Asian Alone,Male,"Kings County, New York",1615
Building and grounds cleaning and maintenance occupations,2011,Asian Alone,Male,"New York County, New York",668
Building and grounds cleaning and maintenance occupations,2011,Asian Alone,Male,"Queens County, New York",3853
Building and grounds cleaning and maintenance occupations,2011,Asian Alone,Male,"Richmond County, New York",266
Personal care and service occupations,2011,Asian Alone,Male,"Bronx County, New York",255
Personal care and service occupations,2011,Asian Alone,Male,"Kings County, New York",1451
Personal care and service occupations,2011,Asian Alone,Male,"New York County, New York",753
Personal care and service occupations,2011,Asian Alone,Male,"Queens County, New York",3685
Personal care and service occupations,2011,Asian Alone,Male,"Richmond County, New York",282
Sales and related occupations,2011,Asian Alone,Male,"Bronx County, New York",713
Sales and related occupations,2011,Asian Alone,Male,"Kings County, New York",6519
Sales and related occupations,2011,Asian Alone,Male,"New York County, New York",5416
Sales and related occupations,2011,Asian Alone,Male,"Queens County, New York",21157
Sales and related occupations,2011,Asian Alone,Male,"Richmond County, New York",2195
Office and administrative support occupations,2011,Asian Alone,Male,"Bronx County, New York",919
Office and administrative support occupations,2011,Asian Alone,Male,"Kings County, New York",5141
Office and administrative support occupations,2011,Asian Alone,Male,"New York County, New York",2957
Office and administrative support occupations,2011,Asian Alone,Male,"Queens County, New York",12337
Office and administrative support occupations,2011,Asian Alone,Male,"Richmond County, New York",701
"Farming, fishing, and forestry occupations",2011,Asian Alone,Male,"Bronx County, New York",0
"Farming, fishing, and forestry occupations",2011,Asian Alone,Male,"Kings County, New York",53
"Farming, fishing, and forestry occupations",2011,Asian Alone,Male,"New York County, New York",0
"Farming, fishing, and forestry occupations",2011,Asian Alone,Male,"Queens County, New York",22
"Farming, fishing, and forestry occupations",2011,Asian Alone,Male,"Richmond County, New York",202
Construction and extraction occupations,2011,Asian Alone,Male,"Bronx County, New York",636
Construction and extraction occupations,2011,Asian Alone,Male,"Kings County, New York",4875
Construction and extraction occupations,2011,Asian Alone,Male,"New York County, New York",711
Construction and extraction occupations,2011,Asian Alone,Male,"Queens County, New York",6463
Construction and extraction occupations,2011,Asian Alone,Male,"Richmond County, New York",225
"Installation, maintenance, and repair occupations",2011,Asian Alone,Male,"Bronx County, New York",853
"Installation, maintenance, and repair occupations",2011,Asian Alone,Male,"Kings County, New York",2377
"Installation, maintenance, and repair occupations",2011,Asian Alone,Male,"New York County, New York",187
"Installation, maintenance, and repair occupations",2011,Asian Alone,Male,"Queens County, New York",3961
"Installation, maintenance, and repair occupations",2011,Asian Alone,Male,"Richmond County, New York",218
Production occupations,2011,Asian Alone,Male,"Bronx County, New York",956
Production occupations,2011,Asian Alone,Male,"Kings County, New York",2408
Production occupations,2011,Asian Alone,Male,"New York County, New York",388
Production occupations,2011,Asian Alone,Male,"Queens County, New York",5519
Production occupations,2011,Asian Alone,Male,"Richmond County, New York",563
Transportation occupations,2011,Asian Alone,Male,"Bronx County, New York",1613
Transportation occupations,2011,Asian Alone,Male,"Kings County, New York",7573
Transportation occupations,2011,Asian Alone,Male,"New York County, New York",2036
Transportation occupations,2011,Asian Alone,Male,"Queens County, New York",19556
Transportation occupations,2011,Asian Alone,Male,"Richmond County, New York",782
Material moving occupations,2011,Asian Alone,Male,"Bronx County, New York",0
Material moving occupations,2011,Asian Alone,Male,"Kings County, New York",1760
Material moving occupations,2011,Asian Alone,Male,"New York County, New York",774
Material moving occupations,2011,Asian Alone,Male,"Queens County, New York",2553
Material moving occupations,2011,Asian Alone,Male,"Richmond County, New York",0
