,Occupations,year,race,YearlyNumEmpbyRace
535,"Education, training, and library occupations",2012,Asian Alone,21385.25
540,"Arts, design, entertainment, sports, and media occupations",2012,Asian Alone,19289.0
545,Health diagnosing and treating practitioners and other technical occupations,2012,Asian Alone,31459.125
550,Health technologists and technicians,2012,Asian Alone,6955.125
555,Healthcare support occupations,2012,Asian Alone,16521.25
560,"Fire fighting and prevention, and other protective service workers including supervisors",2012,Asian Alone,3365.625
565,Law enforcement workers including supervisors,2012,Asian Alone,1949.25
570,Food preparation and serving related occupations,2012,Asian Alone,46713.25
575,Building and grounds cleaning and maintenance occupations,2012,Asian Alone,12327.625
580,Personal care and service occupations,2012,Asian Alone,29548.125
585,Sales and related occupations,2012,Asian Alone,66831.125
590,Office and administrative support occupations,2012,Asian Alone,58106.625
595,"Farming, fishing, and forestry occupations",2012,Asian Alone,254.125
600,Construction and extraction occupations,2012,Asian Alone,14350.0
605,"Installation, maintenance, and repair occupations",2012,Asian Alone,7236.375
610,Production occupations,2012,Asian Alone,22157.75
615,Transportation occupations,2012,Asian Alone,31629.375
620,Material moving occupations,2012,Asian Alone,6136.875
750,Management occupations,2013,Asian Alone,47869.0
755,Business and financial operations occupations,2013,Asian Alone,49268.0
760,Computer and mathematical occupations,2013,Asian Alone,28203.0
765,Architecture and engineering occupations,2013,Asian Alone,7344.0
770,"Life, physical, and social science occupations",2013,Asian Alone,6615.0
775,Community and social service occupations,2013,Asian Alone,4916.0
780,Legal occupations,2013,Asian Alone,6656.0
785,"Education, training, and library occupations",2013,Asian Alone,21635.0
790,"Arts, design, entertainment, sports, and media occupations",2013,Asian Alone,20204.0
795,Health diagnosing and treating practitioners and other technical occupations,2013,Asian Alone,33482.0
800,Health technologists and technicians,2013,Asian Alone,8227.0
805,Healthcare support occupations,2013,Asian Alone,21095.0
810,"Fire fighting and prevention, and other protective service workers including supervisors",2013,Asian Alone,5628.0
815,Law enforcement workers including supervisors,2013,Asian Alone,1069.0
820,Food preparation and serving related occupations,2013,Asian Alone,46675.0
825,Building and grounds cleaning and maintenance occupations,2013,Asian Alone,13888.0
830,Personal care and service occupations,2013,Asian Alone,29338.0
835,Sales and related occupations,2013,Asian Alone,69534.0
840,Office and administrative support occupations,2013,Asian Alone,58683.0
845,"Farming, fishing, and forestry occupations",2013,Asian Alone,235.0
850,Construction and extraction occupations,2013,Asian Alone,14436.0
855,"Installation, maintenance, and repair occupations",2013,Asian Alone,6384.0
860,Production occupations,2013,Asian Alone,22946.0
865,Transportation occupations,2013,Asian Alone,26595.0
870,Material moving occupations,2013,Asian Alone,6047.0
1000,Management occupations,2014,Asian Alone,58872.0
1005,Business and financial operations occupations,2014,Asian Alone,42159.0
1010,Computer and mathematical occupations,2014,Asian Alone,23147.0
1015,Architecture and engineering occupations,2014,Asian Alone,7797.0
1020,"Life, physical, and social science occupations",2014,Asian Alone,6089.0
1025,Community and social service occupations,2014,Asian Alone,5157.0
1030,Legal occupations,2014,Asian Alone,8807.0
1035,"Education, training, and library occupations",2014,Asian Alone,21256.0
1040,"Arts, design, entertainment, sports, and media occupations",2014,Asian Alone,21197.0
1045,Health diagnosing and treating practitioners and other technical occupations,2014,Asian Alone,31106.0
1050,Health technologists and technicians,2014,Asian Alone,8714.0
1055,Healthcare support occupations,2014,Asian Alone,18387.0
1060,"Fire fighting and prevention, and other protective service workers including supervisors",2014,Asian Alone,3377.0
1065,Law enforcement workers including supervisors,2014,Asian Alone,2233.0
1070,Food preparation and serving related occupations,2014,Asian Alone,52534.0
1075,Building and grounds cleaning and maintenance occupations,2014,Asian Alone,12646.0
1080,Personal care and service occupations,2014,Asian Alone,40607.0
1085,Sales and related occupations,2014,Asian Alone,67743.0
1090,Office and administrative support occupations,2014,Asian Alone,59076.0
1095,"Farming, fishing, and forestry occupations",2014,Asian Alone,62.0
1100,Construction and extraction occupations,2014,Asian Alone,14269.0
1105,"Installation, maintenance, and repair occupations",2014,Asian Alone,8583.0
1110,Production occupations,2014,Asian Alone,22633.0
1115,Transportation occupations,2014,Asian Alone,35103.0
1120,Material moving occupations,2014,Asian Alone,6507.0
1250,Management occupations,2015,Asian Alone,53459.0
1255,Business and financial operations occupations,2015,Asian Alone,45234.0
1260,Computer and mathematical occupations,2015,Asian Alone,27319.0
1265,Architecture and engineering occupations,2015,Asian Alone,8776.0
1270,"Life, physical, and social science occupations",2015,Asian Alone,7661.0
1275,Community and social service occupations,2015,Asian Alone,5487.0
1280,Legal occupations,2015,Asian Alone,7280.0
1285,"Education, training, and library occupations",2015,Asian Alone,24098.0
1290,"Arts, design, entertainment, sports, and media occupations",2015,Asian Alone,23653.0
1295,Health diagnosing and treating practitioners and other technical occupations,2015,Asian Alone,35496.0
1300,Health technologists and technicians,2015,Asian Alone,8905.0
1305,Healthcare support occupations,2015,Asian Alone,21291.0
1310,"Fire fighting and prevention, and other protective service workers including supervisors",2015,Asian Alone,5177.0
1315,Law enforcement workers including supervisors,2015,Asian Alone,3575.0
1320,Food preparation and serving related occupations,2015,Asian Alone,49750.0
1325,Building and grounds cleaning and maintenance occupations,2015,Asian Alone,13513.0
1330,Personal care and service occupations,2015,Asian Alone,32151.0
1335,Sales and related occupations,2015,Asian Alone,67669.0
1340,Office and administrative support occupations,2015,Asian Alone,67664.0
1345,"Farming, fishing, and forestry occupations",2015,Asian Alone,690.0
1350,Construction and extraction occupations,2015,Asian Alone,16101.0
1355,"Installation, maintenance, and repair occupations",2015,Asian Alone,8552.0
1360,Production occupations,2015,Asian Alone,19268.0
1365,Transportation occupations,2015,Asian Alone,38506.0
1370,Material moving occupations,2015,Asian Alone,5193.0
1500,Management occupations,2016,Asian Alone,57771.0
1505,Business and financial operations occupations,2016,Asian Alone,41745.0
1510,Computer and mathematical occupations,2016,Asian Alone,28902.0
1515,Architecture and engineering occupations,2016,Asian Alone,8342.0
1520,"Life, physical, and social science occupations",2016,Asian Alone,6242.0
1525,Community and social service occupations,2016,Asian Alone,6739.0
1530,Legal occupations,2016,Asian Alone,9207.0
1535,"Education, training, and library occupations",2016,Asian Alone,26192.0
1540,"Arts, design, entertainment, sports, and media occupations",2016,Asian Alone,18721.0
1545,Health diagnosing and treating practitioners and other technical occupations,2016,Asian Alone,39413.0
1550,Health technologists and technicians,2016,Asian Alone,8127.0
1555,Healthcare support occupations,2016,Asian Alone,24258.0
1560,"Fire fighting and prevention, and other protective service workers including supervisors",2016,Asian Alone,4833.0
1565,Law enforcement workers including supervisors,2016,Asian Alone,2719.0
1570,Food preparation and serving related occupations,2016,Asian Alone,50139.0
1575,Building and grounds cleaning and maintenance occupations,2016,Asian Alone,14555.0
1580,Personal care and service occupations,2016,Asian Alone,34891.0
1585,Sales and related occupations,2016,Asian Alone,65425.0
1590,Office and administrative support occupations,2016,Asian Alone,69231.0
1595,"Farming, fishing, and forestry occupations",2016,Asian Alone,564.0
1600,Construction and extraction occupations,2016,Asian Alone,15516.0
1605,"Installation, maintenance, and repair occupations",2016,Asian Alone,7448.0
1610,Production occupations,2016,Asian Alone,21737.0
1615,Transportation occupations,2016,Asian Alone,38905.0
1620,Material moving occupations,2016,Asian Alone,6351.0
1750,Management occupations,2017,Asian Alone,58572.0
1755,Business and financial operations occupations,2017,Asian Alone,44589.875
1760,Computer and mathematical occupations,2017,Asian Alone,29161.0
1765,Architecture and engineering occupations,2017,Asian Alone,7662.25
1770,"Life, physical, and social science occupations",2017,Asian Alone,6576.75
1775,Community and social service occupations,2017,Asian Alone,6891.875
1780,Legal occupations,2017,Asian Alone,6983.625
1785,"Education, training, and library occupations",2017,Asian Alone,29953.25
1790,"Arts, design, entertainment, sports, and media occupations",2017,Asian Alone,20224.0
1795,Health diagnosing and treating practitioners and other technical occupations,2017,Asian Alone,39125.125
1800,Health technologists and technicians,2017,Asian Alone,9856.125
1805,Healthcare support occupations,2017,Asian Alone,26314.25
1810,"Fire fighting and prevention, and other protective service workers including supervisors",2017,Asian Alone,3419.625
1815,Law enforcement workers including supervisors,2017,Asian Alone,3751.25
1820,Food preparation and serving related occupations,2017,Asian Alone,53075.25
1825,Building and grounds cleaning and maintenance occupations,2017,Asian Alone,15895.625
1830,Personal care and service occupations,2017,Asian Alone,39267.125
1835,Sales and related occupations,2017,Asian Alone,70381.125
1840,Office and administrative support occupations,2017,Asian Alone,68499.625
1845,"Farming, fishing, and forestry occupations",2017,Asian Alone,522.125
1850,Construction and extraction occupations,2017,Asian Alone,19038.0
1855,"Installation, maintenance, and repair occupations",2017,Asian Alone,8603.375
1860,Production occupations,2017,Asian Alone,19838.75
1865,Transportation occupations,2017,Asian Alone,38718.375
1870,Material moving occupations,2017,Asian Alone,7495.875
2000,Management occupations,2018,Asian Alone,58484.0
2005,Business and financial operations occupations,2018,Asian Alone,47850.0
2010,Computer and mathematical occupations,2018,Asian Alone,33416.0
2015,Architecture and engineering occupations,2018,Asian Alone,10586.0
2020,"Life, physical, and social science occupations",2018,Asian Alone,7949.0
2025,Community and social service occupations,2018,Asian Alone,5133.0
2030,Legal occupations,2018,Asian Alone,8969.0
2035,"Education, training, and library occupations",2018,Asian Alone,25993.0
2040,"Arts, design, entertainment, sports, and media occupations",2018,Asian Alone,22741.0
2045,Health diagnosing and treating practitioners and other technical occupations,2018,Asian Alone,36034.0
2050,Health technologists and technicians,2018,Asian Alone,12108.0
2055,Healthcare support occupations,2018,Asian Alone,37980.0
2060,"Fire fighting and prevention, and other protective service workers including supervisors",2018,Asian Alone,4583.0
2065,Law enforcement workers including supervisors,2018,Asian Alone,3586.0
2070,Food preparation and serving related occupations,2018,Asian Alone,45023.0
2075,Building and grounds cleaning and maintenance occupations,2018,Asian Alone,14018.0
2080,Personal care and service occupations,2018,Asian Alone,25303.0
2085,Sales and related occupations,2018,Asian Alone,66394.0
2090,Office and administrative support occupations,2018,Asian Alone,62721.0
2095,"Farming, fishing, and forestry occupations",2018,Asian Alone,29.0
2100,Construction and extraction occupations,2018,Asian Alone,16173.0
2105,"Installation, maintenance, and repair occupations",2018,Asian Alone,7313.0
2110,Production occupations,2018,Asian Alone,17684.0
2115,Transportation occupations,2018,Asian Alone,47224.0
2120,Material moving occupations,2018,Asian Alone,8990.0
2250,Management occupations,2019,Asian Alone,64103.0
2255,Business and financial operations occupations,2019,Asian Alone,52282.0
2260,Computer and mathematical occupations,2019,Asian Alone,33592.0
2265,Architecture and engineering occupations,2019,Asian Alone,8423.0
2270,"Life, physical, and social science occupations",2019,Asian Alone,6366.0
2275,Community and social service occupations,2019,Asian Alone,6778.0
2280,Legal occupations,2019,Asian Alone,7682.0
2285,"Education, training, and library occupations",2019,Asian Alone,23658.0
2290,"Arts, design, entertainment, sports, and media occupations",2019,Asian Alone,23374.0
2295,Health diagnosing and treating practitioners and other technical occupations,2019,Asian Alone,42368.0
2300,Health technologists and technicians,2019,Asian Alone,12125.0
2305,Healthcare support occupations,2019,Asian Alone,44371.0
2310,"Fire fighting and prevention, and other protective service workers including supervisors",2019,Asian Alone,6901.0
2315,Law enforcement workers including supervisors,2019,Asian Alone,3845.0
2320,Food preparation and serving related occupations,2019,Asian Alone,47373.0
2325,Building and grounds cleaning and maintenance occupations,2019,Asian Alone,13439.0
2330,Personal care and service occupations,2019,Asian Alone,27396.0
2335,Sales and related occupations,2019,Asian Alone,63057.0
2340,Office and administrative support occupations,2019,Asian Alone,51474.0
2345,"Farming, fishing, and forestry occupations",2019,Asian Alone,0.0
2350,Construction and extraction occupations,2019,Asian Alone,16707.0
2355,"Installation, maintenance, and repair occupations",2019,Asian Alone,6866.0
2360,Production occupations,2019,Asian Alone,18304.0
2365,Transportation occupations,2019,Asian Alone,39218.0
2370,Material moving occupations,2019,Asian Alone,7103.0
2500,Management occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,46327.5
2505,Business and financial operations occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,29214.5
2510,Computer and mathematical occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,9242.0
2515,Architecture and engineering occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,3831.5
2520,"Life, physical, and social science occupations",2010,BLACK OR AFRICAN AMERICAN ALONE,2308.0
2525,Community and social service occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,36180.5
2530,Legal occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,8334.0
2535,"Education, training, and library occupations",2010,BLACK OR AFRICAN AMERICAN ALONE,42868.0
2540,"Arts, design, entertainment, sports, and media occupations",2010,BLACK OR AFRICAN AMERICAN ALONE,13610.5
2545,Health diagnosing and treating practitioners and other technical occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,29605.5
2550,Health technologists and technicians,2010,BLACK OR AFRICAN AMERICAN ALONE,18110.0
2555,Healthcare support occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,89712.5
2560,"Fire fighting and prevention, and other protective service workers including supervisors",2010,BLACK OR AFRICAN AMERICAN ALONE,33202.5
2565,Law enforcement workers including supervisors,2010,BLACK OR AFRICAN AMERICAN ALONE,14203.5
2570,Food preparation and serving related occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,29410.0
2575,Building and grounds cleaning and maintenance occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,44050.5
2580,Personal care and service occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,53248.5
2585,Sales and related occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,76684.0
2590,Office and administrative support occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,132045.5
2595,"Farming, fishing, and forestry occupations",2010,BLACK OR AFRICAN AMERICAN ALONE,386.0
2600,Construction and extraction occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,29598.5
2605,"Installation, maintenance, and repair occupations",2010,BLACK OR AFRICAN AMERICAN ALONE,19315.5
2610,Production occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,19118.5
2615,Transportation occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,46145.0
2620,Material moving occupations,2010,BLACK OR AFRICAN AMERICAN ALONE,15686.5
2750,Management occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,46636.5
2755,Business and financial operations occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,31177.5
2760,Computer and mathematical occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,9663.0
2765,Architecture and engineering occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,3541.5
2770,"Life, physical, and social science occupations",2011,BLACK OR AFRICAN AMERICAN ALONE,3271.0
2775,Community and social service occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,30247.5
2780,Legal occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,10016.0
2785,"Education, training, and library occupations",2011,BLACK OR AFRICAN AMERICAN ALONE,43968.0
2790,"Arts, design, entertainment, sports, and media occupations",2011,BLACK OR AFRICAN AMERICAN ALONE,12492.5
2795,Health diagnosing and treating practitioners and other technical occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,27482.5
2800,Health technologists and technicians,2011,BLACK OR AFRICAN AMERICAN ALONE,19001.0
2805,Healthcare support occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,89478.5
2810,"Fire fighting and prevention, and other protective service workers including supervisors",2011,BLACK OR AFRICAN AMERICAN ALONE,32498.5
2815,Law enforcement workers including supervisors,2011,BLACK OR AFRICAN AMERICAN ALONE,12567.5
2820,Food preparation and serving related occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,30575.0
2825,Building and grounds cleaning and maintenance occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,49254.5
2830,Personal care and service occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,56028.5
2835,Sales and related occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,72351.0
2840,Office and administrative support occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,135977.5
2845,"Farming, fishing, and forestry occupations",2011,BLACK OR AFRICAN AMERICAN ALONE,294.0
2850,Construction and extraction occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,28364.5
2855,"Installation, maintenance, and repair occupations",2011,BLACK OR AFRICAN AMERICAN ALONE,18980.5
2860,Production occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,17562.5
2865,Transportation occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,47485.0
2870,Material moving occupations,2011,BLACK OR AFRICAN AMERICAN ALONE,11389.5
3000,Management occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,51919.0
3005,Business and financial operations occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,32415.0
3010,Computer and mathematical occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,11881.0
3015,Architecture and engineering occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,3616.0
3020,"Life, physical, and social science occupations",2012,BLACK OR AFRICAN AMERICAN ALONE,2979.0
3025,Community and social service occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,32525.0
3030,Legal occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,7887.0
3035,"Education, training, and library occupations",2012,BLACK OR AFRICAN AMERICAN ALONE,50109.0
3040,"Arts, design, entertainment, sports, and media occupations",2012,BLACK OR AFRICAN AMERICAN ALONE,13181.0
3045,Health diagnosing and treating practitioners and other technical occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,30915.0
3050,Health technologists and technicians,2012,BLACK OR AFRICAN AMERICAN ALONE,18262.0
3055,Healthcare support occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,87558.0
3060,"Fire fighting and prevention, and other protective service workers including supervisors",2012,BLACK OR AFRICAN AMERICAN ALONE,35266.0
3065,Law enforcement workers including supervisors,2012,BLACK OR AFRICAN AMERICAN ALONE,15380.0
3070,Food preparation and serving related occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,29259.0
3075,Building and grounds cleaning and maintenance occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,40703.0
3080,Personal care and service occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,54434.0
3085,Sales and related occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,76658.0
3090,Office and administrative support occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,138696.0
3095,"Farming, fishing, and forestry occupations",2012,BLACK OR AFRICAN AMERICAN ALONE,156.0
3100,Construction and extraction occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,29026.0
3105,"Installation, maintenance, and repair occupations",2012,BLACK OR AFRICAN AMERICAN ALONE,18763.0
3110,Production occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,17632.0
3115,Transportation occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,46534.0
3120,Material moving occupations,2012,BLACK OR AFRICAN AMERICAN ALONE,12180.0
3250,Management occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,49788.5
3255,Business and financial operations occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,33590.5
3260,Computer and mathematical occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,9658.0
3265,Architecture and engineering occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,6070.5
3270,"Life, physical, and social science occupations",2013,BLACK OR AFRICAN AMERICAN ALONE,2588.0
3275,Community and social service occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,32135.5
3280,Legal occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,9088.0
3285,"Education, training, and library occupations",2013,BLACK OR AFRICAN AMERICAN ALONE,42058.0
3290,"Arts, design, entertainment, sports, and media occupations",2013,BLACK OR AFRICAN AMERICAN ALONE,14461.5
3295,Health diagnosing and treating practitioners and other technical occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,30173.5
3300,Health technologists and technicians,2013,BLACK OR AFRICAN AMERICAN ALONE,19227.0
3305,Healthcare support occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,93056.5
3310,"Fire fighting and prevention, and other protective service workers including supervisors",2013,BLACK OR AFRICAN AMERICAN ALONE,34603.5
3315,Law enforcement workers including supervisors,2013,BLACK OR AFRICAN AMERICAN ALONE,13466.5
3320,Food preparation and serving related occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,36082.0
3325,Building and grounds cleaning and maintenance occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,47122.5
3330,Personal care and service occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,53879.5
3335,Sales and related occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,79002.0
3340,Office and administrative support occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,132862.5
3345,"Farming, fishing, and forestry occupations",2013,BLACK OR AFRICAN AMERICAN ALONE,0.0
3350,Construction and extraction occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,30607.5
3355,"Installation, maintenance, and repair occupations",2013,BLACK OR AFRICAN AMERICAN ALONE,23320.5
3360,Production occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,17486.5
3365,Transportation occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,51022.0
3370,Material moving occupations,2013,BLACK OR AFRICAN AMERICAN ALONE,13834.5
3500,Management occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,58798.0
3505,Business and financial operations occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,33544.0
3510,Computer and mathematical occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,10511.0
3515,Architecture and engineering occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,4936.0
3520,"Life, physical, and social science occupations",2014,BLACK OR AFRICAN AMERICAN ALONE,2610.0
3525,Community and social service occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,33345.0
3530,Legal occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,5950.0
3535,"Education, training, and library occupations",2014,BLACK OR AFRICAN AMERICAN ALONE,47158.0
3540,"Arts, design, entertainment, sports, and media occupations",2014,BLACK OR AFRICAN AMERICAN ALONE,17486.0
3545,Health diagnosing and treating practitioners and other technical occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,34470.0
3550,Health technologists and technicians,2014,BLACK OR AFRICAN AMERICAN ALONE,22920.0
3555,Healthcare support occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,90438.0
3560,"Fire fighting and prevention, and other protective service workers including supervisors",2014,BLACK OR AFRICAN AMERICAN ALONE,33414.0
3565,Law enforcement workers including supervisors,2014,BLACK OR AFRICAN AMERICAN ALONE,13657.0
3570,Food preparation and serving related occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,38507.0
3575,Building and grounds cleaning and maintenance occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,45384.0
3580,Personal care and service occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,53931.0
3585,Sales and related occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,79178.0
3590,Office and administrative support occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,135969.0
3595,"Farming, fishing, and forestry occupations",2014,BLACK OR AFRICAN AMERICAN ALONE,373.0
3600,Construction and extraction occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,29773.0
3605,"Installation, maintenance, and repair occupations",2014,BLACK OR AFRICAN AMERICAN ALONE,18077.0
3610,Production occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,15122.0
3615,Transportation occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,51017.0
3620,Material moving occupations,2014,BLACK OR AFRICAN AMERICAN ALONE,14047.0
3750,Management occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,56127.5
3755,Business and financial operations occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,35266.5
3760,Computer and mathematical occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,11944.0
3765,Architecture and engineering occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,3486.5
3770,"Life, physical, and social science occupations",2015,BLACK OR AFRICAN AMERICAN ALONE,2765.0
3775,Community and social service occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,37165.5
3780,Legal occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,7684.0
3785,"Education, training, and library occupations",2015,BLACK OR AFRICAN AMERICAN ALONE,51816.0
3790,"Arts, design, entertainment, sports, and media occupations",2015,BLACK OR AFRICAN AMERICAN ALONE,13353.5
3795,Health diagnosing and treating practitioners and other technical occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,33326.5
3800,Health technologists and technicians,2015,BLACK OR AFRICAN AMERICAN ALONE,23455.0
3805,Healthcare support occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,85744.5
