"Label","Kings County, New York!!Total!!Estimate","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Males!!Estimate","Kings County, New York!!Percent Males!!Estimate","Kings County, New York!!Females!!Estimate","Kings County, New York!!Percent Females!!Estimate","New York!!Total!!Estimate","New York!!Percent!!Estimate","New York!!Males!!Estimate","New York!!Percent Males!!Estimate","New York!!Females!!Estimate","New York!!Percent Females!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Males!!Estimate","Richmond County, New York!!Percent Males!!Estimate","Richmond County, New York!!Females!!Estimate","Richmond County, New York!!Percent Females!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Males!!Estimate","Queens County, New York!!Percent Males!!Estimate","Queens County, New York!!Females!!Estimate","Queens County, New York!!Percent Females!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Percent!!Estimate","New York County, New York!!Males!!Estimate","New York County, New York!!Percent Males!!Estimate","New York County, New York!!Females!!Estimate","New York County, New York!!Percent Females!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Males!!Estimate","Bronx County, New York!!Percent Males!!Estimate","Bronx County, New York!!Females!!Estimate","Bronx County, New York!!Percent Females!!Estimate"
"    Some college, no degree","242,623","13.5%","120,061","14.6%","122,562","12.7%","2,150,858","15.8%","1,058,454","16.3%","1,092,404","15.2%","59,988","18.2%","31,261","20.0%","28,727","16.5%","238,207","14.3%","118,283","15.0%","119,924","13.8%","126,004","10.1%","62,430","10.6%","63,574","9.6%","165,362","17.8%","72,175","17.2%","93,187","18.2%"
"    Associate's degree","110,678","6.2%","44,776","5.4%","65,902","6.8%","1,191,816","8.7%","516,642","8.0%","675,174","9.4%","24,316","7.4%","13,419","8.6%","10,897","6.3%","131,424","7.9%","60,192","7.6%","71,232","8.2%","50,048","4.0%","20,558","3.5%","29,490","4.5%","67,935","7.3%","28,561","6.8%","39,374","7.7%"
"    Bachelor's degree","394,279","22.0%","179,888","21.8%","214,391","22.2%","2,749,619","20.1%","1,310,195","20.2%","1,439,424","20.1%","64,037","19.4%","32,354","20.7%","31,683","18.2%","323,601","19.5%","157,427","19.9%","166,174","19.1%","391,138","31.3%","182,110","30.9%","209,028","31.6%","111,989","12.0%","43,886","10.5%","68,103","13.3%"
"    Graduate or professional degree","257,706","14.4%","109,808","13.3%","147,898","15.3%","2,118,193","15.5%","936,836","14.4%","1,181,357","16.5%","43,230","13.1%","16,400","10.5%","26,830","15.4%","198,492","11.9%","86,848","11.0%","111,644","12.8%","364,802","29.2%","175,040","29.7%","189,762","28.7%","58,932","6.3%","23,477","5.6%","35,455","6.9%"
"Percent high school graduate or higher","(X)","81.3%","(X)","80.9%","(X)","81.6%","(X)","86.3%","(X)","85.9%","(X)","86.7%","(X)","88.6%","(X)","88.6%","(X)","88.5%","(X)","81.6%","(X)","82.4%","(X)","80.8%","(X)","87.2%","(X)","87.3%","(X)","87.1%","(X)","72.0%","(X)","71.2%","(X)","72.6%"
"Percent bachelor's degree or higher","(X)","36.4%","(X)","35.1%","(X)","37.5%","(X)","35.7%","(X)","34.7%","(X)","36.6%","(X)","32.5%","(X)","31.3%","(X)","33.6%","(X)","31.4%","(X)","30.9%","(X)","31.9%","(X)","60.4%","(X)","60.6%","(X)","60.3%","(X)","18.4%","(X)","16.0%","(X)","20.3%"
"Population 25 to 34 years","483,666","(X)","234,532","(X)","249,134","(X)","2,886,788","(X)","1,439,659","(X)","1,447,129","(X)","63,666","(X)","32,132","(X)","31,534","(X)","381,573","(X)","190,531","(X)","191,042","(X)","372,335","(X)","178,150","(X)","194,185","(X)","231,644","(X)","111,805","(X)","119,839","(X)"
"    High school graduate or higher","429,480","88.8%","204,360","87.1%","225,120","90.4%","2,606,044","90.3%","1,286,321","89.3%","1,319,723","91.2%","56,801","89.2%","28,885","89.9%","27,916","88.5%","343,876","90.1%","172,018","90.3%","171,858","90.0%","353,330","94.9%","168,799","94.8%","184,531","95.0%","190,363","82.2%","89,854","80.4%","100,509","83.9%"
"    Bachelor's degree or higher","241,472","49.9%","107,347","45.8%","134,125","53.8%","1,284,441","44.5%","572,036","39.7%","712,405","49.2%","25,574","40.2%","11,254","35.0%","14,320","45.4%","168,357","44.1%","77,303","40.6%","91,054","47.7%","277,193","74.4%","126,210","70.8%","150,983","77.8%","50,022","21.6%","17,738","15.9%","32,284","26.9%"
"Population 35 to 44 years","365,561","(X)","175,155","(X)","190,406","(X)","2,460,284","(X)","1,205,948","(X)","1,254,336","(X)","60,389","(X)","29,401","(X)","30,988","(X)","325,901","(X)","161,557","(X)","164,344","(X)","239,181","(X)","118,920","(X)","120,261","(X)","184,048","(X)","84,747","(X)","99,301","(X)"
"    High school graduate or higher","311,329","85.2%","148,414","84.7%","162,915","85.6%","2,155,472","87.6%","1,042,629","86.5%","1,112,843","88.7%","55,133","91.3%","26,966","91.7%","28,167","90.9%","277,928","85.3%","135,885","84.1%","142,043","86.4%","216,750","90.6%","106,465","89.5%","110,285","91.7%","138,497","75.3%","63,168","74.5%","75,329","75.9%"
"    Bachelor's degree or higher","148,849","40.7%","65,112","37.2%","83,737","44.0%","999,010","40.6%","441,873","36.6%","557,137","44.4%","25,682","42.5%","10,602","36.1%","15,080","48.7%","114,594","35.2%","50,519","31.3%","64,075","39.0%","158,185","66.1%","75,662","63.6%","82,523","68.6%","39,806","21.6%","16,912","20.0%","22,894","23.1%"
"Population 45 to 64 years","608,626","(X)","279,077","(X)","329,549","(X)","5,275,739","(X)","2,545,513","(X)","2,730,226","(X)","132,725","(X)","63,150","(X)","69,575","(X)","621,255","(X)","299,135","(X)","322,120","(X)","393,662","(X)","192,038","(X)","201,624","(X)","344,596","(X)","156,938","(X)","187,658","(X)"
"    High school graduate or higher","483,071","79.4%","218,963","78.5%","264,108","80.1%","4,595,980","87.1%","2,195,949","86.3%","2,400,031","87.9%","120,910","91.1%","55,995","88.7%","64,915","93.3%","498,852","80.3%","243,126","81.3%","255,726","79.4%","336,511","85.5%","162,592","84.7%","173,919","86.3%","249,493","72.4%","113,159","72.1%","136,334","72.7%"
"    Bachelor's degree or higher","180,127","29.6%","80,881","29.0%","99,246","30.1%","1,734,365","32.9%","806,907","31.7%","927,458","34.0%","38,304","28.9%","17,268","27.3%","21,036","30.2%","164,542","26.5%","78,485","26.2%","86,057","26.7%","210,457","53.5%","104,491","54.4%","105,966","52.6%","60,313","17.5%","24,052","15.3%","36,261","19.3%"
"Population 65 years and over","333,685","(X)","135,690","(X)","197,995","(X)","3,030,781","(X)","1,293,780","(X)","1,737,001","(X)","73,131","(X)","31,284","(X)","41,847","(X)","332,550","(X)","139,079","(X)","193,471","(X)","245,623","(X)","99,865","(X)","145,758","(X)","170,981","(X)","66,446","(X)","104,535","(X)"
"    High school graduate or higher","231,954","69.5%","95,036","70.0%","136,918","69.2%","2,427,804","80.1%","1,048,054","81.0%","1,379,750","79.4%","59,309","81.1%","26,337","84.2%","32,972","78.8%","234,647","70.6%","100,319","72.1%","134,328","69.4%","183,792","74.8%","76,188","76.3%","107,604","73.8%","91,899","53.7%","33,019","49.7%","58,880","56.3%"
"    Bachelor's degree or higher","81,537","24.4%","36,356","26.8%","45,181","22.8%","849,996","28.0%","426,215","32.9%","423,781","24.4%","17,707","24.2%","9,630","30.8%","8,077","19.3%","74,600","22.4%","37,968","27.3%","36,632","18.9%","110,105","44.8%","50,787","50.9%","59,318","40.7%","20,780","12.2%","8,661","13.0%","12,119","11.6%"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","788,349","(X)","383,074","(X)","405,275","(X)","9,009,259","(X)","4,350,393","(X)","4,658,866","(X)","251,768","(X)","119,692","(X)","132,076","(X)","677,669","(X)","331,541","(X)","346,128","(X)","743,429","(X)","358,992","(X)","384,437","(X)","220,217","(X)","105,030","(X)","115,187","(X)"
"        High school graduate or higher","691,565","87.7%","334,284","87.3%","357,281","88.2%","8,174,297","90.7%","3,925,193","90.2%","4,249,104","91.2%","226,959","90.1%","107,598","89.9%","119,361","90.4%","577,543","85.2%","282,001","85.1%","295,542","85.4%","697,072","93.8%","338,507","94.3%","358,565","93.3%","162,719","73.9%","77,523","73.8%","85,196","74.0%"
"        Bachelor's degree or higher","398,061","50.5%","188,831","49.3%","209,230","51.6%","3,586,178","39.8%","1,700,449","39.1%","1,885,729","40.5%","81,101","32.2%","37,313","31.2%","43,788","33.2%","247,325","36.5%","119,209","36.0%","128,116","37.0%","560,292","75.4%","272,537","75.9%","287,755","74.9%","50,290","22.8%","22,048","21.0%","28,242","24.5%"
"White alone, not Hispanic or Latino","663,751","(X)","321,522","(X)","342,229","(X)","8,003,987","(X)","3,854,295","(X)","4,149,692","(X)","216,123","(X)","102,614","(X)","113,509","(X)","456,381","(X)","221,618","(X)","234,763","(X)","625,117","(X)","303,576","(X)","321,541","(X)","99,417","(X)","47,122","(X)","52,295","(X)"
"    High school graduate or higher","607,745","91.6%","292,371","90.9%","315,374","92.2%","7,447,577","93.0%","3,569,897","92.6%","3,877,680","93.4%","199,570","92.3%","94,821","92.4%","104,749","92.3%","413,640","90.6%","201,811","91.1%","211,829","90.2%","613,506","98.1%","298,286","98.3%","315,220","98.0%","85,771","86.3%","40,800","86.6%","44,971","86.0%"
"    Bachelor's degree or higher","372,096","56.1%","175,691","54.6%","196,405","57.4%","3,366,718","42.1%","1,598,022","41.5%","1,768,696","42.6%","75,018","34.7%","34,911","34.0%","40,107","35.3%","202,877","44.5%","97,487","44.0%","105,390","44.9%","520,045","83.2%","252,614","83.2%","267,431","83.2%","35,364","35.6%","16,038","34.0%","19,326","37.0%"
"Black alone","586,918","(X)","244,120","(X)","342,798","(X)","2,045,692","(X)","905,706","(X)","1,139,986","(X)","30,638","(X)","13,578","(X)","17,060","(X)","292,365","(X)","126,854","(X)","165,511","(X)","176,242","(X)","79,088","(X)","97,154","(X)","322,680","(X)","139,992","(X)","182,688","(X)"
"    High school graduate or higher","497,157","84.7%","205,460","84.2%","291,697","85.1%","1,708,101","83.5%","746,135","82.4%","961,966","84.4%","26,613","86.9%","12,521","92.2%","14,092","82.6%","252,789","86.5%","109,805","86.6%","142,984","86.4%","144,080","81.8%","62,681","79.3%","81,399","83.8%","251,324","77.9%","105,831","75.6%","145,493","79.6%"
"    Bachelor's degree or higher","141,110","24.0%","50,176","20.6%","90,934","26.5%","481,517","23.5%","181,522","20.0%","299,995","26.3%","8,915","29.1%","3,647","26.9%","5,268","30.9%","73,795","25.2%","29,102","22.9%","44,693","27.0%","51,380","29.2%","19,944","25.2%","31,436","32.4%","63,511","19.7%","21,516","15.4%","41,995","23.0%"
"American Indian or Alaska Native alone","5,458","(X)","2,809","(X)","2,649","(X)","47,709","(X)","22,728","(X)","24,981","(X)","N","(X)","N","(X)","N","(X)","6,160","(X)","2,482","(X)","3,678","(X)","3,644","(X)","1,507","(X)","2,137","(X)","5,242","(X)","2,601","(X)","2,641","(X)"
"    High school graduate or higher","3,318","60.8%","1,550","55.2%","1,768","66.7%","35,028","73.4%","15,579","68.5%","19,449","77.9%","N","N","N","N","N","N","4,247","68.9%","1,542","62.1%","2,705","73.5%","2,308","63.3%","1,042","69.1%","1,266","59.2%","3,587","68.4%","1,687","64.9%","1,900","71.9%"
"    Bachelor's degree or higher","1,041","19.1%","349","12.4%","692","26.1%","7,670","16.1%","3,398","15.0%","4,272","17.1%","N","N","N","N","N","N","770","12.5%","227","9.1%","543","14.8%","638","17.5%","638","42.3%","0","0.0%","575","11.0%","178","6.8%","397","15.0%"
"Asian alone","223,329","(X)","105,746","(X)","117,583","(X)","1,188,298","(X)","551,804","(X)","636,494","(X)","29,408","(X)","13,720","(X)","15,688","(X)","436,122","(X)","206,843","(X)","229,279","(X)","160,413","(X)","69,475","(X)","90,938","(X)","37,452","(X)","17,753","(X)","19,699","(X)"
"    High school graduate or higher","145,135","65.0%","69,753","66.0%","75,382","64.1%","935,891","78.8%","444,055","80.5%","491,836","77.3%","24,169","82.2%","11,146","81.2%","13,023","83.0%","339,275","77.8%","167,482","81.0%","171,793","74.9%","130,026","81.1%","56,658","81.6%","73,368","80.7%","30,753","82.1%","15,349","86.5%","15,404","78.2%"
"    Bachelor's degree or higher","72,865","32.6%","33,253","31.4%","39,612","33.7%","548,388","46.1%","256,818","46.5%","291,570","45.8%","13,470","45.8%","6,388","46.6%","7,082","45.1%","160,856","36.9%","78,927","38.2%","81,929","35.7%","102,894","64.1%","44,919","64.7%","57,975","63.8%","14,770","39.4%","7,486","42.2%","7,284","37.0%"
"Native Hawaiian and Other Pacific Islander alone","N","(X)","N","(X)","N","(X)","6,144","(X)","2,602","(X)","3,542","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)"
"    High school graduate or higher","N","N","N","N","N","N","4,851","79.0%","2,166","83.2%","2,685","75.8%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Bachelor's degree or higher","N","N","N","N","N","N","2,053","33.4%","860","33.1%","1,193","33.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Some other race alone","144,815","(X)","70,444","(X)","74,371","(X)","1,077,678","(X)","520,920","(X)","556,758","(X)","13,402","(X)","7,015","(X)","6,387","(X)","203,303","(X)","99,592","(X)","103,711","(X)","121,176","(X)","57,490","(X)","63,686","(X)","315,865","(X)","141,572","(X)","174,293","(X)"
"    High school graduate or higher","83,975","58.0%","40,518","57.5%","43,457","58.4%","701,937","65.1%","335,690","64.4%","366,247","65.8%","10,474","78.2%","5,330","76.0%","5,144","80.5%","145,726","71.7%","72,448","72.7%","73,278","70.7%","80,842","66.7%","37,739","65.6%","43,103","67.7%","199,651","63.2%","89,091","62.9%","110,560","63.4%"
"    Bachelor's degree or higher","19,793","13.7%","8,882","12.6%","10,911","14.7%","145,885","13.5%","63,154","12.1%","82,731","14.9%","2,085","15.6%","959","13.7%","1,126","17.6%","25,142","12.4%","10,400","10.4%","14,742","14.2%","22,179","18.3%","10,741","18.7%","11,438","18.0%","33,893","10.7%","13,233","9.3%","20,660","11.9%"
"Two or more races","41,903","(X)","17,971","(X)","23,932","(X)","278,812","(X)","130,747","(X)","148,065","(X)","3,982","(X)","1,618","(X)","2,364","(X)","44,752","(X)","22,577","(X)","22,175","(X)","44,990","(X)","21,832","(X)","23,158","(X)","29,473","(X)","12,930","(X)","16,543","(X)"
"    High school graduate or higher","34,183","81.6%","14,918","83.0%","19,265","80.5%","225,195","80.8%","104,135","79.6%","121,060","81.8%","3,332","83.7%","1,326","82.0%","2,006","84.9%","34,965","78.1%","17,780","78.8%","17,185","77.5%","35,148","78.1%","16,828","77.1%","18,320","79.1%","21,936","74.4%","9,719","75.2%","12,217","73.8%"
"    Bachelor's degree or higher","18,855","45.0%","8,066","44.9%","10,789","45.1%","96,121","34.5%","40,830","31.2%","55,291","37.3%","1,550","38.9%","447","27.6%","1,103","46.7%","13,997","31.3%","6,379","28.3%","7,618","34.4%","17,957","39.9%","8,020","36.7%","9,937","42.9%","7,746","26.3%","2,902","22.4%","4,844","29.3%"
"Hispanic or Latino Origin","318,198","(X)","151,414","(X)","166,784","(X)","2,299,307","(X)","1,110,864","(X)","1,188,443","(X)","51,052","(X)","24,581","(X)","26,471","(X)","425,758","(X)","211,700","(X)","214,058","(X)","294,995","(X)","138,044","(X)","156,951","(X)","494,733","(X)","222,387","(X)","272,346","(X)"
"    High school graduate or higher","203,699","64.0%","96,075","63.5%","107,624","64.5%","1,584,888","68.9%","754,272","67.9%","830,616","69.9%","39,540","77.5%","18,472","75.1%","21,068","79.6%","312,941","73.5%","154,755","73.1%","158,186","73.9%","201,565","68.3%","94,430","68.4%","107,135","68.3%","317,808","64.2%","141,210","63.5%","176,598","64.8%"
"    Bachelor's degree or higher","56,313","17.7%","25,467","16.8%","30,846","18.5%","416,988","18.1%","181,520","16.3%","235,468","19.8%","9,188","18.0%","3,650","14.8%","5,538","20.9%","75,117","17.6%","34,049","16.1%","41,068","19.2%","74,099","25.1%","34,753","25.2%","39,346","25.1%","59,679","12.1%","21,862","9.8%","37,817","13.9%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","32.6%","(X)","28.5%","(X)","36.3%","(X)","29.0%","(X)","24.6%","(X)","33.0%","(X)","31.2%","(X)","25.2%","(X)","36.5%","(X)","20.6%","(X)","16.3%","(X)","24.1%","(X)","40.4%","(X)","33.2%","(X)","46.7%","(X)","38.0%","(X)","31.5%","(X)","43.4%"
"    High school graduate (includes equivalency)","(X)","20.8%","(X)","17.5%","(X)","23.8%","(X)","14.6%","(X)","12.2%","(X)","16.9%","(X)","13.4%","(X)","10.5%","(X)","15.7%","(X)","12.6%","(X)","10.1%","(X)","15.0%","(X)","25.3%","(X)","22.2%","(X)","27.9%","(X)","23.6%","(X)","17.0%","(X)","29.9%"
"    Some college or associate's degree","(X)","16.2%","(X)","13.3%","(X)","18.7%","(X)","10.6%","(X)","8.4%","(X)","12.5%","(X)","8.7%","(X)","6.2%","(X)","11.6%","(X)","10.2%","(X)","8.5%","(X)","11.7%","(X)","17.7%","(X)","14.8%","(X)","20.3%","(X)","20.0%","(X)","17.6%","(X)","21.8%"
"    Bachelor's degree or higher","(X)","7.8%","(X)","6.5%","(X)","8.7%","(X)","5.2%","(X)","4.6%","(X)","5.7%","(X)","4.9%","(X)","5.0%","(X)","4.9%","(X)","6.4%","(X)","5.4%","(X)","7.2%","(X)","6.3%","(X)","5.7%","(X)","6.9%","(X)","10.1%","(X)","9.0%","(X)","10.8%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","40,105","(X)","41,963","(X)","36,843","(X)","41,610","(X)","47,486","(X)","36,745","(X)","51,213","(X)","57,189","(X)","42,489","(X)","38,323","(X)","41,012","(X)","35,565","(X)","61,878","(X)","69,762","(X)","55,990","(X)","30,336","(X)","31,595","(X)","27,240","(X)"
"        Less than high school graduate","20,339","(X)","21,819","(X)","16,782","(X)","21,133","(X)","24,733","(X)","16,565","(X)","25,676","(X)","30,370","(X)","16,100","(X)","21,376","(X)","25,543","(X)","17,384","(X)","19,432","(X)","23,186","(X)","12,736","(X)","19,466","(X)","21,878","(X)","15,602","(X)"
"        High school graduate (includes equivalency)","27,425","(X)","31,699","(X)","23,491","(X)","30,742","(X)","36,058","(X)","24,019","(X)","40,549","(X)","51,224","(X)","30,880","(X)","30,084","(X)","32,080","(X)","24,278","(X)","26,207","(X)","30,285","(X)","20,624","(X)","25,932","(X)","31,733","(X)","19,970","(X)"
"        Some college or associate's degree","36,011","(X)","40,959","(X)","31,666","(X)","37,005","(X)","44,272","(X)","31,607","(X)","47,425","(X)","52,358","(X)","36,047","(X)","38,088","(X)","41,381","(X)","33,893","(X)","33,660","(X)","38,842","(X)","29,382","(X)","31,275","(X)","31,577","(X)","30,849","(X)"
"        Bachelor's degree","54,100","(X)","60,172","(X)","51,088","(X)","56,868","(X)","65,877","(X)","50,554","(X)","61,439","(X)","66,859","(X)","53,062","(X)","51,955","(X)","56,473","(X)","49,278","(X)","76,549","(X)","87,367","(X)","66,659","(X)","45,302","(X)","50,668","(X)","41,600","(X)"
"        Graduate or professional degree","71,253","(X)","81,291","(X)","63,978","(X)","73,504","(X)","90,246","(X)","65,280","(X)","75,494","(X)","81,968","(X)","70,613","(X)","67,102","(X)","72,284","(X)","62,321","(X)","95,252","(X)","125,446","(X)","77,271","(X)","62,145","(X)","65,840","(X)","61,019","(X)"
