"Label","New York!!Total!!Estimate","New York!!Percent!!Estimate","New York!!Male!!Estimate","New York!!Percent Male!!Estimate","New York!!Female!!Estimate","New York!!Percent Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Percent Male!!Estimate","Bronx County, New York!!Female!!Estimate","Bronx County, New York!!Percent Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Percent Male!!Estimate","Kings County, New York!!Female!!Estimate","Kings County, New York!!Percent Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Percent!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Percent Male!!Estimate","New York County, New York!!Female!!Estimate","New York County, New York!!Percent Female!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Percent Male!!Estimate","Queens County, New York!!Female!!Estimate","Queens County, New York!!Percent Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Percent Male!!Estimate","Richmond County, New York!!Female!!Estimate","Richmond County, New York!!Percent Female!!Estimate"
"    High school graduate or higher","969,707","78.3%","460,176","80.2%","509,531","76.7%","28,526","70.4%","14,846","78.4%","13,680","63.3%","157,040","67.9%","77,171","70.4%","79,869","65.6%","124,228","75.5%","52,756","74.9%","71,472","75.9%","359,294","78.9%","174,771","81.4%","184,523","76.7%","25,153","76.3%","11,822","76.9%","13,331","75.8%"
"    Bachelor's degree or higher","556,658","45.0%","259,495","45.2%","297,163","44.7%","12,219","30.1%","6,241","33.0%","5,978","27.7%","80,233","34.7%","37,753","34.5%","42,480","34.9%","99,035","60.1%","39,838","56.5%","59,197","62.8%","163,706","35.9%","80,657","37.6%","83,049","34.5%","12,518","38.0%","5,916","38.5%","6,602","37.5%"
"Native Hawaiian and Other Pacific Islander alone","5,361","(X)","2,467","(X)","2,894","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)"
"    High school graduate or higher","4,209","78.5%","1,966","79.7%","2,243","77.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Bachelor's degree or higher","1,345","25.1%","835","33.8%","510","17.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Some other race alone","1,106,226","(X)","525,438","(X)","580,788","(X)","308,174","(X)","135,396","(X)","172,778","(X)","151,243","(X)","72,424","(X)","78,819","(X)","131,966","(X)","60,803","(X)","71,163","(X)","223,134","(X)","110,353","(X)","112,781","(X)","11,981","(X)","5,536","(X)","6,445","(X)"
"    High school graduate or higher","724,416","65.5%","343,797","65.4%","380,619","65.5%","190,854","61.9%","84,527","62.4%","106,327","61.5%","92,090","60.9%","44,870","62.0%","47,220","59.9%","85,474","64.8%","38,846","63.9%","46,628","65.5%","157,099","70.4%","78,860","71.5%","78,239","69.4%","8,784","73.3%","3,898","70.4%","4,886","75.8%"
"    Bachelor's degree or higher","157,493","14.2%","63,304","12.0%","94,189","16.2%","35,103","11.4%","12,959","9.6%","22,144","12.8%","21,385","14.1%","9,664","13.3%","11,721","14.9%","26,294","19.9%","9,885","16.3%","16,409","23.1%","29,614","13.3%","12,965","11.7%","16,649","14.8%","1,321","11.0%","460","8.3%","861","13.4%"
"Two or more races","286,854","(X)","132,657","(X)","154,197","(X)","26,538","(X)","11,073","(X)","15,465","(X)","42,902","(X)","18,432","(X)","24,470","(X)","46,260","(X)","22,230","(X)","24,030","(X)","43,630","(X)","21,555","(X)","22,075","(X)","4,126","(X)","1,916","(X)","2,210","(X)"
"    High school graduate or higher","240,629","83.9%","110,044","83.0%","130,585","84.7%","19,767","74.5%","8,195","74.0%","11,572","74.8%","38,241","89.1%","16,178","87.8%","22,063","90.2%","36,383","78.6%","16,642","74.9%","19,741","82.2%","36,157","82.9%","18,293","84.9%","17,864","80.9%","4,085","99.0%","1,894","98.9%","2,191","99.1%"
"    Bachelor's degree or higher","97,360","33.9%","41,170","31.0%","56,190","36.4%","5,873","22.1%","1,969","17.8%","3,904","25.2%","21,208","49.4%","8,887","48.2%","12,321","50.4%","19,844","42.9%","9,752","43.9%","10,092","42.0%","13,627","31.2%","6,200","28.8%","7,427","33.6%","1,685","40.8%","728","38.0%","957","43.3%"
"Hispanic or Latino Origin","2,365,690","(X)","1,143,191","(X)","1,222,499","(X)","508,908","(X)","228,797","(X)","280,111","(X)","322,726","(X)","153,609","(X)","169,117","(X)","304,306","(X)","142,289","(X)","162,017","(X)","434,181","(X)","216,104","(X)","218,077","(X)","52,371","(X)","25,186","(X)","27,185","(X)"
"    High school graduate or higher","1,651,191","69.8%","792,593","69.3%","858,598","70.2%","326,192","64.1%","148,514","64.9%","177,678","63.4%","221,817","68.7%","105,674","68.8%","116,143","68.7%","207,949","68.3%","96,457","67.8%","111,492","68.8%","318,843","73.4%","158,693","73.4%","160,150","73.4%","40,551","77.4%","19,849","78.8%","20,702","76.2%"
"    Bachelor's degree or higher","437,278","18.5%","184,469","16.1%","252,809","20.7%","70,835","13.9%","27,033","11.8%","43,802","15.6%","58,502","18.1%","26,003","16.9%","32,499","19.2%","80,329","26.4%","35,223","24.8%","45,106","27.8%","72,494","16.7%","32,234","14.9%","40,260","18.5%","8,342","15.9%","2,861","11.4%","5,481","20.2%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","27.4%","(X)","23.6%","(X)","30.9%","(X)","37.8%","(X)","31.0%","(X)","43.0%","(X)","31.9%","(X)","29.3%","(X)","34.1%","(X)","35.7%","(X)","31.0%","(X)","40.0%","(X)","18.8%","(X)","15.3%","(X)","21.8%","(X)","24.1%","(X)","21.1%","(X)","26.8%"
"    High school graduate (includes equivalency)","(X)","14.6%","(X)","12.1%","(X)","17.2%","(X)","23.5%","(X)","18.0%","(X)","28.9%","(X)","21.6%","(X)","17.9%","(X)","24.9%","(X)","25.0%","(X)","20.8%","(X)","29.5%","(X)","12.0%","(X)","9.5%","(X)","14.6%","(X)","12.0%","(X)","10.7%","(X)","13.1%"
"    Some college or associate's degree","(X)","10.2%","(X)","8.0%","(X)","12.2%","(X)","17.7%","(X)","13.8%","(X)","20.7%","(X)","17.0%","(X)","14.6%","(X)","18.9%","(X)","15.8%","(X)","11.1%","(X)","19.6%","(X)","9.1%","(X)","7.0%","(X)","11.2%","(X)","9.5%","(X)","6.4%","(X)","12.8%"
"    Bachelor's degree or higher","(X)","4.9%","(X)","4.5%","(X)","5.3%","(X)","11.0%","(X)","10.6%","(X)","11.2%","(X)","7.1%","(X)","7.0%","(X)","7.2%","(X)","6.0%","(X)","5.1%","(X)","6.8%","(X)","5.8%","(X)","5.3%","(X)","6.2%","(X)","4.2%","(X)","3.5%","(X)","4.8%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","42,525","(X)","49,785","(X)","38,025","(X)","29,737","(X)","32,196","(X)","25,709","(X)","41,264","(X)","44,365","(X)","39,125","(X)","63,890","(X)","72,426","(X)","56,730","(X)","40,276","(X)","41,867","(X)","36,535","(X)","51,735","(X)","59,930","(X)","42,895","(X)"
"        Less than high school graduate","22,323","(X)","26,364","(X)","18,368","(X)","19,933","(X)","24,314","(X)","16,387","(X)","21,190","(X)","23,052","(X)","18,574","(X)","20,752","(X)","24,297","(X)","16,401","(X)","23,490","(X)","27,302","(X)","19,342","(X)","30,680","(X)","32,011","(X)","25,324","(X)"
"        High school graduate (includes equivalency)","31,190","(X)","36,658","(X)","25,219","(X)","25,674","(X)","29,923","(X)","20,557","(X)","30,114","(X)","34,117","(X)","25,060","(X)","30,171","(X)","35,886","(X)","22,633","(X)","30,969","(X)","34,460","(X)","25,980","(X)","37,575","(X)","49,523","(X)","30,915","(X)"
"        Some college or associate's degree","38,580","(X)","45,448","(X)","32,391","(X)","31,280","(X)","35,610","(X)","27,323","(X)","36,707","(X)","40,499","(X)","34,327","(X)","38,068","(X)","43,760","(X)","31,347","(X)","40,260","(X)","42,234","(X)","36,107","(X)","48,710","(X)","57,207","(X)","38,104","(X)"
"        Bachelor's degree","60,027","(X)","69,070","(X)","51,371","(X)","43,262","(X)","44,285","(X)","42,436","(X)","57,330","(X)","61,136","(X)","55,267","(X)","78,344","(X)","89,140","(X)","67,395","(X)","53,564","(X)","60,161","(X)","50,635","(X)","69,057","(X)","72,059","(X)","60,356","(X)"
"        Graduate or professional degree","75,012","(X)","91,175","(X)","65,882","(X)","59,744","(X)","58,555","(X)","60,123","(X)","70,564","(X)","76,724","(X)","65,879","(X)","100,594","(X)","125,161","(X)","81,734","(X)","70,899","(X)","80,239","(X)","64,762","(X)","72,101","(X)","83,975","(X)","67,598","(X)"
