"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Female!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Female!!Estimate"
"Percent bachelor's degree or higher","33.4%","32.9%","33.8%","18.2%","16.1%","19.8%","31.3%","31.2%","31.4%","59.0%","59.1%","58.9%","29.8%","29.5%","30.0%","29.5%","28.2%","30.7%"
"Population 25 to 34 years","2,755,074","1,364,645","1,390,429","207,607","98,027","109,580","449,002","216,284","232,718","363,899","171,644","192,255","369,719","184,800","184,919","59,829","29,832","29,997"
"High school graduate or higher","88.6%","87.0%","90.2%","77.5%","76.4%","78.5%","86.1%","83.8%","88.2%","93.9%","92.8%","94.9%","86.9%","84.8%","88.9%","91.5%","89.2%","93.8%"
"Bachelor's degree or higher","42.1%","37.0%","47.0%","22.1%","17.5%","26.2%","43.8%","40.3%","47.1%","73.5%","70.0%","76.7%","39.7%","36.0%","43.4%","35.8%","32.0%","39.7%"
"Population 35 to 44 years","2,537,255","1,245,775","1,291,480","183,595","84,632","98,963","350,634","167,204","183,430","237,455","119,405","118,050","326,492","163,156","163,336","63,280","30,331","32,949"
"High school graduate or higher","87.1%","85.9%","88.3%","72.8%","73.0%","72.6%","82.0%","80.9%","83.1%","90.4%","90.3%","90.4%","81.6%","80.4%","82.9%","93.1%","92.1%","94.0%"
"Bachelor's degree or higher","37.1%","33.7%","40.3%","20.2%","16.5%","23.4%","35.4%","34.2%","36.5%","63.6%","63.2%","63.9%","33.3%","31.1%","35.5%","33.1%","28.6%","37.3%"
"Population 45 to 64 years","5,257,971","2,528,974","2,728,997","328,656","148,752","179,904","602,291","274,706","327,585","386,259","185,435","200,824","595,628","284,582","311,046","131,860","62,922","68,938"
"High school graduate or higher","86.9%","86.3%","87.4%","69.4%","67.6%","70.9%","77.2%","77.0%","77.4%","82.7%","82.0%","83.4%","79.6%","79.4%","79.8%","89.9%","88.4%","91.2%"
"Bachelor's degree or higher","31.7%","31.7%","31.8%","17.3%","15.9%","18.4%","26.1%","26.5%","25.8%","52.2%","52.0%","52.5%","26.4%","26.3%","26.4%","30.9%","29.5%","32.2%"
"Population 65 years and over","2,759,461","1,155,670","1,603,791","153,795","58,804","94,991","301,445","119,896","181,549","226,376","91,586","134,790","300,118","122,933","177,185","64,354","27,076","37,278"
"High school graduate or higher","77.4%","78.7%","76.5%","55.5%","56.9%","54.6%","65.6%","65.9%","65.4%","75.3%","78.4%","73.1%","68.7%","70.2%","67.7%","77.6%","79.9%","76.0%"
"Bachelor's degree or higher","24.5%","29.6%","20.8%","12.3%","13.9%","11.3%","18.3%","21.3%","16.3%","42.2%","47.5%","38.7%","20.6%","25.3%","17.4%","17.2%","20.7%","14.7%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","29.0%","24.3%","33.4%","39.4%","29.3%","47.2%","34.9%","29.8%","39.3%","37.0%","30.9%","42.1%","22.8%","19.1%","26.2%","28.1%","22.6%","33.4%"
"    High school graduate (includes equivalency)","14.9%","12.6%","17.1%","25.8%","20.5%","30.5%","22.9%","18.6%","26.6%","24.9%","23.6%","26.1%","15.8%","13.8%","17.6%","11.1%","8.8%","13.2%"
"    Some college or associate's degree","10.7%","8.7%","12.5%","18.5%","14.4%","21.7%","17.5%","15.4%","19.1%","19.9%","16.6%","22.5%","10.9%","8.8%","12.9%","8.4%","5.1%","11.5%"
"    Bachelor's degree or higher","5.2%","4.7%","5.7%","10.3%","10.8%","10.0%","8.7%","8.5%","8.9%","5.9%","5.2%","6.6%","7.5%","7.3%","7.7%","4.5%","4.1%","4.8%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","39,697","44,897","33,885","29,872","31,378","26,835","35,802","37,383","33,687","56,962","65,826","51,382","35,858","39,355","32,240","47,343","53,710","40,055"
"    Less than high school graduate","19,401","22,123","15,450","17,409","21,494","13,855","18,212","20,735","15,477","16,113","17,226","13,944","20,402","22,327","16,365","23,261","27,041","15,425"
"    High school graduate (includes equivalency)","29,549","34,524","23,221","24,585","26,923","21,100","27,429","30,875","23,996","21,904","25,662","19,470","27,045","31,477","22,449","33,879","43,518","22,017"
"    Some college or associate's degree","36,511","42,404","31,415","33,282","37,180","30,929","35,626","40,210","31,995","35,043","40,060","31,503","36,837","41,266","32,418","46,831","60,191","38,719"
"    Bachelor's degree","52,278","61,890","46,073","41,410","44,004","40,099","50,726","52,471","47,534","70,012","77,294","57,697","50,318","51,447","46,080","56,865","62,391","49,802"
"    Graduate or professional degree","69,397","82,052","60,896","61,468","62,982","60,922","61,957","68,938","59,867","85,548","104,545","71,666","62,166","68,086","59,361","70,449","79,057","68,329"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","",""
"    Educational attainment","6.7%","(X)","(X)","8.0%","(X)","(X)","9.9%","(X)","(X)","5.9%","(X)","(X)","11.9%","(X)","(X)","6.7%","(X)","(X)"
