"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Female!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Female!!Estimate"
"Percent high school graduate or higher","85.7%","85.6%","85.8%","70.5%","70.3%","70.6%","80.0%","80.4%","79.6%","86.8%","87.3%","86.4%","80.4%","80.9%","80.0%","88.2%","87.9%","88.5%"
"Percent bachelor's degree or higher","34.5%","33.8%","35.0%","19.3%","17.2%","21.0%","34.3%","34.6%","34.0%","59.9%","59.5%","60.1%","29.8%","29.6%","29.9%","31.1%","30.1%","31.9%"
"Population 25 to 34 years","2,845,848","1,415,447","1,430,401","220,343","105,770","114,573","472,605","228,191","244,414","371,623","175,114","196,509","378,829","189,072","189,757","61,201","30,783","30,418"
"    High school graduate or higher","89.6%","88.3%","90.9%","79.2%","75.7%","82.5%","88.7%","87.7%","89.6%","94.2%","93.4%","94.9%","88.4%","86.7%","90.2%","89.3%","90.0%","88.5%"
"    Bachelor's degree or higher","43.4%","38.8%","48.0%","23.1%","17.6%","28.2%","47.1%","44.2%","49.8%","76.2%","73.0%","79.1%","40.8%","37.3%","44.4%","42.6%","41.9%","43.3%"
"Population 35 to 44 years","2,507,726","1,228,873","1,278,853","184,159","84,641","99,518","363,495","173,984","189,511","239,220","119,351","119,869","332,358","165,819","166,539","61,957","29,847","32,110"
"    High school graduate or higher","87.6%","86.8%","88.3%","74.2%","73.6%","74.7%","83.9%","83.6%","84.2%","90.3%","90.0%","90.6%","84.0%","83.8%","84.1%","93.5%","93.1%","93.8%"
"    Bachelor's degree or higher","39.1%","36.2%","41.9%","20.5%","18.3%","22.3%","40.5%","39.6%","41.5%","65.0%","63.8%","66.1%","34.1%","32.6%","35.6%","34.0%","26.6%","40.7%"
"Population 45 to 64 years","5,290,358","2,549,433","2,740,925","340,782","154,084","186,698","610,022","279,289","330,733","392,870","189,931","202,939","613,524","294,203","319,321","132,935","63,931","69,004"
"    High school graduate or higher","86.9%","86.5%","87.2%","69.7%","70.0%","69.5%","78.0%","78.3%","77.8%","84.6%","84.6%","84.7%","79.8%","79.9%","79.8%","89.7%","88.0%","91.2%"
"    Bachelor's degree or higher","32.3%","31.6%","32.9%","18.9%","17.2%","20.3%","27.9%","28.6%","27.3%","49.6%","49.4%","49.8%","25.4%","25.5%","25.3%","30.1%","29.0%","31.1%"
"Population 65 years and over","2,895,680","1,224,971","1,670,709","161,753","62,373","99,380","317,536","128,266","189,270","234,962","94,965","139,997","315,879","130,704","185,175","68,263","28,658","39,605"
"    High school graduate or higher","78.3%","79.6%","77.3%","56.1%","57.8%","55.0%","66.2%","67.5%","65.3%","75.1%","77.9%","73.2%","68.3%","71.3%","66.2%","79.7%","80.0%","79.4%"
"    Bachelor's degree or higher","25.7%","30.4%","22.2%","13.5%","14.9%","12.6%","20.4%","24.0%","18.0%","45.9%","49.5%","43.4%","20.5%","24.3%","17.9%","20.0%","23.6%","17.4%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","29.6%","24.9%","33.9%","41.2%","33.1%","47.7%","35.6%","30.6%","39.6%","37.4%","35.6%","38.9%","21.7%","17.3%","25.6%","33.1%","29.7%","36.2%"
"    High school graduate (includes equivalency)","15.6%","13.4%","17.7%","26.5%","21.4%","31.2%","23.2%","20.4%","25.7%","26.9%","24.4%","29.2%","14.8%","11.5%","17.9%","14.6%","12.9%","16.1%"
"    Some college or associate's degree","11.3%","9.2%","13.2%","20.3%","15.2%","24.5%","16.8%","14.6%","18.6%","17.6%","13.3%","21.5%","12.4%","10.4%","14.3%","8.7%","8.1%","9.2%"
"    Bachelor's degree or higher","5.4%","5.0%","5.8%","10.5%","9.7%","11.1%","8.2%","8.3%","8.2%","7.2%","6.5%","7.7%","7.2%","6.9%","7.4%","5.0%","3.5%","6.2%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","40,339","45,068","35,411","29,025","30,900","26,850","36,551","40,209","33,565","60,595","67,351","52,550","35,949","37,482","32,987","46,757","53,278","40,252"
"        Less than high school graduate","20,071","22,750","16,013","17,163","20,701","14,288","17,855","20,682","15,816","16,840","18,154","15,395","21,700","24,723","17,314","20,392","21,206","19,827"
"        High school graduate (includes equivalency)","29,501","33,826","23,937","25,017","26,783","21,668","26,030","30,163","22,854","24,823","28,909","20,404","27,744","31,088","23,137","33,259","41,911","24,931"
"        Some college or associate's degree","36,359","42,205","31,239","32,160","36,240","29,108","34,168","40,156","30,993","36,684","44,420","31,962","36,582","40,726","32,414","43,334","61,365","36,248"
"        Bachelor's degree","53,280","61,969","47,349","41,951","43,971","41,371","50,730","53,666","46,172","71,410","87,216","61,209","50,425","51,728","47,581","60,301","65,205","50,857"
"        Graduate or professional degree","70,858","84,202","61,997","56,226","57,145","55,727","64,880","71,255","61,165","90,618","104,977","80,246","62,132","68,733","60,819","70,858","80,130","67,124"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","",""
"    Educational attainment","9.0%","(X)","(X)","9.0%","(X)","(X)","11.8%","(X)","(X)","8.0%","(X)","(X)","13.8%","(X)","(X)","9.4%","(X)","(X)"
