"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Female!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Female!!Estimate"
"High school graduate or higher","76.1%","77.3%","75.3%","51.8%","52.4%","51.4%","63.4%","64.5%","62.7%","73.2%","76.1%","71.3%","69.6%","71.2%","68.4%","77.2%","76.5%","77.7%"
"Bachelor's degree or higher","23.3%","28.8%","19.3%","11.4%","13.3%","10.3%","17.3%","18.4%","16.6%","41.6%","48.3%","37.0%","21.1%","27.0%","17.0%","16.6%","23.2%","11.9%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","29.0%","23.5%","34.0%","38.8%","30.7%","45.2%","32.0%","26.1%","37.2%","39.4%","30.9%","45.9%","23.2%","18.5%","27.6%","24.0%","19.6%","27.5%"
"    High school graduate (includes equivalency)","15.0%","13.0%","16.9%","24.7%","18.9%","30.3%","23.2%","19.8%","26.1%","28.1%","25.8%","30.2%","14.8%","12.4%","17.0%","9.9%","9.9%","9.8%"
"    Some college or associate's degree","10.6%","8.6%","12.2%","19.6%","15.9%","22.3%","16.9%","14.9%","18.5%","16.2%","15.2%","17.1%","11.5%","9.0%","13.6%","7.3%","6.2%","8.3%"
"    Bachelor's degree or higher","5.3%","4.6%","5.9%","11.7%","10.2%","12.7%","8.7%","7.9%","9.4%","6.2%","5.2%","7.1%","7.9%","7.2%","8.5%","3.8%","3.6%","4.0%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","37,958","42,318","33,123","27,979","30,288","26,104","33,777","35,625","32,028","51,727","60,029","47,153","35,040","36,295","32,378","49,659","55,229","41,106"
"    Less than high school graduate","19,253","22,032","15,373","17,473","20,638","14,295","19,115","21,622","15,749","16,133","17,500","13,611","19,995","22,765","16,083","24,327","23,021","25,584"
"    High school graduate (includes equivalency)","28,405","33,312","22,941","23,913","26,706","21,362","26,719","30,392","23,276","23,666","25,164","22,388","26,800","30,870","22,498","36,746","46,957","27,479"
"    Some college or associate's degree","35,937","41,907","30,840","32,202","37,451","29,284","33,250","36,375","31,144","32,437","35,028","31,157","35,484","39,956","31,563","48,900","59,542","33,951"
"    Bachelor's degree","51,446","60,477","45,431","41,366","44,540","40,177","49,878","51,893","46,514","64,569","76,369","57,532","47,077","50,024","45,690","60,391","66,074","54,857"
"    Graduate or professional degree","68,079","81,957","60,255","60,845","62,020","60,508","63,161","71,198","60,510","82,329","102,133","69,066","62,328","64,735","61,547","65,644","71,665","62,833"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","",""
"    Educational attainment","6.3%","(X)","(X)","8.6%","(X)","(X)","9.2%","(X)","(X)","6.2%","(X)","(X)","10.6%","(X)","(X)","5.1%","(X)","(X)"
