"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Female!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Female!!Estimate"
"Bachelor's degree or higher","22.9%","28.3%","19.2%","12.3%","12.4%","12.3%","16.6%","18.9%","15.0%","41.5%","49.3%","36.1%","20.5%","24.7%","17.7%","20.4%","26.5%","16.0%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","27.3%","22.3%","31.9%","37.7%","29.4%","44.4%","32.0%","26.3%","36.8%","33.2%","26.1%","38.8%","22.2%","17.4%","26.6%","30.4%","26.7%","33.6%"
"    High school graduate (includes equivalency)","13.7%","11.9%","15.4%","24.5%","18.5%","30.0%","20.7%","17.5%","23.3%","22.2%","20.3%","23.9%","13.6%","12.1%","14.9%","11.1%","9.9%","12.0%"
"    Some college or associate's degree","9.7%","7.5%","11.5%","18.2%","12.0%","22.9%","16.6%","14.3%","18.5%","14.3%","11.0%","17.1%","9.8%","7.8%","11.7%","6.7%","5.3%","8.1%"
"    Bachelor's degree or higher","4.9%","4.4%","5.3%","9.0%","8.1%","9.5%","7.4%","7.0%","7.8%","6.8%","6.1%","7.4%","7.2%","7.2%","7.2%","3.5%","3.5%","3.5%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","37,757","42,129","32,468","27,268","28,950","26,369","34,218","36,622","31,851","51,647","56,745","48,470","35,025","36,510","32,307","50,026","54,871","40,956"
"    Less than high school graduate","19,777","22,107","15,495","18,030","20,878","14,388","19,322","20,992","16,317","18,661","20,905","14,203","20,800","23,198","16,411","26,672","32,251","20,874"
"    High school graduate (includes equivalency)","28,636","32,836","23,477","22,343","25,744","20,325","27,297","31,303","23,994","23,882","26,089","21,834","28,620","31,041","25,507","36,076","46,400","27,008"
"    Some college or associate's degree","35,824","41,896","31,072","31,847","36,735","29,943","34,642","37,359","31,807","35,133","37,161","32,276","35,873","40,092","32,178","46,607","52,457","37,144"
"    Bachelor's degree","51,219","60,094","45,396","42,083","44,645","41,090","47,860","51,019","44,975","62,309","75,134","56,451","46,633","48,608","45,591","59,664","64,939","52,025"
"    Graduate or professional degree","66,529","81,170","58,648","57,209","61,000","56,524","61,734","66,287","60,253","80,286","100,855","66,977","61,376","62,441","60,600","71,582","79,779","68,860"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","",""
"    Educational attainment","6.2%","(X)","(X)","8.7%","(X)","(X)","8.8%","(X)","(X)","6.3%","(X)","(X)","9.9%","(X)","(X)","5.4%","(X)","(X)"
