"Label","Kings County, New York!!Total!!Estimate","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Males!!Estimate","Kings County, New York!!Percent Males!!Estimate","Kings County, New York!!Females!!Estimate","Kings County, New York!!Percent Females!!Estimate","New York!!Total!!Estimate","New York!!Percent!!Estimate","New York!!Males!!Estimate","New York!!Percent Males!!Estimate","New York!!Females!!Estimate","New York!!Percent Females!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Males!!Estimate","Richmond County, New York!!Percent Males!!Estimate","Richmond County, New York!!Females!!Estimate","Richmond County, New York!!Percent Females!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Males!!Estimate","Queens County, New York!!Percent Males!!Estimate","Queens County, New York!!Females!!Estimate","Queens County, New York!!Percent Females!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Percent!!Estimate","New York County, New York!!Males!!Estimate","New York County, New York!!Percent Males!!Estimate","New York County, New York!!Females!!Estimate","New York County, New York!!Percent Females!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Males!!Estimate","Bronx County, New York!!Percent Males!!Estimate","Bronx County, New York!!Females!!Estimate","Bronx County, New York!!Percent Females!!Estimate"
"    Some college, no degree","242,152","13.6%","113,868","13.9%","128,284","13.3%","2,177,053","16%","1,063,656","16.4%","1,113,397","15.6%","59,430","18.1%","30,388","19.6%","29,042","16.8%","242,630","14.6%","117,646","14.9%","124,984","14.4%","129,875","10.4%","62,998","10.7%","66,877","10.1%","158,290","17.1%","69,922","16.8%","88,368","17.4%"
"    Associate's degree","109,596","6.1%","47,572","5.8%","62,024","6.4%","1,155,067","8.5%","497,766","7.7%","657,301","9.2%","25,147","7.7%","10,730","6.9%","14,417","8.4%","125,324","7.6%","56,892","7.2%","68,432","7.9%","45,206","3.6%","19,521","3.3%","25,685","3.9%","61,056","6.6%","24,564","5.9%","36,492","7.2%"
"    Bachelor's degree","383,350","21.5%","177,857","21.6%","205,493","21.3%","2,727,078","20%","1,304,455","20.1%","1,422,623","19.9%","60,994","18.6%","30,219","19.5%","30,775","17.8%","331,539","20%","159,326","20.2%","172,213","19.8%","403,019","32.2%","189,511","32.3%","213,508","32.2%","122,969","13.3%","52,012","12.5%","70,957","14%"
"    Graduate or professional degree","247,742","13.9%","108,639","13.2%","139,103","14.4%","2,051,385","15%","907,339","14%","1,144,046","16%","44,778","13.7%","18,588","12%","26,190","15.2%","180,349","10.9%","80,233","10.1%","100,116","11.5%","355,662","28.5%","167,564","28.6%","188,098","28.4%","61,292","6.6%","24,036","5.8%","37,256","7.3%"
"Percent high school graduate or higher","(X)","80.5%","(X)","80.2%","(X)","80.8%","(X)","86%","(X)","85.6%","(X)","86.3%","(X)","89.6%","(X)","89.8%","(X)","89.5%","(X)","80.7%","(X)","80.8%","(X)","80.6%","(X)","86.5%","(X)","87.1%","(X)","86%","(X)","71.2%","(X)","70.7%","(X)","71.7%"
"Percent bachelor's degree or higher","(X)","35.3%","(X)","34.9%","(X)","35.7%","(X)","35%","(X)","34.1%","(X)","35.9%","(X)","32.3%","(X)","31.5%","(X)","33%","(X)","30.8%","(X)","30.3%","(X)","31.3%","(X)","60.7%","(X)","60.9%","(X)","60.6%","(X)","19.9%","(X)","18.2%","(X)","21.3%"
"Population 25 to 34 years","481,134","(X)","232,718","(X)","248,416","(X)","2,875,580","(X)","1,432,316","(X)","1,443,264","(X)","62,259","(X)","31,314","(X)","30,945","(X)","381,459","(X)","190,438","(X)","191,021","(X)","374,156","(X)","177,561","(X)","196,595","(X)","227,716","(X)","109,778","(X)","117,938","(X)"
"    High school graduate or higher","433,431","90.1%","205,783","88.4%","227,648","91.6%","2,582,494","89.8%","1,264,282","88.3%","1,318,212","91.3%","57,704","92.7%","28,386","90.6%","29,318","94.7%","340,790","89.3%","166,691","87.5%","174,099","91.1%","351,102","93.8%","164,210","92.5%","186,892","95.1%","177,802","78.1%","83,311","75.9%","94,491","80.1%"
"    Bachelor's degree or higher","234,023","48.6%","104,072","44.7%","129,951","52.3%","1,267,773","44.1%","558,688","39%","709,085","49.1%","24,758","39.8%","10,084","32.2%","14,674","47.4%","164,081","43%","73,181","38.4%","90,900","47.6%","282,360","75.5%","127,463","71.8%","154,897","78.8%","57,111","25.1%","22,387","20.4%","34,724","29.4%"
"Population 35 to 44 years","366,974","(X)","175,602","(X)","191,372","(X)","2,498,772","(X)","1,226,428","(X)","1,272,344","(X)","61,476","(X)","29,858","(X)","31,618","(X)","332,691","(X)","165,263","(X)","167,428","(X)","240,170","(X)","119,482","(X)","120,688","(X)","185,579","(X)","85,237","(X)","100,342","(X)"
"    High school graduate or higher","307,968","83.9%","145,375","82.8%","162,593","85%","2,189,035","87.6%","1,060,819","86.5%","1,128,216","88.7%","56,413","91.8%","27,632","92.5%","28,781","91%","278,984","83.9%","137,546","83.2%","141,438","84.5%","217,780","90.7%","108,418","90.7%","109,362","90.6%","139,710","75.3%","62,325","73.1%","77,385","77.1%"
"    Bachelor's degree or higher","151,346","41.2%","69,898","39.8%","81,448","42.6%","991,369","39.7%","448,665","36.6%","542,704","42.7%","24,566","40%","11,315","37.9%","13,251","41.9%","117,407","35.3%","54,569","33%","62,838","37.5%","153,853","64.1%","75,677","63.3%","78,176","64.8%","39,617","21.3%","15,888","18.6%","23,729","23.6%"
"Population 45 to 64 years","611,890","(X)","281,019","(X)","330,871","(X)","5,304,674","(X)","2,562,161","(X)","2,742,513","(X)","132,759","(X)","63,441","(X)","69,318","(X)","621,499","(X)","299,551","(X)","321,948","(X)","395,289","(X)","192,093","(X)","203,196","(X)","345,953","(X)","157,913","(X)","188,040","(X)"
"    High school graduate or higher","481,811","78.7%","218,393","77.7%","263,418","79.6%","4,608,622","86.9%","2,202,875","86%","2,405,747","87.7%","120,699","90.9%","57,295","90.3%","63,404","91.5%","493,754","79.4%","235,865","78.7%","257,889","80.1%","334,137","84.5%","164,071","85.4%","170,066","83.7%","248,137","71.7%","112,124","71%","136,013","72.3%"
"    Bachelor's degree or higher","173,677","28.4%","78,304","27.9%","95,373","28.8%","1,720,202","32.4%","798,728","31.2%","921,474","33.6%","38,872","29.3%","18,100","28.5%","20,772","30%","162,254","26.1%","78,102","26.1%","84,152","26.1%","213,190","53.9%","104,559","54.4%","108,631","53.5%","62,206","18%","26,867","17%","35,339","18.8%"
"Population 65 years and over","326,155","(X)","132,575","(X)","193,580","(X)","2,962,447","(X)","1,261,783","(X)","1,700,664","(X)","71,074","(X)","30,337","(X)","40,737","(X)","323,797","(X)","135,316","(X)","188,481","(X)","240,114","(X)","97,332","(X)","142,782","(X)","166,371","(X)","64,450","(X)","101,921","(X)"
"    High school graduate or higher","215,471","66.1%","89,975","67.9%","125,496","64.8%","2,345,455","79.2%","1,020,560","80.9%","1,324,895","77.9%","58,838","82.8%","25,896","85.4%","32,942","80.9%","225,993","69.8%","98,904","73.1%","127,089","67.4%","178,456","74.3%","74,190","76.2%","104,266","73%","93,513","56.2%","37,159","57.7%","56,354","55.3%"
"    Bachelor's degree or higher","72,046","22.1%","34,222","25.8%","37,824","19.5%","799,119","27%","405,713","32.2%","393,406","23.1%","17,576","24.7%","9,308","30.7%","8,268","20.3%","68,146","21%","33,707","24.9%","34,439","18.3%","109,278","45.5%","49,376","50.7%","59,902","42%","25,327","15.2%","10,906","16.9%","14,421","14.1%"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","798,128","(X)","385,861","(X)","412,267","(X)","9,050,590","(X)","4,361,625","(X)","4,688,965","(X)","253,390","(X)","121,260","(X)","132,130","(X)","679,162","(X)","333,539","(X)","345,623","(X)","743,525","(X)","353,806","(X)","389,719","(X)","209,631","(X)","97,485","(X)","112,146","(X)"
"        High school graduate or higher","692,753","86.8%","335,481","86.9%","357,272","86.7%","8,194,795","90.5%","3,932,329","90.2%","4,262,466","90.9%","231,231","91.3%","110,618","91.2%","120,613","91.3%","574,032","84.5%","280,921","84.2%","293,111","84.8%","698,306","93.9%","336,219","95%","362,087","92.9%","157,963","75.4%","74,067","76%","83,896","74.8%"
"        Bachelor's degree or higher","387,252","48.5%","185,726","48.1%","201,526","48.9%","3,509,467","38.8%","1,663,226","38.1%","1,846,241","39.4%","81,529","32.2%","37,380","30.8%","44,149","33.4%","236,508","34.8%","114,781","34.4%","121,727","35.2%","558,860","75.2%","269,225","76.1%","289,635","74.3%","54,062","25.8%","24,791","25.4%","29,271","26.1%"
"White alone, not Hispanic or Latino","663,613","(X)","320,850","(X)","342,763","(X)","8,044,662","(X)","3,872,549","(X)","4,172,113","(X)","216,541","(X)","102,857","(X)","113,684","(X)","464,482","(X)","226,048","(X)","238,434","(X)","623,734","(X)","301,852","(X)","321,882","(X)","105,735","(X)","50,268","(X)","55,467","(X)"
"    High school graduate or higher","605,168","91.2%","293,578","91.5%","311,590","90.9%","7,472,297","92.9%","3,581,339","92.5%","3,890,958","93.3%","201,139","92.9%","95,360","92.7%","105,779","93%","422,203","90.9%","205,495","90.9%","216,708","90.9%","613,297","98.3%","296,702","98.3%","316,595","98.4%","89,189","84.4%","42,649","84.8%","46,540","83.9%"
"    Bachelor's degree or higher","360,315","54.3%","174,014","54.2%","186,301","54.4%","3,296,251","41%","1,567,830","40.5%","1,728,421","41.4%","75,166","34.7%","34,885","33.9%","40,281","35.4%","199,533","43%","97,657","43.2%","101,876","42.7%","516,693","82.8%","249,571","82.7%","267,122","83%","38,520","36.4%","18,600","37%","19,920","35.9%"
"Black alone","581,399","(X)","242,611","(X)","338,788","(X)","2,016,296","(X)","896,692","(X)","1,119,604","(X)","30,772","(X)","13,309","(X)","17,463","(X)","290,504","(X)","124,973","(X)","165,531","(X)","171,232","(X)","78,078","(X)","93,154","(X)","308,420","(X)","135,827","(X)","172,593","(X)"
"    High school graduate or higher","482,173","82.9%","199,494","82.2%","282,679","83.4%","1,676,477","83.1%","735,635","82%","940,842","84%","26,079","84.7%","10,805","81.2%","15,274","87.5%","248,556","85.6%","105,740","84.6%","142,816","86.3%","136,725","79.8%","61,297","78.5%","75,428","81%","247,357","80.2%","107,673","79.3%","139,684","80.9%"
"    Bachelor's degree or higher","131,661","22.6%","50,295","20.7%","81,366","24%","469,975","23.3%","182,859","20.4%","287,116","25.6%","7,733","25.1%","3,724","28%","4,009","23%","71,048","24.5%","28,015","22.4%","43,033","26%","53,231","31.1%","22,651","29%","30,580","32.8%","67,011","21.7%","24,984","18.4%","42,027","24.4%"
"American Indian or Alaska Native alone","6,009","(X)","3,017","(X)","2,992","(X)","45,835","(X)","23,186","(X)","22,649","(X)","N","(X)","N","(X)","N","(X)","6,210","(X)","3,221","(X)","2,989","(X)","4,646","(X)","2,395","(X)","2,251","(X)","6,219","(X)","3,893","(X)","2,326","(X)"
"    High school graduate or higher","3,899","64.9%","1,899","62.9%","2,000","66.8%","32,782","71.5%","16,378","70.6%","16,404","72.4%","N","N","N","N","N","N","4,316","69.5%","2,224","69%","2,092","70%","2,834","61%","1,238","51.7%","1,596","70.9%","3,526","56.7%","2,319","59.6%","1,207","51.9%"
"    Bachelor's degree or higher","1,495","24.9%","693","23%","802","26.8%","9,002","19.6%","4,439","19.1%","4,563","20.1%","N","N","N","N","N","N","1,060","17.1%","672","20.9%","388","13%","1,142","24.6%","547","22.8%","595","26.4%","595","9.6%","357","9.2%","238","10.2%"
"Asian alone","224,162","(X)","106,733","(X)","117,429","(X)","1,181,113","(X)","550,533","(X)","630,580","(X)","28,218","(X)","13,441","(X)","14,777","(X)","433,339","(X)","205,662","(X)","227,677","(X)","158,528","(X)","69,161","(X)","89,367","(X)","37,533","(X)","17,520","(X)","20,013","(X)"
"    High school graduate or higher","142,599","63.6%","67,889","63.6%","74,710","63.6%","923,184","78.2%","436,088","79.2%","487,096","77.2%","24,560","87%","11,810","87.9%","12,750","86.3%","333,797","77%","162,450","79%","171,347","75.3%","132,605","83.6%","58,517","84.6%","74,088","82.9%","27,695","73.8%","13,010","74.3%","14,685","73.4%"
"    Bachelor's degree or higher","75,205","33.5%","34,629","32.4%","40,576","34.6%","551,376","46.7%","259,274","47.1%","292,102","46.3%","13,023","46.2%","6,104","45.4%","6,919","46.8%","161,019","37.2%","78,198","38%","82,821","36.4%","104,962","66.2%","46,392","67.1%","58,570","65.5%","13,834","36.9%","6,997","39.9%","6,837","34.2%"
"Native Hawaiian and Other Pacific Islander alone","N","(X)","N","(X)","N","(X)","4,384","(X)","1,903","(X)","2,481","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)"
"    High school graduate or higher","N","N","N","N","N","N","3,726","85%","1,694","89%","2,032","81.9%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Bachelor's degree or higher","N","N","N","N","N","N","991","22.6%","645","33.9%","346","13.9%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Some other race alone","141,437","(X)","68,672","(X)","72,765","(X)","1,073,742","(X)","520,184","(X)","553,558","(X)","9,397","(X)","4,081","(X)","5,316","(X)","206,630","(X)","101,693","(X)","104,937","(X)","128,180","(X)","62,847","(X)","65,333","(X)","335,007","(X)","150,891","(X)","184,116","(X)"
"    High school graduate or higher","87,515","61.9%","42,000","61.2%","45,515","62.6%","680,024","63.3%","325,006","62.5%","355,018","64.1%","6,498","69.1%","3,426","84%","3,072","57.8%","143,554","69.5%","70,267","69.1%","73,287","69.8%","75,807","59.1%","38,326","61%","37,481","57.4%","201,137","60%","88,056","58.4%","113,081","61.4%"
"    Bachelor's degree or higher","20,632","14.6%","8,953","13%","11,679","16.1%","148,597","13.8%","64,161","12.3%","84,436","15.3%","1,229","13.1%","453","11.1%","776","14.6%","29,075","14.1%","12,179","12%","16,896","16.1%","19,024","14.8%","10,050","16%","8,974","13.7%","42,696","12.7%","17,044","11.3%","25,652","13.9%"
"Two or more races","34,778","(X)","14,849","(X)","19,929","(X)","269,513","(X)","128,565","(X)","140,948","(X)","4,954","(X)","2,340","(X)","2,614","(X)","43,150","(X)","21,232","(X)","21,918","(X)","43,090","(X)","19,783","(X)","23,307","(X)","28,746","(X)","11,762","(X)","16,984","(X)"
"    High school graduate or higher","29,534","84.9%","12,592","84.8%","16,942","85%","214,618","79.6%","101,406","78.9%","113,212","80.3%","4,502","90.9%","2,084","89.1%","2,418","92.5%","34,815","80.7%","17,156","80.8%","17,659","80.6%","34,834","80.8%","14,987","75.8%","19,847","85.2%","21,421","74.5%","9,794","83.3%","11,627","68.5%"
"    Bachelor's degree or higher","14,709","42.3%","6,062","40.8%","8,647","43.4%","89,055","33%","37,190","28.9%","51,865","36.8%","1,991","40.2%","906","38.7%","1,085","41.5%","13,077","30.3%","5,613","26.4%","7,464","34.1%","21,311","49.5%","8,059","40.7%","13,252","56.9%","6,063","21.1%","1,875","15.9%","4,188","24.7%"
"Hispanic or Latino Origin","320,114","(X)","152,758","(X)","167,356","(X)","2,276,885","(X)","1,101,544","(X)","1,175,341","(X)","50,091","(X)","24,014","(X)","26,077","(X)","425,813","(X)","211,665","(X)","214,148","(X)","293,070","(X)","136,557","(X)","156,513","(X)","484,888","(X)","217,545","(X)","267,343","(X)"
"    High school graduate or higher","205,520","64.2%","96,823","63.4%","108,697","64.9%","1,540,260","67.6%","738,503","67%","801,757","68.2%","39,880","79.6%","19,835","82.6%","20,045","76.9%","300,331","70.5%","148,497","70.2%","151,834","70.9%","189,789","64.8%","90,763","66.5%","99,026","63.3%","301,731","62.2%","133,316","61.3%","168,415","63%"
"    Bachelor's degree or higher","56,105","17.5%","23,467","15.4%","32,638","19.5%","401,147","17.6%","173,069","15.7%","228,078","19.4%","7,946","15.9%","2,921","12.2%","5,025","19.3%","70,422","16.5%","31,263","14.8%","39,159","18.3%","69,875","23.8%","32,523","23.8%","37,352","23.9%","66,561","13.7%","25,568","11.8%","40,993","15.3%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","34.4%","(X)","30.5%","(X)","37.9%","(X)","29.5%","(X)","25.4%","(X)","33.4%","(X)","30.7%","(X)","29.2%","(X)","32%","(X)","21.5%","(X)","17.1%","(X)","25.5%","(X)","41.2%","(X)","36.4%","(X)","45.2%","(X)","39.4%","(X)","33.7%","(X)","44.2%"
"    High school graduate (includes equivalency)","(X)","22%","(X)","18.5%","(X)","25%","(X)","14.9%","(X)","12.8%","(X)","17%","(X)","16.2%","(X)","15.8%","(X)","16.5%","(X)","13.5%","(X)","11.5%","(X)","15.5%","(X)","26.2%","(X)","25.7%","(X)","26.7%","(X)","25.9%","(X)","21.7%","(X)","29.8%"
"    Some college or associate's degree","(X)","17.4%","(X)","14.8%","(X)","19.6%","(X)","11%","(X)","8.6%","(X)","13.2%","(X)","10.8%","(X)","8.7%","(X)","12.9%","(X)","10.2%","(X)","8%","(X)","12.1%","(X)","16.7%","(X)","12.6%","(X)","20.2%","(X)","19.8%","(X)","13.7%","(X)","24.5%"
"    Bachelor's degree or higher","(X)","8.2%","(X)","7.1%","(X)","9%","(X)","5.2%","(X)","4.5%","(X)","5.7%","(X)","5%","(X)","3.9%","(X)","5.9%","(X)","5.3%","(X)","4.8%","(X)","5.8%","(X)","6.1%","(X)","5.5%","(X)","6.6%","(X)","10.7%","(X)","9.4%","(X)","11.5%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","37,341","(X)","41,274","(X)","34,849","(X)","40,996","(X)","46,553","(X)","35,922","(X)","48,854","(X)","55,098","(X)","40,397","(X)","36,835","(X)","39,415","(X)","35,213","(X)","60,495","(X)","67,179","(X)","52,043","(X)","30,426","(X)","32,464","(X)","26,662","(X)"
"        Less than high school graduate","18,705","(X)","21,109","(X)","15,072","(X)","20,814","(X)","23,981","(X)","16,203","(X)","26,795","(X)","35,979","(X)","17,232","(X)","21,547","(X)","23,991","(X)","17,034","(X)","18,016","(X)","20,368","(X)","15,920","(X)","18,862","(X)","21,192","(X)","16,245","(X)"
"        High school graduate (includes equivalency)","26,990","(X)","31,648","(X)","23,036","(X)","30,614","(X)","35,668","(X)","23,940","(X)","36,384","(X)","48,169","(X)","25,996","(X)","29,198","(X)","31,687","(X)","23,382","(X)","25,855","(X)","30,630","(X)","19,860","(X)","26,347","(X)","31,561","(X)","21,033","(X)"
"        Some college or associate's degree","33,849","(X)","37,952","(X)","30,946","(X)","36,736","(X)","43,881","(X)","31,321","(X)","43,389","(X)","50,812","(X)","36,743","(X)","36,998","(X)","41,406","(X)","34,123","(X)","34,517","(X)","40,550","(X)","26,765","(X)","32,411","(X)","37,182","(X)","29,532","(X)"
"        Bachelor's degree","52,439","(X)","59,374","(X)","51,059","(X)","55,360","(X)","63,032","(X)","49,180","(X)","61,976","(X)","70,839","(X)","55,812","(X)","50,436","(X)","52,179","(X)","46,611","(X)","71,715","(X)","85,198","(X)","62,437","(X)","40,682","(X)","41,698","(X)","39,675","(X)"
"        Graduate or professional degree","66,680","(X)","76,139","(X)","61,487","(X)","71,684","(X)","86,817","(X)","62,172","(X)","71,060","(X)","81,560","(X)","61,062","(X)","66,632","(X)","71,950","(X)","61,769","(X)","91,067","(X)","115,632","(X)","72,415","(X)","59,583","(X)","61,151","(X)","57,196","(X)"
