"Label","Queens County, New York!!Total!!Estimate","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Percent Male!!Estimate","Queens County, New York!!Female!!Estimate","Queens County, New York!!Percent Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Percent Male!!Estimate","Bronx County, New York!!Female!!Estimate","Bronx County, New York!!Percent Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Percent!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Percent Male!!Estimate","New York County, New York!!Female!!Estimate","New York County, New York!!Percent Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Percent Male!!Estimate","Kings County, New York!!Female!!Estimate","Kings County, New York!!Percent Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Percent Male!!Estimate","Richmond County, New York!!Female!!Estimate","Richmond County, New York!!Percent Female!!Estimate","New York!!Total!!Estimate","New York!!Percent!!Estimate","New York!!Male!!Estimate","New York!!Percent Male!!Estimate","New York!!Female!!Estimate","New York!!Percent Female!!Estimate"
"        Some college, no degree","234,853","14.3%","118,389","15.1%","116,464","13.5%","160,756","17.2%","69,682","16.5%","91,074","17.8%","118,867","9.5%","59,715","10.2%","59,152","8.9%","230,197","12.9%","109,703","13.4%","120,494","12.5%","53,813","16.2%","25,665","16.3%","28,148","16.1%","2,083,151","15.2%","1,023,480","15.7%","1,059,671","14.8%"
"        Associate's degree","129,169","7.8%","61,243","7.8%","67,926","7.9%","72,571","7.8%","28,735","6.8%","43,836","8.6%","47,038","3.8%","20,665","3.5%","26,373","4.0%","104,025","5.8%","45,668","5.6%","58,357","6.1%","21,354","6.4%","8,429","5.4%","12,925","7.4%","1,193,573","8.7%","527,539","8.1%","666,034","9.3%"
"        Bachelor's degree","345,988","21.0%","162,097","20.7%","183,891","21.3%","125,331","13.4%","53,635","12.7%","71,696","14.0%","401,569","32.1%","186,278","31.7%","215,291","32.5%","415,654","23.3%","191,200","23.3%","224,454","23.3%","69,880","21.0%","35,323","22.4%","34,557","19.7%","2,846,770","20.8%","1,365,441","21.0%","1,481,329","20.7%"
"        Graduate or professional degree","204,878","12.4%","87,683","11.2%","117,195","13.6%","68,180","7.3%","27,858","6.6%","40,322","7.9%","365,292","29.2%","171,499","29.2%","193,793","29.3%","278,196","15.6%","116,624","14.2%","161,572","16.8%","44,109","13.3%","17,469","11.1%","26,640","15.2%","2,244,696","16.4%","977,320","15.0%","1,267,376","17.7%"
"        High school graduate or higher","1,358,171","82.5%","(X)","82.6%","(X)","82.4%","685,304","73.3%","(X)","73.8%","(X)","73.0%","1,096,067","87.7%","(X)","88.3%","(X)","87.2%","1,489,002","83.4%","(X)","83.2%","(X)","83.6%","291,804","87.7%","(X)","87.6%","(X)","87.9%","11,914,979","87.1%","(X)","86.9%","(X)","87.4%"
"        Bachelor's degree or higher","550,866","33.5%","(X)","31.9%","(X)","34.9%","193,511","20.7%","(X)","19.3%","(X)","21.9%","766,861","61.4%","(X)","60.9%","(X)","61.8%","693,850","38.9%","(X)","37.5%","(X)","40.1%","113,989","34.3%","(X)","33.5%","(X)","34.9%","5,091,466","37.2%","(X)","36.0%","(X)","38.4%"
"    Population 25 to 34 years","366,269","(X)","183,293","(X)","182,976","(X)","230,160","(X)","111,575","(X)","118,585","(X)","364,144","(X)","175,228","(X)","188,916","(X)","474,567","(X)","230,364","(X)","244,203","(X)","64,892","(X)","32,623","(X)","32,269","(X)","2,872,898","(X)","1,441,518","(X)","1,431,380","(X)"
"        High school graduate or higher","334,581","91.3%","165,108","90.1%","169,473","92.6%","192,556","83.7%","93,001","83.4%","99,555","84.0%","345,134","94.8%","163,198","93.1%","181,936","96.3%","436,617","92.0%","208,310","90.4%","228,307","93.5%","59,124","91.1%","29,285","89.8%","29,839","92.5%","2,627,987","91.5%","1,303,504","90.4%","1,324,483","92.5%"
"        Bachelor's degree or higher","168,410","46.0%","74,030","40.4%","94,380","51.6%","55,587","24.2%","22,226","19.9%","33,361","28.1%","280,014","76.9%","127,997","73.0%","152,017","80.5%","252,646","53.2%","110,841","48.1%","141,805","58.1%","31,013","47.8%","14,109","43.2%","16,904","52.4%","1,332,263","46.4%","594,868","41.3%","737,395","51.5%"
"    Population 35 to 44 years","313,311","(X)","155,058","(X)","158,253","(X)","181,132","(X)","83,890","(X)","97,242","(X)","233,082","(X)","115,509","(X)","117,573","(X)","360,310","(X)","173,157","(X)","187,153","(X)","59,313","(X)","28,860","(X)","30,453","(X)","2,433,825","(X)","1,198,857","(X)","1,234,968","(X)"
"        High school graduate or higher","270,211","86.2%","132,524","85.5%","137,687","87.0%","136,914","75.6%","62,652","74.7%","74,262","76.4%","214,020","91.8%","104,640","90.6%","109,380","93.0%","319,053","88.5%","152,339","88.0%","166,714","89.1%","53,182","89.7%","25,639","88.8%","27,543","90.4%","2,165,621","89.0%","1,053,872","87.9%","1,111,749","90.0%"
"        Bachelor's degree or higher","120,079","38.3%","52,583","33.9%","67,496","42.7%","39,886","22.0%","16,458","19.6%","23,428","24.1%","160,205","68.7%","75,010","64.9%","85,195","72.5%","167,861","46.6%","77,834","44.9%","90,027","48.1%","22,869","38.6%","9,299","32.2%","13,570","44.6%","1,055,215","43.4%","467,184","39.0%","588,031","47.6%"
"    Population 45 to 64 years","609,332","(X)","294,582","(X)","314,750","(X)","339,934","(X)","154,572","(X)","185,362","(X)","383,778","(X)","187,225","(X)","196,553","(X)","591,649","(X)","271,219","(X)","320,430","(X)","131,392","(X)","62,736","(X)","68,656","(X)","5,153,555","(X)","2,485,570","(X)","2,667,985","(X)"
"        High school graduate or higher","491,585","80.7%","235,577","80.0%","256,008","81.3%","244,609","72.0%","111,350","72.0%","133,259","71.9%","329,963","86.0%","163,145","87.1%","166,818","84.9%","475,283","80.3%","217,339","80.1%","257,944","80.5%","117,029","89.1%","55,957","89.2%","61,072","89.0%","4,497,635","87.3%","2,154,620","86.7%","2,343,015","87.8%"
"        Bachelor's degree or higher","176,263","28.9%","81,805","27.8%","94,458","30.0%","65,082","19.1%","28,021","18.1%","37,061","20.0%","204,857","53.4%","100,512","53.7%","104,345","53.1%","180,559","30.5%","77,753","28.7%","102,806","32.1%","43,903","33.4%","20,939","33.4%","22,964","33.4%","1,757,571","34.1%","814,441","32.8%","943,130","35.3%"
"    Population 65 years and over","357,630","(X)","151,243","(X)","206,387","(X)","183,165","(X)","71,944","(X)","111,221","(X)","268,834","(X)","109,763","(X)","159,071","(X)","358,797","(X)","146,753","(X)","212,044","(X)","77,054","(X)","33,233","(X)","43,821","(X)","3,212,065","(X)","1,381,107","(X)","1,830,958","(X)"
"        High school graduate or higher","261,794","73.2%","114,261","75.5%","147,533","71.5%","111,225","60.7%","44,294","61.6%","66,931","60.2%","206,950","77.0%","87,793","80.0%","119,157","74.9%","258,049","71.9%","105,446","71.9%","152,603","72.0%","62,469","81.1%","27,008","81.3%","35,461","80.9%","2,623,736","81.7%","1,141,255","82.6%","1,482,481","81.0%"
"        Bachelor's degree or higher","86,114","24.1%","41,362","27.3%","44,752","21.7%","32,956","18.0%","14,788","20.6%","18,168","16.3%","121,785","45.3%","54,258","49.4%","67,527","42.5%","92,784","25.9%","41,396","28.2%","51,388","24.2%","16,204","21.0%","8,445","25.4%","7,759","17.7%","946,417","29.5%","466,268","33.8%","480,149","26.2%"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","644,408","(X)","314,045","(X)","330,363","(X)","223,136","(X)","102,832","(X)","120,304","(X)","721,309","(X)","348,894","(X)","372,415","(X)","793,096","(X)","383,463","(X)","409,633","(X)","251,228","(X)","119,964","(X)","131,264","(X)","8,956,108","(X)","4,322,688","(X)","4,633,420","(X)"
"        High school graduate or higher","561,212","87.1%","271,114","86.3%","290,098","87.8%","170,962","76.6%","79,170","77.0%","91,792","76.3%","688,375","95.4%","333,766","95.7%","354,609","95.2%","710,711","89.6%","342,141","89.2%","368,570","90.0%","225,576","89.8%","107,243","89.4%","118,333","90.1%","8,197,781","91.5%","3,935,448","91.0%","4,262,333","92.0%"
"        Bachelor's degree or higher","249,573","38.7%","118,547","37.7%","131,026","39.7%","64,432","28.9%","28,901","28.1%","35,531","29.5%","558,294","77.4%","267,381","76.6%","290,913","78.1%","420,924","53.1%","199,019","51.9%","221,905","54.2%","85,207","33.9%","39,323","32.8%","45,884","35.0%","3,712,238","41.4%","1,746,680","40.4%","1,965,558","42.4%"
"    White alone, not Hispanic or Latino","445,268","(X)","216,718","(X)","228,550","(X)","96,945","(X)","46,514","(X)","50,431","(X)","619,662","(X)","301,491","(X)","318,171","(X)","662,777","(X)","320,482","(X)","342,295","(X)","212,963","(X)","101,355","(X)","111,608","(X)","7,945,102","(X)","3,830,470","(X)","4,114,632","(X)"
"        High school graduate or higher","409,999","92.1%","198,947","91.8%","211,052","92.3%","85,119","87.8%","41,391","89.0%","43,728","86.7%","609,385","98.3%","296,025","98.2%","313,360","98.5%","614,017","92.6%","295,028","92.1%","318,989","93.2%","196,233","92.1%","93,277","92.0%","102,956","92.2%","7,432,811","93.6%","3,566,552","93.1%","3,866,259","94.0%"
"        Bachelor's degree or higher","210,076","47.2%","100,661","46.4%","109,415","47.9%","43,344","44.7%","20,339","43.7%","23,005","45.6%","518,771","83.7%","249,203","82.7%","269,568","84.7%","387,630","58.5%","183,393","57.2%","204,237","59.7%","77,420","36.4%","35,980","35.5%","41,440","37.1%","3,467,217","43.6%","1,636,911","42.7%","1,830,306","44.5%"
"    Black alone","297,007","(X)","131,002","(X)","166,005","(X)","335,208","(X)","149,569","(X)","185,639","(X)","173,772","(X)","79,620","(X)","94,152","(X)","575,847","(X)","240,296","(X)","335,551","(X)","31,140","(X)","14,540","(X)","16,600","(X)","2,075,639","(X)","934,093","(X)","1,141,546","(X)"
"        High school graduate or higher","258,919","87.2%","113,812","86.9%","145,107","87.4%","267,585","79.8%","120,620","80.6%","146,965","79.2%","141,255","81.3%","64,869","81.5%","76,386","81.1%","491,690","85.4%","204,963","85.3%","286,727","85.4%","25,835","83.0%","11,965","82.3%","13,870","83.6%","1,742,408","83.9%","781,397","83.7%","961,011","84.2%"
"        Bachelor's degree or higher","75,617","25.5%","26,107","19.9%","49,510","29.8%","70,134","20.9%","27,329","18.3%","42,805","23.1%","49,912","28.7%","22,930","28.8%","26,982","28.7%","144,472","25.1%","51,670","21.5%","92,802","27.7%","7,971","25.6%","3,329","22.9%","4,642","28.0%","506,044","24.4%","197,979","21.2%","308,065","27.0%"
"    American Indian or Alaska Native alone","6,624","(X)","3,619","(X)","3,005","(X)","6,165","(X)","2,903","(X)","3,262","(X)","9,411","(X)","5,209","(X)","4,202","(X)","4,916","(X)","2,730","(X)","2,186","(X)","N","(X)","N","(X)","N","(X)","56,956","(X)","31,037","(X)","25,919","(X)"
"        High school graduate or higher","5,593","84.4%","2,885","79.7%","2,708","90.1%","3,680","59.7%","2,064","71.1%","1,616","49.5%","8,385","89.1%","4,759","91.4%","3,626","86.3%","3,268","66.5%","1,636","59.9%","1,632","74.7%","N","N","N","N","N","N","44,038","77.3%","23,846","76.8%","20,192","77.9%"
"        Bachelor's degree or higher","1,162","17.5%","284","7.8%","878","29.2%","550","8.9%","265","9.1%","285","8.7%","2,437","25.9%","597","11.5%","1,840","43.8%","921","18.7%","382","14.0%","539","24.7%","N","N","N","N","N","N","10,204","17.9%","4,572","14.7%","5,632","21.7%"
"    Asian alone","440,614","(X)","208,379","(X)","232,235","(X)","38,436","(X)","17,595","(X)","20,841","(X)","159,615","(X)","68,297","(X)","91,318","(X)","218,632","(X)","102,331","(X)","116,301","(X)","35,643","(X)","16,774","(X)","18,869","(X)","1,207,338","(X)","561,105","(X)","646,233","(X)"
"        High school graduate or higher","345,567","78.4%","168,081","80.7%","177,486","76.4%","29,877","77.7%","14,424","82.0%","15,453","74.1%","129,003","80.8%","55,980","82.0%","73,023","80.0%","152,629","69.8%","73,094","71.4%","79,535","68.4%","28,393","79.7%","13,856","82.6%","14,537","77.0%","963,515","79.8%","456,541","81.4%","506,974","78.5%"
"        Bachelor's degree or higher","173,140","39.3%","83,419","40.0%","89,721","38.6%","16,579","43.1%","7,917","45.0%","8,662","41.6%","107,220","67.2%","47,101","69.0%","60,119","65.8%","80,903","37.0%","37,324","36.5%","43,579","37.5%","17,328","48.6%","8,369","49.9%","8,959","47.5%","585,647","48.5%","276,450","49.3%","309,197","47.8%"
"    Native Hawaiian and Other Pacific Islander alone","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","6,383","(X)","2,948","(X)","3,435","(X)"
"        High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,954","77.6%","2,128","72.2%","2,826","82.3%"
"        Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1,078","16.9%","520","17.6%","558","16.2%"
"    Some other race alone","209,605","(X)","105,145","(X)","104,460","(X)","293,916","(X)","130,886","(X)","163,030","(X)","135,275","(X)","62,554","(X)","72,721","(X)","140,332","(X)","69,287","(X)","71,045","(X)","10,160","(X)","4,407","(X)","5,753","(X)","1,058,459","(X)","511,784","(X)","546,675","(X)"
"        High school graduate or higher","147,186","70.2%","74,143","70.5%","73,043","69.9%","185,645","63.2%","81,902","62.6%","103,743","63.6%","89,145","65.9%","41,793","66.8%","47,352","65.1%","85,399","60.9%","41,634","60.1%","43,765","61.6%","7,836","77.1%","3,330","75.6%","4,506","78.3%","704,427","66.6%","339,659","66.4%","364,768","66.7%"
"        Bachelor's degree or higher","33,811","16.1%","14,002","13.3%","19,809","19.0%","31,220","10.6%","12,494","9.5%","18,726","11.5%","26,383","19.5%","10,087","16.1%","16,296","22.4%","21,499","15.3%","8,945","12.9%","12,554","17.7%","1,938","19.1%","917","20.8%","1,021","17.7%","161,325","15.2%","68,468","13.4%","92,857","17.0%"
"    Two or more races","47,611","(X)","21,797","(X)","25,814","(X)","36,145","(X)","17,584","(X)","18,561","(X)","49,540","(X)","22,663","(X)","26,877","(X)","51,464","(X)","22,969","(X)","28,495","(X)","4,127","(X)","1,661","(X)","2,466","(X)","311,460","(X)","143,397","(X)","168,063","(X)"
"        High school graduate or higher","39,366","82.7%","17,382","79.7%","21,984","85.2%","26,531","73.4%","12,602","71.7%","13,929","75.0%","39,395","79.5%","17,528","77.3%","21,867","81.4%","44,269","86.0%","19,549","85.1%","24,720","86.8%","3,811","92.3%","1,389","83.6%","2,422","98.2%","257,856","82.8%","114,232","79.7%","143,624","85.5%"
"        Bachelor's degree or higher","17,510","36.8%","7,368","33.8%","10,142","39.3%","10,323","28.6%","4,428","25.2%","5,895","31.8%","22,371","45.2%","9,600","42.4%","12,771","47.5%","25,043","48.7%","10,455","45.5%","14,588","51.2%","1,501","36.4%","810","48.8%","691","28.0%","114,930","36.9%","48,092","33.5%","66,838","39.8%"
"    Hispanic or Latino Origin","422,130","(X)","209,922","(X)","212,208","(X)","502,171","(X)","225,525","(X)","276,646","(X)","297,170","(X)","138,740","(X)","158,430","(X)","316,261","(X)","150,201","(X)","166,060","(X)","52,374","(X)","25,171","(X)","27,203","(X)","2,340,922","(X)","1,131,098","(X)","1,209,824","(X)"
"        High school graduate or higher","309,759","73.4%","152,134","72.5%","157,625","74.3%","329,892","65.7%","146,903","65.1%","182,989","66.1%","212,085","71.4%","100,954","72.8%","111,131","70.1%","217,335","68.7%","101,974","67.9%","115,361","69.5%","40,298","76.9%","18,776","74.6%","21,522","79.1%","1,669,912","71.3%","799,997","70.7%","869,915","71.9%"
"        Bachelor's degree or higher","78,341","18.6%","33,771","16.1%","44,570","21.0%","68,926","13.7%","28,076","12.4%","40,850","14.8%","79,172","26.6%","33,792","24.4%","45,380","28.6%","66,840","21.1%","28,153","18.7%","38,687","23.3%","10,358","19.8%","4,648","18.5%","5,710","21.0%","468,681","20.0%","202,602","17.9%","266,079","22.0%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","18.8%","(X)","15.5%","(X)","21.8%","(X)","38.1%","(X)","28.7%","(X)","45.3%","(X)","37.6%","(X)","32.1%","(X)","42.0%","(X)","30.5%","(X)","27.0%","(X)","33.6%","(X)","29.2%","(X)","25.5%","(X)","32.6%","(X)","27.7%","(X)","22.9%","(X)","32.1%"
"    High school graduate (includes equivalency)","(X)","11.4%","(X)","8.4%","(X)","14.3%","(X)","24.4%","(X)","19.9%","(X)","29.0%","(X)","23.3%","(X)","20.2%","(X)","26.4%","(X)","21.8%","(X)","18.7%","(X)","24.7%","(X)","10.5%","(X)","9.6%","(X)","11.3%","(X)","14.4%","(X)","12.0%","(X)","16.7%"
"    Some college or associate's degree","(X)","8.8%","(X)","7.9%","(X)","9.8%","(X)","17.6%","(X)","12.9%","(X)","21.1%","(X)","19.2%","(X)","16.3%","(X)","21.9%","(X)","14.1%","(X)","12.1%","(X)","15.9%","(X)","10.0%","(X)","7.1%","(X)","12.4%","(X)","10.1%","(X)","8.0%","(X)","12.0%"
"    Bachelor's degree or higher","(X)","5.9%","(X)","5.8%","(X)","6.1%","(X)","10.3%","(X)","11.2%","(X)","9.7%","(X)","5.6%","(X)","5.3%","(X)","5.8%","(X)","7.3%","(X)","6.7%","(X)","7.8%","(X)","4.2%","(X)","3.7%","(X)","4.6%","(X)","5.0%","(X)","4.6%","(X)","5.4%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","41,332","(X)","43,860","(X)","38,890","(X)","31,481","(X)","34,887","(X)","28,897","(X)","67,098","(X)","77,146","(X)","60,772","(X)","44,630","(X)","48,229","(X)","41,391","(X)","51,877","(X)","60,519","(X)","43,307","(X)","45,764","(X)","51,253","(X)","40,527","(X)"
"        Less than high school graduate","24,438","(X)","28,490","(X)","19,652","(X)","21,996","(X)","25,727","(X)","17,716","(X)","22,173","(X)","27,002","(X)","16,947","(X)","23,092","(X)","25,955","(X)","19,406","(X)","23,045","(X)","27,001","(X)","15,697","(X)","23,749","(X)","27,350","(X)","18,691","(X)"
"        High school graduate (includes equivalency)","32,392","(X)","36,855","(X)","27,413","(X)","26,687","(X)","30,538","(X)","22,416","(X)","31,295","(X)","34,231","(X)","25,938","(X)","30,834","(X)","35,883","(X)","24,995","(X)","44,426","(X)","55,811","(X)","31,734","(X)","32,286","(X)","38,605","(X)","26,412","(X)"
"        Some college or associate's degree","40,954","(X)","46,570","(X)","35,679","(X)","32,613","(X)","38,785","(X)","30,067","(X)","40,274","(X)","40,866","(X)","38,832","(X)","39,982","(X)","43,809","(X)","35,358","(X)","48,815","(X)","58,589","(X)","40,347","(X)","40,458","(X)","47,960","(X)","34,177","(X)"
"        Bachelor's degree","55,125","(X)","59,652","(X)","51,833","(X)","45,563","(X)","51,519","(X)","43,062","(X)","76,564","(X)","95,094","(X)","65,381","(X)","60,740","(X)","65,204","(X)","56,449","(X)","61,892","(X)","70,388","(X)","51,823","(X)","60,985","(X)","70,370","(X)","52,888","(X)"
"        Graduate or professional degree","72,210","(X)","77,236","(X)","69,784","(X)","68,687","(X)","70,622","(X)","67,234","(X)","101,735","(X)","134,060","(X)","81,135","(X)","77,370","(X)","86,192","(X)","73,928","(X)","77,313","(X)","90,296","(X)","70,642","(X)","77,469","(X)","92,345","(X)","70,156","(X)"
