,Label,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",race,year
163,Health technologists and technicians_Male,79.0,434,0.0,2136,,Asian Alone,2012
164,Service occupations:_Male,2990.0,16845,5947.0,25064,,Asian Alone,2012
165,Healthcare support occupations_Male,234.0,393,233.0,1693,,Asian Alone,2012
166,Protective service occupations:_Male,122.0,1163,187.0,2796,,Asian Alone,2012
167,"Fire fighting and prevention, and other protective service workers including supervisors_Male",79.0,511,65.0,2004,,Asian Alone,2012
168,Law enforcement workers including supervisors_Male,43.0,652,122.0,792,,Asian Alone,2012
169,Food preparation and serving related occupations_Male,1544.0,11961,4058.0,15273,,Asian Alone,2012
170,Building and grounds cleaning and maintenance occupations_Male,959.0,1549,249.0,2683,,Asian Alone,2012
171,Personal care and service occupations_Male,131.0,1779,1220.0,2619,,Asian Alone,2012
172,Sales and office occupations:_Male,3357.0,13936,10211.0,30102,,Asian Alone,2012
173,Sales and related occupations_Male,2256.0,8120,6294.0,17588,,Asian Alone,2012
174,Office and administrative support occupations_Male,1101.0,5816,3917.0,12514,,Asian Alone,2012
175,"Natural resources, construction, and maintenance occupations:_Male",1526.0,5631,654.0,12744,,Asian Alone,2012
176,"Farming, fishing, and forestry occupations_Male",0.0,179,0.0,0,,Asian Alone,2012
177,Construction and extraction occupations_Male,1008.0,3670,269.0,8746,,Asian Alone,2012
178,"Installation, maintenance, and repair occupations_Male",518.0,1782,385.0,3998,,Asian Alone,2012
179,"Production, transportation, and material moving occupations:_Male",2310.0,11600,3430.0,24687,,Asian Alone,2012
180,Production occupations_Male,472.0,2785,631.0,4583,,Asian Alone,2012
181,Transportation occupations_Male,1556.0,7669,2146.0,18306,,Asian Alone,2012
182,Material moving occupations_Male,282.0,1146,653.0,1798,,Asian Alone,2012
183,Female:_Female,8538.0,62705,57484.0,112689,,Asian Alone,2012
184,"Management, business, science, and arts occupations:_Female",2968.0,22439,37571.0,43372,,Asian Alone,2012
185,"Management, business, and financial occupations:_Female",925.0,9094,15062.0,17082,,Asian Alone,2012
186,Management occupations_Female,305.0,4371,7336.0,8943,,Asian Alone,2012
187,Business and financial operations occupations_Female,620.0,4723,7726.0,8139,,Asian Alone,2012
188,"Computer, engineering, and science occupations:_Female",457.0,2087,3580.0,3313,,Asian Alone,2012
189,Computer and mathematical occupations_Female,277.0,924,1603.0,2071,,Asian Alone,2012
190,Architecture and engineering occupations_Female,49.0,695,704.0,397,,Asian Alone,2012
191,"Life, physical, and social science occupations_Female",131.0,468,1273.0,845,,Asian Alone,2012
192,"Education, legal, community service, arts, and media occupations:_Female",467.0,7326,13128.0,10835,,Asian Alone,2012
193,Community and social service occupations_Female,0.0,482,677.0,1142,,Asian Alone,2012
194,Legal occupations_Female,0.0,334,3190.0,1143,,Asian Alone,2012
195,"Education, training, and library occupations_Female",435.0,3291,3601.0,6304,,Asian Alone,2012
196,"Arts, design, entertainment, sports, and media occupations_Female",32.0,3219,5660.0,2246,,Asian Alone,2012
197,Healthcare practitioners and technical occupations:_Female,1119.0,3932,5801.0,12142,,Asian Alone,2012
198,Health diagnosing and treating practitioners and other technical occupations_Female,944.0,3099,5435.0,9779,,Asian Alone,2012
199,Health technologists and technicians_Female,175.0,833,366.0,2363,,Asian Alone,2012
200,Service occupations:_Female,2338.0,18220,6377.0,28701,,Asian Alone,2012
201,Healthcare support occupations_Female,209.0,4864,2090.0,5629,,Asian Alone,2012
202,Protective service occupations:_Female,154.0,99,0.0,437,,Asian Alone,2012
203,"Fire fighting and prevention, and other protective service workers including supervisors_Female",154.0,74,0.0,287,,Asian Alone,2012
204,Law enforcement workers including supervisors_Female,0.0,25,0.0,150,,Asian Alone,2012
205,Food preparation and serving related occupations_Female,575.0,4904,1480.0,5838,,Asian Alone,2012
206,Building and grounds cleaning and maintenance occupations_Female,491.0,1281,851.0,3699,,Asian Alone,2012
207,Personal care and service occupations_Female,909.0,7072,1956.0,13098,,Asian Alone,2012
208,Sales and office occupations:_Female,2779.0,16592,10780.0,32698,,Asian Alone,2012
209,Sales and related occupations_Female,1647.0,7821,5286.0,15594,,Asian Alone,2012
210,Office and administrative support occupations_Female,1132.0,8771,5494.0,17104,,Asian Alone,2012
211,"Natural resources, construction, and maintenance occupations:_Female",0.0,62,122.0,279,,Asian Alone,2012
212,"Farming, fishing, and forestry occupations_Female",0.0,27,0.0,0,,Asian Alone,2012
213,Construction and extraction occupations_Female,0.0,0,122.0,86,,Asian Alone,2012
214,"Installation, maintenance, and repair occupations_Female",0.0,35,0.0,193,,Asian Alone,2012
215,"Production, transportation, and material moving occupations:_Female",453.0,5392,2634.0,7639,,Asian Alone,2012
216,Production occupations_Female,177.0,4642,2251.0,5952,,Asian Alone,2012
217,Transportation occupations_Female,0.0,36,383.0,576,,Asian Alone,2012
218,Material moving occupations_Female,276.0,714,0.0,1111,,Asian Alone,2012
219,Total:,21959.0,137634,107524.0,272432,17423.0,Asian Alone,2013
220,Male:,12205.0,72710,49574.0,149843,9765.0,Asian Alone,2013
221,"Management, business, science, and arts occupations:_Male",3994.0,23155,31686.0,50141,4307.0,Asian Alone,2013
222,"Management, business, and financial occupations:_Male",1492.0,9866,17429.0,20989,1747.0,Asian Alone,2013
223,Management occupations_Male,1119.0,5702,8433.0,12398,839.0,Asian Alone,2013
224,Business and financial operations occupations_Male,373.0,4164,8996.0,8591,908.0,Asian Alone,2013
225,"Computer, engineering, and science occupations:_Male",754.0,7093,7240.0,13935,769.0,Asian Alone,2013
226,Computer and mathematical occupations_Male,376.0,4593,4924.0,9292,376.0,Asian Alone,2013
227,Architecture and engineering occupations_Male,312.0,2020,307.0,3065,318.0,Asian Alone,2013
228,"Life, physical, and social science occupations_Male",66.0,480,2009.0,1578,75.0,Asian Alone,2013
229,"Education, legal, community service, arts, and media occupations:_Male",309.0,4013,3916.0,8978,799.0,Asian Alone,2013
230,Community and social service occupations_Male,23.0,401,0.0,1316,326.0,Asian Alone,2013
231,Legal occupations_Male,0.0,504,813.0,1003,0.0,Asian Alone,2013
232,"Education, training, and library occupations_Male",184.0,942,1229.0,3247,39.0,Asian Alone,2013
233,"Arts, design, entertainment, sports, and media occupations_Male",102.0,2166,1874.0,3412,434.0,Asian Alone,2013
234,Healthcare practitioners and technical occupations:_Male,1439.0,2183,3101.0,6239,992.0,Asian Alone,2013
235,Health diagnosing and treating practitioners and other technical occupations_Male,1107.0,1939,2590.0,3869,716.0,Asian Alone,2013
236,Health technologists and technicians_Male,332.0,244,511.0,2370,276.0,Asian Alone,2013
237,Service occupations:_Male,3960.0,17780,5426.0,27390,1490.0,Asian Alone,2013
238,Healthcare support occupations_Male,302.0,899,800.0,1841,450.0,Asian Alone,2013
239,Protective service occupations:_Male,448.0,855,387.0,3926,171.0,Asian Alone,2013
240,"Fire fighting and prevention, and other protective service workers including supervisors_Male",250.0,577,360.0,3564,41.0,Asian Alone,2013
241,Law enforcement workers including supervisors_Male,198.0,278,27.0,362,130.0,Asian Alone,2013
242,Food preparation and serving related occupations_Male,1818.0,13293,2883.0,14835,664.0,Asian Alone,2013
243,Building and grounds cleaning and maintenance occupations_Male,538.0,1545,893.0,3446,205.0,Asian Alone,2013
244,Personal care and service occupations_Male,854.0,1188,463.0,3342,0.0,Asian Alone,2013
245,Sales and office occupations:_Male,1584.0,14043,10140.0,34999,1723.0,Asian Alone,2013
246,Sales and related occupations_Male,1111.0,8491,6127.0,22264,892.0,Asian Alone,2013
247,Office and administrative support occupations_Male,473.0,5552,4013.0,12735,831.0,Asian Alone,2013
248,"Natural resources, construction, and maintenance occupations:_Male",799.0,6211,517.0,11677,975.0,Asian Alone,2013
249,"Farming, fishing, and forestry occupations_Male",0.0,0,0.0,235,0.0,Asian Alone,2013
250,Construction and extraction occupations_Male,524.0,4818,360.0,7888,406.0,Asian Alone,2013
251,"Installation, maintenance, and repair occupations_Male",275.0,1393,157.0,3554,569.0,Asian Alone,2013
252,"Production, transportation, and material moving occupations:_Male",1868.0,11521,1805.0,25636,1270.0,Asian Alone,2013
253,Production occupations_Male,344.0,2866,652.0,6964,434.0,Asian Alone,2013
254,Transportation occupations_Male,1499.0,6498,936.0,16159,781.0,Asian Alone,2013
255,Material moving occupations_Male,25.0,2157,217.0,2513,55.0,Asian Alone,2013
256,Female:_Female,9754.0,64924,57950.0,122589,7658.0,Asian Alone,2013
257,"Management, business, science, and arts occupations:_Female",4922.0,25078,37462.0,48768,4906.0,Asian Alone,2013
258,"Management, business, and financial occupations:_Female",1051.0,8273,17235.0,17554,1501.0,Asian Alone,2013
259,Management occupations_Female,386.0,2876,7244.0,8030,842.0,Asian Alone,2013
260,Business and financial operations occupations_Female,665.0,5397,9991.0,9524,659.0,Asian Alone,2013
261,"Computer, engineering, and science occupations:_Female",334.0,2096,3794.0,5777,370.0,Asian Alone,2013
262,Computer and mathematical occupations_Female,68.0,1602,2892.0,3751,329.0,Asian Alone,2013
263,Architecture and engineering occupations_Female,0.0,222,269.0,831,0.0,Asian Alone,2013
264,"Life, physical, and social science occupations_Female",266.0,272,633.0,1195,41.0,Asian Alone,2013
265,"Education, legal, community service, arts, and media occupations:_Female",1292.0,9888,9892.0,13377,947.0,Asian Alone,2013
266,Community and social service occupations_Female,60.0,783,763.0,1100,144.0,Asian Alone,2013
267,Legal occupations_Female,199.0,792,1715.0,1630,0.0,Asian Alone,2013
268,"Education, training, and library occupations_Female",845.0,4281,3713.0,6432,723.0,Asian Alone,2013
269,"Arts, design, entertainment, sports, and media occupations_Female",188.0,4032,3701.0,4215,80.0,Asian Alone,2013
270,Healthcare practitioners and technical occupations:_Female,2245.0,4821,6541.0,12060,2088.0,Asian Alone,2013
271,Health diagnosing and treating practitioners and other technical occupations_Female,2017.0,4018,6148.0,9341,1737.0,Asian Alone,2013
272,Health technologists and technicians_Female,228.0,803,393.0,2719,351.0,Asian Alone,2013
273,Service occupations:_Female,2223.0,17774,7789.0,32842,1019.0,Asian Alone,2013
274,Healthcare support occupations_Female,834.0,6496,2603.0,6361,509.0,Asian Alone,2013
275,Protective service occupations:_Female,26.0,0,0.0,884,0.0,Asian Alone,2013
276,"Fire fighting and prevention, and other protective service workers including supervisors_Female",26.0,0,0.0,810,0.0,Asian Alone,2013
277,Law enforcement workers including supervisors_Female,0.0,0,0.0,74,0.0,Asian Alone,2013
278,Food preparation and serving related occupations_Female,386.0,3336,1767.0,7554,139.0,Asian Alone,2013
279,Building and grounds cleaning and maintenance occupations_Female,225.0,1884,996.0,4006,150.0,Asian Alone,2013
280,Personal care and service occupations_Female,752.0,6058,2423.0,14037,221.0,Asian Alone,2013
281,Sales and office occupations:_Female,2141.0,16506,10959.0,34624,1498.0,Asian Alone,2013
282,Sales and related occupations_Female,1344.0,8595,4662.0,15812,236.0,Asian Alone,2013
283,Office and administrative support occupations_Female,797.0,7911,6297.0,18812,1262.0,Asian Alone,2013
284,"Natural resources, construction, and maintenance occupations:_Female",0.0,368,0.0,508,0.0,Asian Alone,2013
285,"Farming, fishing, and forestry occupations_Female",0.0,0,0.0,0,0.0,Asian Alone,2013
286,Construction and extraction occupations_Female,0.0,216,0.0,224,0.0,Asian Alone,2013
287,"Installation, maintenance, and repair occupations_Female",0.0,152,0.0,284,0.0,Asian Alone,2013
288,"Production, transportation, and material moving occupations:_Female",468.0,5198,1740.0,5847,235.0,Asian Alone,2013
289,Production occupations_Female,338.0,4552,1587.0,4974,235.0,Asian Alone,2013
290,Transportation occupations_Female,130.0,182,70.0,340,0.0,Asian Alone,2013
291,Material moving occupations_Female,0.0,464,83.0,533,0.0,Asian Alone,2013
292,Total:,24953.0,147945,108383.0,278267,18513.0,Asian Alone,2014
293,Male:,13769.0,77363,49965.0,153040,9818.0,Asian Alone,2014
294,"Management, business, science, and arts occupations:_Male",4771.0,22450,33401.0,47799,3779.0,Asian Alone,2014
295,"Management, business, and financial occupations:_Male",1711.0,9416,18080.0,21653,1319.0,Asian Alone,2014
296,Management occupations_Male,1402.0,6169,11238.0,13864,985.0,Asian Alone,2014
297,Business and financial operations occupations_Male,309.0,3247,6842.0,7789,334.0,Asian Alone,2014
298,"Computer, engineering, and science occupations:_Male",1029.0,5261,7474.0,11755,981.0,Asian Alone,2014
299,Computer and mathematical occupations_Male,439.0,3745,5013.0,7577,761.0,Asian Alone,2014
300,Architecture and engineering occupations_Male,151.0,1187,1048.0,3387,220.0,Asian Alone,2014
301,"Life, physical, and social science occupations_Male",439.0,329,1413.0,791,0.0,Asian Alone,2014
302,"Education, legal, community service, arts, and media occupations:_Male",671.0,4790,5957.0,8091,789.0,Asian Alone,2014
303,Community and social service occupations_Male,90.0,454,137.0,1068,145.0,Asian Alone,2014
304,Legal occupations_Male,0.0,345,1657.0,1485,333.0,Asian Alone,2014
