"Occupations","Gender","Boroughs","year","Salary","year_range","Salary_avg"
"Business and financial operations occupations","Female","Bronx County","year2016",52176,"year2014_2016",52470.3333333333
"Business and financial operations occupations","Female","Bronx County","year2017",54891,"year2017_2019",57913.3333333333
"Business and financial operations occupations","Female","Bronx County","year2018",56932,"year2017_2019",57913.3333333333
"Business and financial operations occupations","Female","Bronx County","year2019",61917,"year2017_2019",57913.3333333333
"Business and financial operations occupations","Female","Kings County","year2010",59101,"year2010_2013",57123.25
"Business and financial operations occupations","Female","Kings County","year2011",51479,"year2010_2013",57123.25
"Business and financial operations occupations","Female","Kings County","year2012",56474,"year2010_2013",57123.25
"Business and financial operations occupations","Female","Kings County","year2013",61439,"year2010_2013",57123.25
"Business and financial operations occupations","Female","Kings County","year2014",56938,"year2014_2016",57737.6666666667
"Business and financial operations occupations","Female","Kings County","year2015",60935,"year2014_2016",57737.6666666667
"Business and financial operations occupations","Female","Kings County","year2016",55340,"year2014_2016",57737.6666666667
"Business and financial operations occupations","Female","Kings County","year2017",62881,"year2017_2019",69959
"Business and financial operations occupations","Female","Kings County","year2018",70648,"year2017_2019",69959
"Business and financial operations occupations","Female","Kings County","year2019",76348,"year2017_2019",69959
"Business and financial operations occupations","Female","New York County","year2010",66629,"year2010_2013",72976
"Business and financial operations occupations","Female","New York County","year2011",75495,"year2010_2013",72976
"Business and financial operations occupations","Female","New York County","year2012",72472,"year2010_2013",72976
"Business and financial operations occupations","Female","New York County","year2013",77308,"year2010_2013",72976
"Business and financial operations occupations","Female","New York County","year2014",76469,"year2014_2016",78010.6666666667
"Business and financial operations occupations","Female","New York County","year2015",77239,"year2014_2016",78010.6666666667
"Business and financial operations occupations","Female","New York County","year2016",80324,"year2014_2016",78010.6666666667
"Business and financial operations occupations","Female","New York County","year2017",91975,"year2017_2019",90232
"Business and financial operations occupations","Female","New York County","year2018",81568,"year2017_2019",90232
"Business and financial operations occupations","Female","New York County","year2019",97153,"year2017_2019",90232
"Business and financial operations occupations","Female","Queens County","year2010",56425,"year2010_2013",57352.25
"Business and financial operations occupations","Female","Queens County","year2011",57340,"year2010_2013",57352.25
"Business and financial operations occupations","Female","Queens County","year2012",59389,"year2010_2013",57352.25
"Business and financial operations occupations","Female","Queens County","year2013",56255,"year2010_2013",57352.25
"Business and financial operations occupations","Female","Queens County","year2014",61439,"year2014_2016",59558
"Business and financial operations occupations","Female","Queens County","year2015",55630,"year2014_2016",59558
"Business and financial operations occupations","Female","Queens County","year2016",61605,"year2014_2016",59558
"Business and financial operations occupations","Female","Queens County","year2017",60822,"year2017_2019",65617.3333333333
"Business and financial operations occupations","Female","Queens County","year2018",64881,"year2017_2019",65617.3333333333
"Business and financial operations occupations","Female","Queens County","year2019",71149,"year2017_2019",65617.3333333333
"Business and financial operations occupations","Female","Richmond County","year2010",70219,"year2010_2013",64786
"Business and financial operations occupations","Female","Richmond County","year2011",62815,"year2010_2013",64786
"Business and financial operations occupations","Female","Richmond County","year2012",60777,"year2010_2013",64786
"Business and financial operations occupations","Female","Richmond County","year2013",65333,"year2010_2013",64786
"Business and financial operations occupations","Female","Richmond County","year2014",60120,"year2014_2016",61714.3333333333
"Business and financial operations occupations","Female","Richmond County","year2015",65765,"year2014_2016",61714.3333333333
"Business and financial operations occupations","Female","Richmond County","year2016",59258,"year2014_2016",61714.3333333333
"Business and financial operations occupations","Female","Richmond County","year2017",55300,"year2017_2019",58264
"Business and financial operations occupations","Female","Richmond County","year2018",59224,"year2017_2019",58264
"Business and financial operations occupations","Female","Richmond County","year2019",60268,"year2017_2019",58264
"Computer and mathematical occupations","Female","Bronx County","year2010",60507,"year2010_2013",63386.5
"Computer and mathematical occupations","Female","Bronx County","year2011",64071,"year2010_2013",63386.5
"Computer and mathematical occupations","Female","Bronx County","year2012",55952,"year2010_2013",63386.5
"Computer and mathematical occupations","Female","Bronx County","year2013",73016,"year2010_2013",63386.5
"Computer and mathematical occupations","Female","Bronx County","year2014",71258,"year2014_2016",59469.3333333333
"Computer and mathematical occupations","Female","Bronx County","year2015",45224,"year2014_2016",59469.3333333333
"Computer and mathematical occupations","Female","Bronx County","year2016",61926,"year2014_2016",59469.3333333333
"Computer and mathematical occupations","Female","Bronx County","year2017",58610,"year2017_2019",65302
"Computer and mathematical occupations","Female","Bronx County","year2018",75732,"year2017_2019",65302
"Computer and mathematical occupations","Female","Bronx County","year2019",61564,"year2017_2019",65302
"Computer and mathematical occupations","Female","Kings County","year2010",71367,"year2010_2013",70906
"Computer and mathematical occupations","Female","Kings County","year2011",72108,"year2010_2013",70906
"Computer and mathematical occupations","Female","Kings County","year2012",65537,"year2010_2013",70906
"Computer and mathematical occupations","Female","Kings County","year2013",74612,"year2010_2013",70906
"Computer and mathematical occupations","Female","Kings County","year2014",66214,"year2014_2016",69614.3333333333
"Computer and mathematical occupations","Female","Kings County","year2015",70758,"year2014_2016",69614.3333333333
"Computer and mathematical occupations","Female","Kings County","year2016",71871,"year2014_2016",69614.3333333333
"Computer and mathematical occupations","Female","Kings County","year2017",74384,"year2017_2019",79287.3333333333
"Computer and mathematical occupations","Female","Kings County","year2018",82369,"year2017_2019",79287.3333333333
"Computer and mathematical occupations","Female","Kings County","year2019",81109,"year2017_2019",79287.3333333333
"Computer and mathematical occupations","Female","New York County","year2010",65183,"year2010_2013",74289.25
"Computer and mathematical occupations","Female","New York County","year2011",75969,"year2010_2013",74289.25
"Computer and mathematical occupations","Female","New York County","year2012",74631,"year2010_2013",74289.25
"Computer and mathematical occupations","Female","New York County","year2013",81374,"year2010_2013",74289.25
"Computer and mathematical occupations","Female","New York County","year2014",73027,"year2014_2016",77129.6666666667
"Computer and mathematical occupations","Female","New York County","year2015",81317,"year2014_2016",77129.6666666667
"Computer and mathematical occupations","Female","New York County","year2016",77045,"year2014_2016",77129.6666666667
"Computer and mathematical occupations","Female","New York County","year2017",70696,"year2017_2019",79246.6666666667
"Computer and mathematical occupations","Female","New York County","year2018",82790,"year2017_2019",79246.6666666667
"Computer and mathematical occupations","Female","New York County","year2019",84254,"year2017_2019",79246.6666666667
"Computer and mathematical occupations","Female","Queens County","year2010",71091,"year2010_2013",65594.75
"Computer and mathematical occupations","Female","Queens County","year2011",56492,"year2010_2013",65594.75
"Computer and mathematical occupations","Female","Queens County","year2012",63663,"year2010_2013",65594.75
"Computer and mathematical occupations","Female","Queens County","year2013",71133,"year2010_2013",65594.75
"Computer and mathematical occupations","Female","Queens County","year2014",68420,"year2014_2016",69510.3333333333
"Computer and mathematical occupations","Female","Queens County","year2015",69200,"year2014_2016",69510.3333333333
"Computer and mathematical occupations","Female","Queens County","year2016",70911,"year2014_2016",69510.3333333333
"Computer and mathematical occupations","Female","Queens County","year2017",67188,"year2017_2019",72072.3333333333
"Computer and mathematical occupations","Female","Queens County","year2018",75327,"year2017_2019",72072.3333333333
"Computer and mathematical occupations","Female","Queens County","year2019",73702,"year2017_2019",72072.3333333333
"Computer and mathematical occupations","Female","Richmond County","year2010",60992,"year2010_2013",74078
"Computer and mathematical occupations","Female","Richmond County","year2011",70775,"year2010_2013",74078
"Computer and mathematical occupations","Female","Richmond County","year2012",71383,"year2010_2013",74078
"Computer and mathematical occupations","Female","Richmond County","year2013",93162,"year2010_2013",74078
"Computer and mathematical occupations","Female","Richmond County","year2014",86284,"year2014_2016",81527
"Computer and mathematical occupations","Female","Richmond County","year2015",80476,"year2014_2016",81527
"Computer and mathematical occupations","Female","Richmond County","year2016",77821,"year2014_2016",81527
"Computer and mathematical occupations","Female","Richmond County","year2017",101120,"year2017_2019",80633
"Computer and mathematical occupations","Female","Richmond County","year2018",61473,"year2017_2019",80633
"Computer and mathematical occupations","Female","Richmond County","year2019",79306,"year2017_2019",80633
"Architecture and engineering occupations","Female","Bronx County","year2010",35373,"year2010_2013",38369.5
"Architecture and engineering occupations","Female","Bronx County","year2011",7990,"year2010_2013",38369.5
"Architecture and engineering occupations","Female","Bronx County","year2012",65225,"year2010_2013",38369.5
"Architecture and engineering occupations","Female","Bronx County","year2013",44890,"year2010_2013",38369.5
"Architecture and engineering occupations","Female","Bronx County","year2014",76688,"year2014_2016",52389.6666666667
"Architecture and engineering occupations","Female","Bronx County","year2015",48274,"year2014_2016",52389.6666666667
"Architecture and engineering occupations","Female","Bronx County","year2016",32207,"year2014_2016",52389.6666666667
"Architecture and engineering occupations","Female","Bronx County","year2017",52604,"year2017_2019",66571.6666666667
"Architecture and engineering occupations","Female","Bronx County","year2018",75982,"year2017_2019",66571.6666666667
"Architecture and engineering occupations","Female","Bronx County","year2019",71129,"year2017_2019",66571.6666666667
"Architecture and engineering occupations","Female","Kings County","year2010",50718,"year2010_2013",57816.75
"Architecture and engineering occupations","Female","Kings County","year2011",63008,"year2010_2013",57816.75
"Architecture and engineering occupations","Female","Kings County","year2012",56925,"year2010_2013",57816.75
"Architecture and engineering occupations","Female","Kings County","year2013",60616,"year2010_2013",57816.75
"Architecture and engineering occupations","Female","Kings County","year2014",56973,"year2014_2016",63276.6666666667
"Architecture and engineering occupations","Female","Kings County","year2015",66683,"year2014_2016",63276.6666666667
"Architecture and engineering occupations","Female","Kings County","year2016",66174,"year2014_2016",63276.6666666667
"Architecture and engineering occupations","Female","Kings County","year2017",61844,"year2017_2019",75624.6666666667
"Architecture and engineering occupations","Female","Kings County","year2018",86036,"year2017_2019",75624.6666666667
"Architecture and engineering occupations","Female","Kings County","year2019",78994,"year2017_2019",75624.6666666667
"Architecture and engineering occupations","Female","New York County","year2010",68612,"year2010_2013",66857.5
"Architecture and engineering occupations","Female","New York County","year2011",76303,"year2010_2013",66857.5
"Architecture and engineering occupations","Female","New York County","year2012",52279,"year2010_2013",66857.5
"Architecture and engineering occupations","Female","New York County","year2013",70236,"year2010_2013",66857.5
"Architecture and engineering occupations","Female","New York County","year2014",101156,"year2014_2016",83012.6666666667
"Architecture and engineering occupations","Female","New York County","year2015",82150,"year2014_2016",83012.6666666667
"Architecture and engineering occupations","Female","New York County","year2016",65732,"year2014_2016",83012.6666666667
"Architecture and engineering occupations","Female","New York County","year2017",69588,"year2017_2019",66463
"Architecture and engineering occupations","Female","New York County","year2018",56126,"year2017_2019",66463
"Architecture and engineering occupations","Female","New York County","year2019",73675,"year2017_2019",66463
"Architecture and engineering occupations","Female","Queens County","year2010",46190,"year2010_2013",52227.25
"Architecture and engineering occupations","Female","Queens County","year2011",49212,"year2010_2013",52227.25
"Architecture and engineering occupations","Female","Queens County","year2012",67050,"year2010_2013",52227.25
"Architecture and engineering occupations","Female","Queens County","year2013",46457,"year2010_2013",52227.25
"Architecture and engineering occupations","Female","Queens County","year2014",65374,"year2014_2016",64014
"Architecture and engineering occupations","Female","Queens County","year2015",57075,"year2014_2016",64014
"Architecture and engineering occupations","Female","Queens County","year2016",69593,"year2014_2016",64014
"Architecture and engineering occupations","Female","Queens County","year2017",65238,"year2017_2019",70684
"Architecture and engineering occupations","Female","Queens County","year2018",76495,"year2017_2019",70684
"Architecture and engineering occupations","Female","Queens County","year2019",70319,"year2017_2019",70684
"Architecture and engineering occupations","Female","Richmond County","year2010",56889,"year2010_2013",NA
"Architecture and engineering occupations","Female","Richmond County","year2011",40869,"year2010_2013",NA
"Architecture and engineering occupations","Female","Richmond County","year2012",42289,"year2010_2013",NA
"Architecture and engineering occupations","Female","Richmond County","year2013",NA,"year2010_2013",NA
"Architecture and engineering occupations","Female","Richmond County","year2014",67867,"year2014_2016",NA
"Architecture and engineering occupations","Female","Richmond County","year2015",NA,"year2014_2016",NA
"Architecture and engineering occupations","Female","Richmond County","year2016",90081,"year2014_2016",NA
"Architecture and engineering occupations","Female","Richmond County","year2017",NA,"year2017_2019",NA
"Architecture and engineering occupations","Female","Richmond County","year2018",94345,"year2017_2019",NA
"Architecture and engineering occupations","Female","Richmond County","year2019",67010,"year2017_2019",NA
"Life, physical, and social science occupations","Female","Bronx County","year2010",62160,"year2010_2013",58396.5
"Life, physical, and social science occupations","Female","Bronx County","year2011",52132,"year2010_2013",58396.5
"Life, physical, and social science occupations","Female","Bronx County","year2012",62484,"year2010_2013",58396.5
"Life, physical, and social science occupations","Female","Bronx County","year2013",56810,"year2010_2013",58396.5
"Life, physical, and social science occupations","Female","Bronx County","year2014",42198,"year2014_2016",41958.3333333333
"Life, physical, and social science occupations","Female","Bronx County","year2015",51408,"year2014_2016",41958.3333333333
"Life, physical, and social science occupations","Female","Bronx County","year2016",32269,"year2014_2016",41958.3333333333
"Life, physical, and social science occupations","Female","Bronx County","year2017",41853,"year2017_2019",57081
"Life, physical, and social science occupations","Female","Bronx County","year2018",44227,"year2017_2019",57081
"Life, physical, and social science occupations","Female","Bronx County","year2019",85163,"year2017_2019",57081
"Life, physical, and social science occupations","Female","Kings County","year2010",56235,"year2010_2013",51356.25
"Life, physical, and social science occupations","Female","Kings County","year2011",52500,"year2010_2013",51356.25
"Life, physical, and social science occupations","Female","Kings County","year2012",49790,"year2010_2013",51356.25
"Life, physical, and social science occupations","Female","Kings County","year2013",46900,"year2010_2013",51356.25
"Life, physical, and social science occupations","Female","Kings County","year2014",40413,"year2014_2016",46220.3333333333
"Life, physical, and social science occupations","Female","Kings County","year2015",51839,"year2014_2016",46220.3333333333
"Life, physical, and social science occupations","Female","Kings County","year2016",46409,"year2014_2016",46220.3333333333
"Life, physical, and social science occupations","Female","Kings County","year2017",67793,"year2017_2019",64217
"Life, physical, and social science occupations","Female","Kings County","year2018",60057,"year2017_2019",64217
"Life, physical, and social science occupations","Female","Kings County","year2019",64801,"year2017_2019",64217
"Life, physical, and social science occupations","Female","New York County","year2010",46387,"year2010_2013",51736.75
"Life, physical, and social science occupations","Female","New York County","year2011",43674,"year2010_2013",51736.75
"Life, physical, and social science occupations","Female","New York County","year2012",55858,"year2010_2013",51736.75
"Life, physical, and social science occupations","Female","New York County","year2013",61028,"year2010_2013",51736.75
"Life, physical, and social science occupations","Female","New York County","year2014",56663,"year2014_2016",55580
"Life, physical, and social science occupations","Female","New York County","year2015",49569,"year2014_2016",55580
"Life, physical, and social science occupations","Female","New York County","year2016",60508,"year2014_2016",55580
"Life, physical, and social science occupations","Female","New York County","year2017",65967,"year2017_2019",71834.3333333333
"Life, physical, and social science occupations","Female","New York County","year2018",71631,"year2017_2019",71834.3333333333
"Life, physical, and social science occupations","Female","New York County","year2019",77905,"year2017_2019",71834.3333333333
"Life, physical, and social science occupations","Female","Queens County","year2010",51214,"year2010_2013",53783.75
"Life, physical, and social science occupations","Female","Queens County","year2011",63581,"year2010_2013",53783.75
"Life, physical, and social science occupations","Female","Queens County","year2012",55520,"year2010_2013",53783.75
"Life, physical, and social science occupations","Female","Queens County","year2013",44820,"year2010_2013",53783.75
"Life, physical, and social science occupations","Female","Queens County","year2014",59968,"year2014_2016",52436.6666666667
"Life, physical, and social science occupations","Female","Queens County","year2015",45045,"year2014_2016",52436.6666666667
"Life, physical, and social science occupations","Female","Queens County","year2016",52297,"year2014_2016",52436.6666666667
"Life, physical, and social science occupations","Female","Queens County","year2017",50128,"year2017_2019",61054.3333333333
"Life, physical, and social science occupations","Female","Queens County","year2018",71219,"year2017_2019",61054.3333333333
"Life, physical, and social science occupations","Female","Queens County","year2019",61816,"year2017_2019",61054.3333333333
"Life, physical, and social science occupations","Female","Richmond County","year2010",82988,"year2010_2013",69362.5
"Life, physical, and social science occupations","Female","Richmond County","year2011",70635,"year2010_2013",69362.5
"Life, physical, and social science occupations","Female","Richmond County","year2012",47119,"year2010_2013",69362.5
"Life, physical, and social science occupations","Female","Richmond County","year2013",76708,"year2010_2013",69362.5
"Life, physical, and social science occupations","Female","Richmond County","year2014",52167,"year2014_2016",60083.3333333333
"Life, physical, and social science occupations","Female","Richmond County","year2015",71389,"year2014_2016",60083.3333333333
"Life, physical, and social science occupations","Female","Richmond County","year2016",56694,"year2014_2016",60083.3333333333
"Life, physical, and social science occupations","Female","Richmond County","year2017",67472,"year2017_2019",68989.6666666667
"Life, physical, and social science occupations","Female","Richmond County","year2018",68099,"year2017_2019",68989.6666666667
"Life, physical, and social science occupations","Female","Richmond County","year2019",71398,"year2017_2019",68989.6666666667
"Community and social service occupations","Female","Bronx County","year2010",38509,"year2010_2013",39516.5
"Community and social service occupations","Female","Bronx County","year2011",37496,"year2010_2013",39516.5
"Community and social service occupations","Female","Bronx County","year2012",38592,"year2010_2013",39516.5
"Community and social service occupations","Female","Bronx County","year2013",43469,"year2010_2013",39516.5
"Community and social service occupations","Female","Bronx County","year2014",41386,"year2014_2016",41480.3333333333
"Community and social service occupations","Female","Bronx County","year2015",40464,"year2014_2016",41480.3333333333
"Community and social service occupations","Female","Bronx County","year2016",42591,"year2014_2016",41480.3333333333
"Community and social service occupations","Female","Bronx County","year2017",41509,"year2017_2019",45603
"Community and social service occupations","Female","Bronx County","year2018",43548,"year2017_2019",45603
"Community and social service occupations","Female","Bronx County","year2019",51752,"year2017_2019",45603
"Community and social service occupations","Female","Kings County","year2010",41324,"year2010_2013",42825.5
"Community and social service occupations","Female","Kings County","year2011",41532,"year2010_2013",42825.5
"Community and social service occupations","Female","Kings County","year2012",42823,"year2010_2013",42825.5
"Community and social service occupations","Female","Kings County","year2013",45623,"year2010_2013",42825.5
"Community and social service occupations","Female","Kings County","year2014",41371,"year2014_2016",42369.6666666667
"Community and social service occupations","Female","Kings County","year2015",40936,"year2014_2016",42369.6666666667
"Community and social service occupations","Female","Kings County","year2016",44802,"year2014_2016",42369.6666666667
"Community and social service occupations","Female","Kings County","year2017",46633,"year2017_2019",50489.3333333333
"Community and social service occupations","Female","Kings County","year2018",54773,"year2017_2019",50489.3333333333
"Community and social service occupations","Female","Kings County","year2019",50062,"year2017_2019",50489.3333333333
"Community and social service occupations","Female","New York County","year2010",42123,"year2010_2013",43366.5
"Community and social service occupations","Female","New York County","year2011",42799,"year2010_2013",43366.5
"Community and social service occupations","Female","New York County","year2012",44871,"year2010_2013",43366.5
"Community and social service occupations","Female","New York County","year2013",43673,"year2010_2013",43366.5
"Community and social service occupations","Female","New York County","year2014",44757,"year2014_2016",45087
"Community and social service occupations","Female","New York County","year2015",51036,"year2014_2016",45087
"Community and social service occupations","Female","New York County","year2016",39468,"year2014_2016",45087
"Community and social service occupations","Female","New York County","year2017",50875,"year2017_2019",53861.6666666667
"Community and social service occupations","Female","New York County","year2018",50744,"year2017_2019",53861.6666666667
"Community and social service occupations","Female","New York County","year2019",59966,"year2017_2019",53861.6666666667
"Community and social service occupations","Female","Queens County","year2010",42700,"year2010_2013",41803.75
"Community and social service occupations","Female","Queens County","year2011",40821,"year2010_2013",41803.75
"Community and social service occupations","Female","Queens County","year2012",42489,"year2010_2013",41803.75
"Community and social service occupations","Female","Queens County","year2013",41205,"year2010_2013",41803.75
"Community and social service occupations","Female","Queens County","year2014",41555,"year2014_2016",43958
"Community and social service occupations","Female","Queens County","year2015",43775,"year2014_2016",43958
"Community and social service occupations","Female","Queens County","year2016",46544,"year2014_2016",43958
"Community and social service occupations","Female","Queens County","year2017",44694,"year2017_2019",48286
"Community and social service occupations","Female","Queens County","year2018",51193,"year2017_2019",48286
"Community and social service occupations","Female","Queens County","year2019",48971,"year2017_2019",48286
"Community and social service occupations","Female","Richmond County","year2010",46311,"year2010_2013",46842.5
"Community and social service occupations","Female","Richmond County","year2011",50597,"year2010_2013",46842.5
"Community and social service occupations","Female","Richmond County","year2012",41759,"year2010_2013",46842.5
"Community and social service occupations","Female","Richmond County","year2013",48703,"year2010_2013",46842.5
"Community and social service occupations","Female","Richmond County","year2014",47214,"year2014_2016",42099.3333333333
"Community and social service occupations","Female","Richmond County","year2015",36832,"year2014_2016",42099.3333333333
"Community and social service occupations","Female","Richmond County","year2016",42252,"year2014_2016",42099.3333333333
"Community and social service occupations","Female","Richmond County","year2017",47423,"year2017_2019",51085
"Community and social service occupations","Female","Richmond County","year2018",55379,"year2017_2019",51085
"Community and social service occupations","Female","Richmond County","year2019",50453,"year2017_2019",51085
"Legal occupations","Female","Bronx County","year2010",54693,"year2010_2013",54077.5
"Legal occupations","Female","Bronx County","year2011",42318,"year2010_2013",54077.5
"Legal occupations","Female","Bronx County","year2012",70121,"year2010_2013",54077.5
"Legal occupations","Female","Bronx County","year2013",49178,"year2010_2013",54077.5
"Legal occupations","Female","Bronx County","year2014",50856,"year2014_2016",51328.3333333333
"Legal occupations","Female","Bronx County","year2015",51469,"year2014_2016",51328.3333333333
"Legal occupations","Female","Bronx County","year2016",51660,"year2014_2016",51328.3333333333
"Legal occupations","Female","Bronx County","year2017",55435,"year2017_2019",56847.6666666667
"Legal occupations","Female","Bronx County","year2018",61208,"year2017_2019",56847.6666666667
"Legal occupations","Female","Bronx County","year2019",53900,"year2017_2019",56847.6666666667
"Legal occupations","Female","Kings County","year2010",64545,"year2010_2013",66805.5
"Legal occupations","Female","Kings County","year2011",67106,"year2010_2013",66805.5
"Legal occupations","Female","Kings County","year2012",66287,"year2010_2013",66805.5
"Legal occupations","Female","Kings County","year2013",69284,"year2010_2013",66805.5
"Legal occupations","Female","Kings County","year2014",71054,"year2014_2016",75728.3333333333
"Legal occupations","Female","Kings County","year2015",76365,"year2014_2016",75728.3333333333
"Legal occupations","Female","Kings County","year2016",79766,"year2014_2016",75728.3333333333
"Legal occupations","Female","Kings County","year2017",80305,"year2017_2019",88533.6666666667
"Legal occupations","Female","Kings County","year2018",85196,"year2017_2019",88533.6666666667
"Legal occupations","Female","Kings County","year2019",100100,"year2017_2019",88533.6666666667
"Legal occupations","Female","New York County","year2010",130675,"year2010_2013",120564
"Legal occupations","Female","New York County","year2011",114509,"year2010_2013",120564
"Legal occupations","Female","New York County","year2012",116070,"year2010_2013",120564
"Legal occupations","Female","New York County","year2013",121002,"year2010_2013",120564
"Legal occupations","Female","New York County","year2014",112230,"year2014_2016",126369
"Legal occupations","Female","New York County","year2015",126114,"year2014_2016",126369
"Legal occupations","Female","New York County","year2016",140763,"year2014_2016",126369
"Legal occupations","Female","New York County","year2017",130850,"year2017_2019",146751.333333333
"Legal occupations","Female","New York County","year2018",142464,"year2017_2019",146751.333333333
"Legal occupations","Female","New York County","year2019",166940,"year2017_2019",146751.333333333
"Legal occupations","Female","Queens County","year2010",50355,"year2010_2013",59664.75
"Legal occupations","Female","Queens County","year2011",55264,"year2010_2013",59664.75
"Legal occupations","Female","Queens County","year2012",62258,"year2010_2013",59664.75
"Legal occupations","Female","Queens County","year2013",70782,"year2010_2013",59664.75
"Legal occupations","Female","Queens County","year2014",60884,"year2014_2016",62999.3333333333
"Legal occupations","Female","Queens County","year2015",67162,"year2014_2016",62999.3333333333
"Legal occupations","Female","Queens County","year2016",60952,"year2014_2016",62999.3333333333
"Legal occupations","Female","Queens County","year2017",61989,"year2017_2019",71133.6666666667
"Legal occupations","Female","Queens County","year2018",71094,"year2017_2019",71133.6666666667
"Legal occupations","Female","Queens County","year2019",80318,"year2017_2019",71133.6666666667
"Legal occupations","Female","Richmond County","year2010",51122,"year2010_2013",58782.75
"Legal occupations","Female","Richmond County","year2011",68274,"year2010_2013",58782.75
"Legal occupations","Female","Richmond County","year2012",48737,"year2010_2013",58782.75
"Legal occupations","Female","Richmond County","year2013",66998,"year2010_2013",58782.75
"Legal occupations","Female","Richmond County","year2014",65074,"year2014_2016",82335.6666666667
"Legal occupations","Female","Richmond County","year2015",90469,"year2014_2016",82335.6666666667
"Legal occupations","Female","Richmond County","year2016",91464,"year2014_2016",82335.6666666667
"Legal occupations","Female","Richmond County","year2017",83174,"year2017_2019",81206.6666666667
"Legal occupations","Female","Richmond County","year2018",92457,"year2017_2019",81206.6666666667
"Legal occupations","Female","Richmond County","year2019",67989,"year2017_2019",81206.6666666667
"Education, training, and library occupations","Female","Bronx County","year2010",40006,"year2010_2013",36844.25
"Education, training, and library occupations","Female","Bronx County","year2011",37265,"year2010_2013",36844.25
"Education, training, and library occupations","Female","Bronx County","year2012",34361,"year2010_2013",36844.25
"Education, training, and library occupations","Female","Bronx County","year2013",35745,"year2010_2013",36844.25
"Education, training, and library occupations","Female","Bronx County","year2014",35858,"year2014_2016",33338
"Education, training, and library occupations","Female","Bronx County","year2015",31867,"year2014_2016",33338
"Education, training, and library occupations","Female","Bronx County","year2016",32289,"year2014_2016",33338
"Education, training, and library occupations","Female","Bronx County","year2017",39749,"year2017_2019",38707
"Education, training, and library occupations","Female","Bronx County","year2018",38687,"year2017_2019",38707
"Education, training, and library occupations","Female","Bronx County","year2019",37685,"year2017_2019",38707
"Education, training, and library occupations","Female","Kings County","year2010",36217,"year2010_2013",35413.5
"Education, training, and library occupations","Female","Kings County","year2011",36236,"year2010_2013",35413.5
"Education, training, and library occupations","Female","Kings County","year2012",36910,"year2010_2013",35413.5
"Education, training, and library occupations","Female","Kings County","year2013",32291,"year2010_2013",35413.5
"Education, training, and library occupations","Female","Kings County","year2014",35589,"year2014_2016",37865.3333333333
"Education, training, and library occupations","Female","Kings County","year2015",36934,"year2014_2016",37865.3333333333
"Education, training, and library occupations","Female","Kings County","year2016",41073,"year2014_2016",37865.3333333333
"Education, training, and library occupations","Female","Kings County","year2017",40490,"year2017_2019",42289.3333333333
"Education, training, and library occupations","Female","Kings County","year2018",43625,"year2017_2019",42289.3333333333
"Education, training, and library occupations","Female","Kings County","year2019",42753,"year2017_2019",42289.3333333333
"Education, training, and library occupations","Female","New York County","year2010",42362,"year2010_2013",43988.5
"Education, training, and library occupations","Female","New York County","year2011",44464,"year2010_2013",43988.5
"Education, training, and library occupations","Female","New York County","year2012",50086,"year2010_2013",43988.5
"Education, training, and library occupations","Female","New York County","year2013",39042,"year2010_2013",43988.5
"Education, training, and library occupations","Female","New York County","year2014",50418,"year2014_2016",51524.3333333333
"Education, training, and library occupations","Female","New York County","year2015",52707,"year2014_2016",51524.3333333333
"Education, training, and library occupations","Female","New York County","year2016",51448,"year2014_2016",51524.3333333333
"Education, training, and library occupations","Female","New York County","year2017",42958,"year2017_2019",49200.6666666667
"Education, training, and library occupations","Female","New York County","year2018",52305,"year2017_2019",49200.6666666667
"Education, training, and library occupations","Female","New York County","year2019",52339,"year2017_2019",49200.6666666667
"Education, training, and library occupations","Female","Queens County","year2010",41654,"year2010_2013",40362.75
"Education, training, and library occupations","Female","Queens County","year2011",42183,"year2010_2013",40362.75
"Education, training, and library occupations","Female","Queens County","year2012",36455,"year2010_2013",40362.75
"Education, training, and library occupations","Female","Queens County","year2013",41159,"year2010_2013",40362.75
"Education, training, and library occupations","Female","Queens County","year2014",39393,"year2014_2016",39933
"Education, training, and library occupations","Female","Queens County","year2015",40146,"year2014_2016",39933
"Education, training, and library occupations","Female","Queens County","year2016",40260,"year2014_2016",39933
"Education, training, and library occupations","Female","Queens County","year2017",46452,"year2017_2019",46451
"Education, training, and library occupations","Female","Queens County","year2018",50456,"year2017_2019",46451
"Education, training, and library occupations","Female","Queens County","year2019",42445,"year2017_2019",46451
"Education, training, and library occupations","Female","Richmond County","year2010",50900,"year2010_2013",42558
"Education, training, and library occupations","Female","Richmond County","year2011",34851,"year2010_2013",42558
"Education, training, and library occupations","Female","Richmond County","year2012",42556,"year2010_2013",42558
"Education, training, and library occupations","Female","Richmond County","year2013",41925,"year2010_2013",42558
"Education, training, and library occupations","Female","Richmond County","year2014",37314,"year2014_2016",45338.3333333333
"Education, training, and library occupations","Female","Richmond County","year2015",47648,"year2014_2016",45338.3333333333
"Education, training, and library occupations","Female","Richmond County","year2016",51053,"year2014_2016",45338.3333333333
"Education, training, and library occupations","Female","Richmond County","year2017",52887,"year2017_2019",51853.6666666667
"Education, training, and library occupations","Female","Richmond County","year2018",48485,"year2017_2019",51853.6666666667
"Education, training, and library occupations","Female","Richmond County","year2019",54189,"year2017_2019",51853.6666666667
"Arts, design, entertainment, sports, and media occupations","Female","Bronx County","year2010",52075,"year2010_2013",37225.5
