,Label,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",year,race,Gender
34,Production occupations,403,4353,558,6827,222.0,2010,Asian Alone,Male
35,Transportation occupations,1185,6338,1307,16827,520.0,2010,Asian Alone,Male
36,Material moving occupations,286,1480,353,1745,160.0,2010,Asian Alone,Male
37,Female:,9877,55026,53658,112797,7708.0,2010,Asian Alone,Total Female
38,"Management, business, science, and arts occupations:",4631,16622,32276,39172,3144.0,2010,Asian Alone,Female
39,"Management, business, and financial occupations:",1363,4783,14014,14141,1081.0,2010,Asian Alone,Female
40,Management occupations,618,2023,6885,6367,565.0,2010,Asian Alone,Female
41,Business and financial operations occupations,745,2760,7129,7774,516.0,2010,Asian Alone,Female
42,"Computer, engineering, and science occupations:",230,1331,3452,3429,74.0,2010,Asian Alone,Female
43,Computer and mathematical occupations,0,566,1100,1101,47.0,2010,Asian Alone,Female
44,Architecture and engineering occupations,51,468,620,485,0.0,2010,Asian Alone,Female
45,"Life, physical, and social science occupations",179,297,1732,1843,27.0,2010,Asian Alone,Female
46,"Education, legal, community service, arts, and media occupations:",1235,6481,9740,11153,373.0,2010,Asian Alone,Female
47,Community and social service occupations,0,936,672,894,152.0,2010,Asian Alone,Female
48,Legal occupations,112,647,1746,1444,0.0,2010,Asian Alone,Female
49,"Education, training, and library occupations",782,2109,2929,4916,189.0,2010,Asian Alone,Female
50,"Arts, design, entertainment, sports, and media occupations",341,2789,4393,3899,32.0,2010,Asian Alone,Female
51,Healthcare practitioners and technical occupations:,1803,4027,5070,10449,1616.0,2010,Asian Alone,Female
52,Health diagnosing and treating practitioners and other technical occupations,1512,3209,4636,7683,1531.0,2010,Asian Alone,Female
53,Health technologists and technicians,291,818,434,2766,85.0,2010,Asian Alone,Female
54,Service occupations:,2207,15856,7680,31815,2039.0,2010,Asian Alone,Female
55,Healthcare support occupations,334,4681,2029,6449,406.0,2010,Asian Alone,Female
56,Protective service occupations:,75,0,109,858,33.0,2010,Asian Alone,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",0,0,109,794,33.0,2010,Asian Alone,Female
58,Law enforcement workers including supervisors,75,0,0,64,0.0,2010,Asian Alone,Female
59,Food preparation and serving related occupations,173,4249,1676,5781,396.0,2010,Asian Alone,Female
60,Building and grounds cleaning and maintenance occupations,835,2371,1210,3074,150.0,2010,Asian Alone,Female
61,Personal care and service occupations,790,4555,2656,15653,1054.0,2010,Asian Alone,Female
62,Sales and office occupations:,2652,16489,11113,35951,2311.0,2010,Asian Alone,Female
63,Sales and related occupations,1206,6498,4934,14449,1100.0,2010,Asian Alone,Female
64,Office and administrative support occupations,1446,9991,6179,21502,1211.0,2010,Asian Alone,Female
65,"Natural resources, construction, and maintenance occupations:",0,555,0,445,0.0,2010,Asian Alone,Female
66,"Farming, fishing, and forestry occupations",0,298,0,0,0.0,2010,Asian Alone,Female
67,Construction and extraction occupations,0,218,0,336,0.0,2010,Asian Alone,Female
68,"Installation, maintenance, and repair occupations",0,39,0,109,0.0,2010,Asian Alone,Female
69,"Production, transportation, and material moving occupations:",387,5504,2589,5414,214.0,2010,Asian Alone,Female
70,Production occupations,387,4391,1794,4145,214.0,2010,Asian Alone,Female
71,Transportation occupations,0,95,112,493,0.0,2010,Asian Alone,Female
72,Material moving occupations,0,1018,683,776,0.0,2010,Asian Alone,Female
0,Total:,19823,125204,97458,250735,18001.0,2011,Asian Alone,Total
1,Male:,11265,66752,47292,139027,10116.0,2011,Asian Alone,Total Male
2,"Management, business, science, and arts occupations:",3056,16346,27578,42293,3894.0,2011,Asian Alone,Male
3,"Management, business, and financial occupations:",544,6029,13478,17059,1615.0,2011,Asian Alone,Male
4,Management occupations,280,3095,6393,10106,909.0,2011,Asian Alone,Male
5,Business and financial operations occupations,264,2934,7085,6953,706.0,2011,Asian Alone,Male
6,"Computer, engineering, and science occupations:",941,4817,3892,11872,627.0,2011,Asian Alone,Male
7,Computer and mathematical occupations,556,2867,2313,8325,323.0,2011,Asian Alone,Male
8,Architecture and engineering occupations,83,1609,685,2760,199.0,2011,Asian Alone,Male
9,"Life, physical, and social science occupations",302,341,894,787,105.0,2011,Asian Alone,Male
10,"Education, legal, community service, arts, and media occupations:",722,3564,6964,7539,519.0,2011,Asian Alone,Male
11,Community and social service occupations,174,152,33,1088,225.0,2011,Asian Alone,Male
12,Legal occupations,45,291,1487,262,0.0,2011,Asian Alone,Male
13,"Education, training, and library occupations",207,740,3403,3177,215.0,2011,Asian Alone,Male
14,"Arts, design, entertainment, sports, and media occupations",296,2381,2041,3012,79.0,2011,Asian Alone,Male
15,Healthcare practitioners and technical occupations:,849,1936,3244,5823,1133.0,2011,Asian Alone,Male
16,Health diagnosing and treating practitioners and other technical occupations,519,1360,2888,4113,794.0,2011,Asian Alone,Male
17,Health technologists and technicians,330,576,356,1710,339.0,2011,Asian Alone,Male
18,Service occupations:,2519,19700,7245,25166,1336.0,2011,Asian Alone,Male
19,Healthcare support occupations,17,976,402,1234,381.0,2011,Asian Alone,Male
20,Protective service occupations:,190,1019,84,2187,71.0,2011,Asian Alone,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",143,671,33,1440,71.0,2011,Asian Alone,Male
22,Law enforcement workers including supervisors,47,348,51,747,0.0,2011,Asian Alone,Male
23,Food preparation and serving related occupations,1614,14639,5338,14207,336.0,2011,Asian Alone,Male
24,Building and grounds cleaning and maintenance occupations,443,1615,668,3853,266.0,2011,Asian Alone,Male
25,Personal care and service occupations,255,1451,753,3685,282.0,2011,Asian Alone,Male
26,Sales and office occupations:,1632,11660,8373,33494,2896.0,2011,Asian Alone,Male
27,Sales and related occupations,713,6519,5416,21157,2195.0,2011,Asian Alone,Male
28,Office and administrative support occupations,919,5141,2957,12337,701.0,2011,Asian Alone,Male
29,"Natural resources, construction, and maintenance occupations:",1489,7305,898,10446,645.0,2011,Asian Alone,Male
30,"Farming, fishing, and forestry occupations",0,53,0,22,202.0,2011,Asian Alone,Male
31,Construction and extraction occupations,636,4875,711,6463,225.0,2011,Asian Alone,Male
32,"Installation, maintenance, and repair occupations",853,2377,187,3961,218.0,2011,Asian Alone,Male
33,"Production, transportation, and material moving occupations:",2569,11741,3198,27628,1345.0,2011,Asian Alone,Male
34,Production occupations,956,2408,388,5519,563.0,2011,Asian Alone,Male
35,Transportation occupations,1613,7573,2036,19556,782.0,2011,Asian Alone,Male
36,Material moving occupations,0,1760,774,2553,0.0,2011,Asian Alone,Male
37,Female:,8558,58452,50166,111708,7885.0,2011,Asian Alone,Total Female
38,"Management, business, science, and arts occupations:",3797,21987,31604,42603,3390.0,2011,Asian Alone,Female
39,"Management, business, and financial occupations:",502,7408,12314,14688,1003.0,2011,Asian Alone,Female
40,Management occupations,266,3157,5726,5577,407.0,2011,Asian Alone,Female
41,Business and financial operations occupations,236,4251,6588,9111,596.0,2011,Asian Alone,Female
42,"Computer, engineering, and science occupations:",114,1486,3456,4260,156.0,2011,Asian Alone,Female
43,Computer and mathematical occupations,44,987,1763,2411,26.0,2011,Asian Alone,Female
44,Architecture and engineering occupations,0,316,118,571,101.0,2011,Asian Alone,Female
45,"Life, physical, and social science occupations",70,183,1575,1278,29.0,2011,Asian Alone,Female
46,"Education, legal, community service, arts, and media occupations:",1682,7001,12139,10882,475.0,2011,Asian Alone,Female
47,Community and social service occupations,330,406,504,1476,76.0,2011,Asian Alone,Female
48,Legal occupations,156,982,2631,533,22.0,2011,Asian Alone,Female
49,"Education, training, and library occupations",905,3076,3151,6660,354.0,2011,Asian Alone,Female
50,"Arts, design, entertainment, sports, and media occupations",291,2537,5853,2213,23.0,2011,Asian Alone,Female
51,Healthcare practitioners and technical occupations:,1499,6092,3695,12773,1756.0,2011,Asian Alone,Female
52,Health diagnosing and treating practitioners and other technical occupations,1245,4576,3052,10995,1480.0,2011,Asian Alone,Female
53,Health technologists and technicians,254,1516,643,1778,276.0,2011,Asian Alone,Female
54,Service occupations:,2800,17724,6848,26616,2096.0,2011,Asian Alone,Female
55,Healthcare support occupations,1255,4053,1251,6262,997.0,2011,Asian Alone,Female
56,Protective service occupations:,0,417,0,351,0.0,2011,Asian Alone,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",0,362,0,351,0.0,2011,Asian Alone,Female
58,Law enforcement workers including supervisors,0,55,0,0,0.0,2011,Asian Alone,Female
59,Food preparation and serving related occupations,172,4937,2379,5415,416.0,2011,Asian Alone,Female
60,Building and grounds cleaning and maintenance occupations,618,1953,1297,2645,201.0,2011,Asian Alone,Female
61,Personal care and service occupations,755,6364,1921,11943,482.0,2011,Asian Alone,Female
62,Sales and office occupations:,1174,14204,10320,35999,1967.0,2011,Asian Alone,Female
63,Sales and related occupations,350,5745,4136,16013,791.0,2011,Asian Alone,Female
64,Office and administrative support occupations,824,8459,6184,19986,1176.0,2011,Asian Alone,Female
65,"Natural resources, construction, and maintenance occupations:",0,109,326,484,196.0,2011,Asian Alone,Female
66,"Farming, fishing, and forestry occupations",0,69,0,117,0.0,2011,Asian Alone,Female
67,Construction and extraction occupations,0,0,220,332,196.0,2011,Asian Alone,Female
68,"Installation, maintenance, and repair occupations",0,40,106,35,0.0,2011,Asian Alone,Female
69,"Production, transportation, and material moving occupations:",787,4428,1068,6006,236.0,2011,Asian Alone,Female
70,Production occupations,748,3720,735,4435,81.0,2011,Asian Alone,Female
71,Transportation occupations,0,85,0,305,155.0,2011,Asian Alone,Female
72,Material moving occupations,39,623,333,1266,0.0,2011,Asian Alone,Female
0,Total:,21721,128863,104260,253033,,2012,Asian Alone,Total
1,Male:,13183,66158,46776,140344,,2012,Asian Alone,Total Male
2,"Management, business, science, and arts occupations:",3000,18146,26534,47747,,2012,Asian Alone,Male
3,"Management, business, and financial occupations:",758,7311,12187,20536,,2012,Asian Alone,Male
4,Management occupations,271,3793,6327,12551,,2012,Asian Alone,Male
5,Business and financial operations occupations,487,3518,5860,7985,,2012,Asian Alone,Male
6,"Computer, engineering, and science occupations:",996,4381,4422,12467,,2012,Asian Alone,Male
7,Computer and mathematical occupations,603,2560,3134,8110,,2012,Asian Alone,Male
8,Architecture and engineering occupations,232,1345,445,3229,,2012,Asian Alone,Male
9,"Life, physical, and social science occupations",161,476,843,1128,,2012,Asian Alone,Male
10,"Education, legal, community service, arts, and media occupations:",878,4008,6026,8984,,2012,Asian Alone,Male
11,Community and social service occupations,115,241,780,1615,,2012,Asian Alone,Male
12,Legal occupations,71,450,894,885,,2012,Asian Alone,Male
13,"Education, training, and library occupations",692,1733,1263,3342,,2012,Asian Alone,Male
14,"Arts, design, entertainment, sports, and media occupations",0,1584,3089,3142,,2012,Asian Alone,Male
15,Healthcare practitioners and technical occupations:,368,2446,3899,5760,,2012,Asian Alone,Male
16,Health diagnosing and treating practitioners and other technical occupations,289,2012,3899,3624,,2012,Asian Alone,Male
17,Health technologists and technicians,79,434,0,2136,,2012,Asian Alone,Male
18,Service occupations:,2990,16845,5947,25064,,2012,Asian Alone,Male
19,Healthcare support occupations,234,393,233,1693,,2012,Asian Alone,Male
20,Protective service occupations:,122,1163,187,2796,,2012,Asian Alone,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",79,511,65,2004,,2012,Asian Alone,Male
22,Law enforcement workers including supervisors,43,652,122,792,,2012,Asian Alone,Male
23,Food preparation and serving related occupations,1544,11961,4058,15273,,2012,Asian Alone,Male
24,Building and grounds cleaning and maintenance occupations,959,1549,249,2683,,2012,Asian Alone,Male
25,Personal care and service occupations,131,1779,1220,2619,,2012,Asian Alone,Male
26,Sales and office occupations:,3357,13936,10211,30102,,2012,Asian Alone,Male
27,Sales and related occupations,2256,8120,6294,17588,,2012,Asian Alone,Male
28,Office and administrative support occupations,1101,5816,3917,12514,,2012,Asian Alone,Male
29,"Natural resources, construction, and maintenance occupations:",1526,5631,654,12744,,2012,Asian Alone,Male
30,"Farming, fishing, and forestry occupations",0,179,0,0,,2012,Asian Alone,Male
31,Construction and extraction occupations,1008,3670,269,8746,,2012,Asian Alone,Male
32,"Installation, maintenance, and repair occupations",518,1782,385,3998,,2012,Asian Alone,Male
33,"Production, transportation, and material moving occupations:",2310,11600,3430,24687,,2012,Asian Alone,Male
34,Production occupations,472,2785,631,4583,,2012,Asian Alone,Male
35,Transportation occupations,1556,7669,2146,18306,,2012,Asian Alone,Male
36,Material moving occupations,282,1146,653,1798,,2012,Asian Alone,Male
37,Female:,8538,62705,57484,112689,,2012,Asian Alone,Total Female
38,"Management, business, science, and arts occupations:",2968,22439,37571,43372,,2012,Asian Alone,Female
39,"Management, business, and financial occupations:",925,9094,15062,17082,,2012,Asian Alone,Female
40,Management occupations,305,4371,7336,8943,,2012,Asian Alone,Female
41,Business and financial operations occupations,620,4723,7726,8139,,2012,Asian Alone,Female
42,"Computer, engineering, and science occupations:",457,2087,3580,3313,,2012,Asian Alone,Female
43,Computer and mathematical occupations,277,924,1603,2071,,2012,Asian Alone,Female
44,Architecture and engineering occupations,49,695,704,397,,2012,Asian Alone,Female
45,"Life, physical, and social science occupations",131,468,1273,845,,2012,Asian Alone,Female
46,"Education, legal, community service, arts, and media occupations:",467,7326,13128,10835,,2012,Asian Alone,Female
47,Community and social service occupations,0,482,677,1142,,2012,Asian Alone,Female
48,Legal occupations,0,334,3190,1143,,2012,Asian Alone,Female
49,"Education, training, and library occupations",435,3291,3601,6304,,2012,Asian Alone,Female
50,"Arts, design, entertainment, sports, and media occupations",32,3219,5660,2246,,2012,Asian Alone,Female
51,Healthcare practitioners and technical occupations:,1119,3932,5801,12142,,2012,Asian Alone,Female
52,Health diagnosing and treating practitioners and other technical occupations,944,3099,5435,9779,,2012,Asian Alone,Female
53,Health technologists and technicians,175,833,366,2363,,2012,Asian Alone,Female
54,Service occupations:,2338,18220,6377,28701,,2012,Asian Alone,Female
55,Healthcare support occupations,209,4864,2090,5629,,2012,Asian Alone,Female
56,Protective service occupations:,154,99,0,437,,2012,Asian Alone,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",154,74,0,287,,2012,Asian Alone,Female
58,Law enforcement workers including supervisors,0,25,0,150,,2012,Asian Alone,Female
59,Food preparation and serving related occupations,575,4904,1480,5838,,2012,Asian Alone,Female
60,Building and grounds cleaning and maintenance occupations,491,1281,851,3699,,2012,Asian Alone,Female
61,Personal care and service occupations,909,7072,1956,13098,,2012,Asian Alone,Female
62,Sales and office occupations:,2779,16592,10780,32698,,2012,Asian Alone,Female
63,Sales and related occupations,1647,7821,5286,15594,,2012,Asian Alone,Female
64,Office and administrative support occupations,1132,8771,5494,17104,,2012,Asian Alone,Female
65,"Natural resources, construction, and maintenance occupations:",0,62,122,279,,2012,Asian Alone,Female
66,"Farming, fishing, and forestry occupations",0,27,0,0,,2012,Asian Alone,Female
67,Construction and extraction occupations,0,0,122,86,,2012,Asian Alone,Female
68,"Installation, maintenance, and repair occupations",0,35,0,193,,2012,Asian Alone,Female
69,"Production, transportation, and material moving occupations:",453,5392,2634,7639,,2012,Asian Alone,Female
70,Production occupations,177,4642,2251,5952,,2012,Asian Alone,Female
71,Transportation occupations,0,36,383,576,,2012,Asian Alone,Female
72,Material moving occupations,276,714,0,1111,,2012,Asian Alone,Female
0,Total:,21959,137634,107524,272432,17423.0,2013,Asian Alone,Total
1,Male:,12205,72710,49574,149843,9765.0,2013,Asian Alone,Total Male
2,"Management, business, science, and arts occupations:",3994,23155,31686,50141,4307.0,2013,Asian Alone,Male
3,"Management, business, and financial occupations:",1492,9866,17429,20989,1747.0,2013,Asian Alone,Male
4,Management occupations,1119,5702,8433,12398,839.0,2013,Asian Alone,Male
5,Business and financial operations occupations,373,4164,8996,8591,908.0,2013,Asian Alone,Male
6,"Computer, engineering, and science occupations:",754,7093,7240,13935,769.0,2013,Asian Alone,Male
7,Computer and mathematical occupations,376,4593,4924,9292,376.0,2013,Asian Alone,Male
8,Architecture and engineering occupations,312,2020,307,3065,318.0,2013,Asian Alone,Male
9,"Life, physical, and social science occupations",66,480,2009,1578,75.0,2013,Asian Alone,Male
10,"Education, legal, community service, arts, and media occupations:",309,4013,3916,8978,799.0,2013,Asian Alone,Male
11,Community and social service occupations,23,401,0,1316,326.0,2013,Asian Alone,Male
12,Legal occupations,0,504,813,1003,0.0,2013,Asian Alone,Male
13,"Education, training, and library occupations",184,942,1229,3247,39.0,2013,Asian Alone,Male
14,"Arts, design, entertainment, sports, and media occupations",102,2166,1874,3412,434.0,2013,Asian Alone,Male
15,Healthcare practitioners and technical occupations:,1439,2183,3101,6239,992.0,2013,Asian Alone,Male
16,Health diagnosing and treating practitioners and other technical occupations,1107,1939,2590,3869,716.0,2013,Asian Alone,Male
17,Health technologists and technicians,332,244,511,2370,276.0,2013,Asian Alone,Male
18,Service occupations:,3960,17780,5426,27390,1490.0,2013,Asian Alone,Male
19,Healthcare support occupations,302,899,800,1841,450.0,2013,Asian Alone,Male
20,Protective service occupations:,448,855,387,3926,171.0,2013,Asian Alone,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",250,577,360,3564,41.0,2013,Asian Alone,Male
22,Law enforcement workers including supervisors,198,278,27,362,130.0,2013,Asian Alone,Male
23,Food preparation and serving related occupations,1818,13293,2883,14835,664.0,2013,Asian Alone,Male
24,Building and grounds cleaning and maintenance occupations,538,1545,893,3446,205.0,2013,Asian Alone,Male
25,Personal care and service occupations,854,1188,463,3342,0.0,2013,Asian Alone,Male
26,Sales and office occupations:,1584,14043,10140,34999,1723.0,2013,Asian Alone,Male
27,Sales and related occupations,1111,8491,6127,22264,892.0,2013,Asian Alone,Male
28,Office and administrative support occupations,473,5552,4013,12735,831.0,2013,Asian Alone,Male
29,"Natural resources, construction, and maintenance occupations:",799,6211,517,11677,975.0,2013,Asian Alone,Male
30,"Farming, fishing, and forestry occupations",0,0,0,235,0.0,2013,Asian Alone,Male
31,Construction and extraction occupations,524,4818,360,7888,406.0,2013,Asian Alone,Male
32,"Installation, maintenance, and repair occupations",275,1393,157,3554,569.0,2013,Asian Alone,Male
33,"Production, transportation, and material moving occupations:",1868,11521,1805,25636,1270.0,2013,Asian Alone,Male
34,Production occupations,344,2866,652,6964,434.0,2013,Asian Alone,Male
35,Transportation occupations,1499,6498,936,16159,781.0,2013,Asian Alone,Male
36,Material moving occupations,25,2157,217,2513,55.0,2013,Asian Alone,Male
37,Female:,9754,64924,57950,122589,7658.0,2013,Asian Alone,Total Female
38,"Management, business, science, and arts occupations:",4922,25078,37462,48768,4906.0,2013,Asian Alone,Female
39,"Management, business, and financial occupations:",1051,8273,17235,17554,1501.0,2013,Asian Alone,Female
40,Management occupations,386,2876,7244,8030,842.0,2013,Asian Alone,Female
41,Business and financial operations occupations,665,5397,9991,9524,659.0,2013,Asian Alone,Female
42,"Computer, engineering, and science occupations:",334,2096,3794,5777,370.0,2013,Asian Alone,Female
43,Computer and mathematical occupations,68,1602,2892,3751,329.0,2013,Asian Alone,Female
44,Architecture and engineering occupations,0,222,269,831,0.0,2013,Asian Alone,Female
45,"Life, physical, and social science occupations",266,272,633,1195,41.0,2013,Asian Alone,Female
46,"Education, legal, community service, arts, and media occupations:",1292,9888,9892,13377,947.0,2013,Asian Alone,Female
47,Community and social service occupations,60,783,763,1100,144.0,2013,Asian Alone,Female
48,Legal occupations,199,792,1715,1630,0.0,2013,Asian Alone,Female
49,"Education, training, and library occupations",845,4281,3713,6432,723.0,2013,Asian Alone,Female
50,"Arts, design, entertainment, sports, and media occupations",188,4032,3701,4215,80.0,2013,Asian Alone,Female
51,Healthcare practitioners and technical occupations:,2245,4821,6541,12060,2088.0,2013,Asian Alone,Female
52,Health diagnosing and treating practitioners and other technical occupations,2017,4018,6148,9341,1737.0,2013,Asian Alone,Female
53,Health technologists and technicians,228,803,393,2719,351.0,2013,Asian Alone,Female
54,Service occupations:,2223,17774,7789,32842,1019.0,2013,Asian Alone,Female
55,Healthcare support occupations,834,6496,2603,6361,509.0,2013,Asian Alone,Female
56,Protective service occupations:,26,0,0,884,0.0,2013,Asian Alone,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",26,0,0,810,0.0,2013,Asian Alone,Female
58,Law enforcement workers including supervisors,0,0,0,74,0.0,2013,Asian Alone,Female
59,Food preparation and serving related occupations,386,3336,1767,7554,139.0,2013,Asian Alone,Female
60,Building and grounds cleaning and maintenance occupations,225,1884,996,4006,150.0,2013,Asian Alone,Female
61,Personal care and service occupations,752,6058,2423,14037,221.0,2013,Asian Alone,Female
62,Sales and office occupations:,2141,16506,10959,34624,1498.0,2013,Asian Alone,Female
63,Sales and related occupations,1344,8595,4662,15812,236.0,2013,Asian Alone,Female
64,Office and administrative support occupations,797,7911,6297,18812,1262.0,2013,Asian Alone,Female
65,"Natural resources, construction, and maintenance occupations:",0,368,0,508,0.0,2013,Asian Alone,Female
66,"Farming, fishing, and forestry occupations",0,0,0,0,0.0,2013,Asian Alone,Female
67,Construction and extraction occupations,0,216,0,224,0.0,2013,Asian Alone,Female
68,"Installation, maintenance, and repair occupations",0,152,0,284,0.0,2013,Asian Alone,Female
69,"Production, transportation, and material moving occupations:",468,5198,1740,5847,235.0,2013,Asian Alone,Female
70,Production occupations,338,4552,1587,4974,235.0,2013,Asian Alone,Female
71,Transportation occupations,130,182,70,340,0.0,2013,Asian Alone,Female
72,Material moving occupations,0,464,83,533,0.0,2013,Asian Alone,Female
0,Total:,24953,147945,108383,278267,18513.0,2014,Asian Alone,Total
1,Male:,13769,77363,49965,153040,9818.0,2014,Asian Alone,Total Male
2,"Management, business, science, and arts occupations:",4771,22450,33401,47799,3779.0,2014,Asian Alone,Male
3,"Management, business, and financial occupations:",1711,9416,18080,21653,1319.0,2014,Asian Alone,Male
4,Management occupations,1402,6169,11238,13864,985.0,2014,Asian Alone,Male
5,Business and financial operations occupations,309,3247,6842,7789,334.0,2014,Asian Alone,Male
6,"Computer, engineering, and science occupations:",1029,5261,7474,11755,981.0,2014,Asian Alone,Male
7,Computer and mathematical occupations,439,3745,5013,7577,761.0,2014,Asian Alone,Male
8,Architecture and engineering occupations,151,1187,1048,3387,220.0,2014,Asian Alone,Male
9,"Life, physical, and social science occupations",439,329,1413,791,0.0,2014,Asian Alone,Male
10,"Education, legal, community service, arts, and media occupations:",671,4790,5957,8091,789.0,2014,Asian Alone,Male
11,Community and social service occupations,90,454,137,1068,145.0,2014,Asian Alone,Male
12,Legal occupations,0,345,1657,1485,333.0,2014,Asian Alone,Male
13,"Education, training, and library occupations",404,1807,1129,1950,163.0,2014,Asian Alone,Male
14,"Arts, design, entertainment, sports, and media occupations",177,2184,3034,3588,148.0,2014,Asian Alone,Male
15,Healthcare practitioners and technical occupations:,1360,2983,1890,6300,690.0,2014,Asian Alone,Male
16,Health diagnosing and treating practitioners and other technical occupations,773,2085,1765,4814,650.0,2014,Asian Alone,Male
17,Health technologists and technicians,587,898,125,1486,40.0,2014,Asian Alone,Male
18,Service occupations:,3452,20363,6194,28210,1991.0,2014,Asian Alone,Male
19,Healthcare support occupations,283,962,61,861,196.0,2014,Asian Alone,Male
20,Protective service occupations:,285,600,525,3202,575.0,2014,Asian Alone,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",65,492,395,1783,301.0,2014,Asian Alone,Male
22,Law enforcement workers including supervisors,220,108,130,1419,274.0,2014,Asian Alone,Male
23,Food preparation and serving related occupations,1557,15553,4090,17145,487.0,2014,Asian Alone,Male
24,Building and grounds cleaning and maintenance occupations,810,1526,257,2327,623.0,2014,Asian Alone,Male
25,Personal care and service occupations,517,1722,1261,4675,110.0,2014,Asian Alone,Male
26,Sales and office occupations:,2549,16152,5701,31824,2499.0,2014,Asian Alone,Male
27,Sales and related occupations,1822,10816,3633,17854,1840.0,2014,Asian Alone,Male
28,Office and administrative support occupations,727,5336,2068,13970,659.0,2014,Asian Alone,Male
29,"Natural resources, construction, and maintenance occupations:",733,5410,1822,13705,357.0,2014,Asian Alone,Male
30,"Farming, fishing, and forestry occupations",0,0,0,0,0.0,2014,Asian Alone,Male
31,Construction and extraction occupations,441,3891,1376,8009,222.0,2014,Asian Alone,Male
32,"Installation, maintenance, and repair occupations",292,1519,446,5696,135.0,2014,Asian Alone,Male
33,"Production, transportation, and material moving occupations:",2264,12988,2847,31502,1192.0,2014,Asian Alone,Male
34,Production occupations,450,3316,1483,5471,477.0,2014,Asian Alone,Male
35,Transportation occupations,1780,8341,920,23046,524.0,2014,Asian Alone,Male
36,Material moving occupations,34,1331,444,2985,191.0,2014,Asian Alone,Male
37,Female:,11184,70582,58418,125227,8695.0,2014,Asian Alone,Total Female
38,"Management, business, science, and arts occupations:",4087,26166,37133,50780,3935.0,2014,Asian Alone,Female
39,"Management, business, and financial occupations:",882,8989,19546,18616,819.0,2014,Asian Alone,Female
